=== non-contiguous nft : chains ===
Found 2084 chain interruption in 8242 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	3 
1001:	1 
1003:	2 
1004:	4 7 
1005:	1 
1006:	1 
1007:	1 
1008:	6 
1009:	1 2 
101:	3 
1010:	3 
1011:	2 
1012:	1 
1013:	1 
1014:	4 1 
1015:	1 
1016:	6 
1017:	2 
1018:	1 
1019:	1 
1020:	1 
1021:	4 
1023:	4 
1024:	1 2 
1026:	2 
1027:	1 2 2 
1028:	2 
1029:	1 
1030:	6 
1031:	3 2 
1032:	5 
1033:	2 2 
1034:	4 1 1 
1035:	1 1 1 
1036:	2 
1037:	5 2 1 1 
1039:	4 
1040:	4 
1041:	3 
1042:	6 
1043:	1 
1045:	1 
1046:	1 1 1 
1047:	2 
1048:	1 
1049:	1 
105:	1 2 
1050:	1 
1051:	4 
1052:	1 
1053:	3 
1055:	3 
1056:	1 
1057:	1 1 1 
1058:	3 1 1 
1059:	2 1 3 
106:	2 2 
1060:	1 
1062:	1 
1063:	4 
1064:	3 
1065:	1 2 
1066:	1 
1067:	1 
1068:	3 
1069:	3 
107:	1 
1070:	2 1 
1071:	2 
1072:	3 
1073:	4 
1074:	3 
1075:	3 
1076:	2 
1077:	2 
1078:	1 
1079:	2 
108:	4 
1080:	2 
1081:	4 
1082:	3 
1083:	3 
1084:	3 
1085:	2 
1086:	3 
1087:	3 
1088:	1 
1089:	1 1 1 
109:	3 
1090:	2 4 
1091:	3 
1092:	2 
1093:	2 
1094:	3 
1095:	2 
1096:	2 
1097:	1 
1098:	4 
1099:	1 
110:	2 
1100:	1 
1101:	3 
1103:	2 
1104:	1 
1105:	2 
1106:	1 
1107:	1 
1108:	2 
1109:	1 1 
111:	4 1 
1110:	2 
1111:	1 1 
1112:	2 
1113:	2 
1114:	2 1 
1115:	5 
1116:	4 
1117:	2 2 
1118:	5 
1119:	2 
112:	4 
1120:	1 1 1 
1122:	2 2 
1123:	4 
1124:	5 
1125:	3 
1127:	2 
1128:	1 
1129:	3 
113:	1 2 
1130:	1 
1131:	1 
1132:	2 
1133:	2 
1135:	3 2 
1136:	3 
1137:	3 
1139:	2 
114:	2 1 
1140:	2 1 
1141:	3 
1142:	5 
1143:	2 
1145:	3 
1146:	2 
1147:	1 1 5 
1148:	3 3 
1149:	4 
115:	5 
1150:	1 
1151:	1 
1152:	1 
1153:	3 
1154:	1 
1155:	2 
1156:	1 
1157:	1 
1158:	1 1 
1159:	3 
116:	3 
1160:	1 
1161:	1 
1162:	2 
1163:	2 
1164:	1 
1165:	3 
1166:	2 1 
1167:	2 
1168:	2 
117:	2 
1170:	2 
1171:	1 
1172:	1 
1173:	1 
1174:	1 2 
1175:	5 
1177:	8 
1178:	3 
1179:	1 1 
118:	2 
1180:	4 2 
1181:	5 
1182:	4 
1183:	3 
1184:	1 1 4 
1185:	2 2 
1186:	3 1 
1187:	2 
1188:	1 
1189:	3 
119:	7 
1190:	3 
1191:	2 
1194:	1 
1195:	2 
1196:	3 
1197:	2 1 1 
1198:	3 
1199:	1 
120:	5 
1200:	2 
1201:	2 
1202:	8 
1204:	2 2 
1205:	3 
1206:	3 2 
1207:	2 2 
1208:	5 
1209:	4 
121:	3 
1210:	3 
1211:	2 
1212:	4 
1213:	1 2 
1214:	2 
1215:	3 
1216:	3 
1218:	1 2 
1219:	2 1 
122:	1 1 1 
1220:	3 
1221:	1 
1222:	2 
1223:	2 
1224:	1 2 1 
1226:	3 
1227:	2 
1228:	1 1 
1229:	5 
123:	3 
1230:	1 2 
1232:	2 3 
1233:	4 1 1 
1234:	1 
1235:	3 
1236:	4 
1238:	5 
1239:	2 1 
124:	3 
1240:	1 
1241:	2 
1242:	4 
1243:	3 
1244:	5 
1245:	5 
1246:	1 
1247:	1 
1248:	6 
1249:	8 
125:	1 1 
1250:	3 
1254:	1 
1255:	3 
1256:	2 1 
1257:	1 
1258:	1 
1259:	1 
126:	4 
1260:	1 
1261:	4 
1262:	2 1 
1264:	2 
1265:	2 3 
1267:	1 
1268:	1 1 1 
1269:	2 
127:	1 
1270:	2 
1271:	3 
1272:	3 
1273:	6 
1274:	2 
1275:	1 1 1 1 
1277:	5 
1278:	3 
1279:	1 
128:	1 
1280:	2 
1281:	1 
1282:	1 
1284:	2 
1285:	3 
1286:	2 
1287:	3 2 1 
1288:	4 1 
1289:	3 
129:	1 
1290:	1 
1291:	1 1 
1292:	5 
1293:	2 
1294:	2 
1295:	1 
1297:	4 
1298:	4 
1299:	1 
130:	3 
1300:	3 3 
1301:	2 
1302:	2 
1303:	2 
1304:	4 
1305:	4 2 
1306:	1 
1307:	1 
1308:	7 4 
1309:	3 
131:	5 
1311:	1 
1312:	4 
1313:	2 
1314:	2 
1316:	3 
1317:	4 1 
1318:	1 
1319:	3 
