
=== GRAPH INFO ===
Nodi: 17976
Archi: 55234
Duration (sec): 86113905 = 2y in interval [1620060350, 1706174255]
Delta (sec): 86113905 = 2y8m3w5d16h31min45s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 7440

size 2 → 3964 pattern
size 3 → 1444 pattern
size 4 → 624 pattern
size 5 → 404 pattern
size 6 → 218 pattern
size 7 → 153 pattern
size 8 → 115 pattern
size 9 → 76 pattern
size 10 → 76 pattern
size 11 → 54 pattern
size 12 → 32 pattern
size 13 → 35 pattern
size 14 → 24 pattern
size 15 → 25 pattern
size 16 → 29 pattern
size 17 → 17 pattern
size 18 → 14 pattern
size 19 → 8 pattern
size 20 → 11 pattern
size 21 → 13 pattern
size 22 → 6 pattern
size 23 → 12 pattern
size 24 → 8 pattern
size 25 → 4 pattern
size 26 → 2 pattern
size 27 → 8 pattern
size 28 → 4 pattern
size 29 → 3 pattern
size 30 → 1 pattern
size 31 → 3 pattern
size 32 → 4 pattern
size 33 → 4 pattern
size 34 → 3 pattern
size 35 → 7 pattern
size 36 → 1 pattern
size 37 → 1 pattern
size 38 → 4 pattern
size 39 → 2 pattern
size 41 → 4 pattern
size 42 → 2 pattern
size 43 → 1 pattern
size 44 → 1 pattern
size 45 → 2 pattern
size 48 → 2 pattern
size 49 → 1 pattern
size 57 → 1 pattern
size 58 → 1 pattern
size 63 → 1 pattern
size 65 → 2 pattern
size 68 → 1 pattern
size 70 → 1 pattern
size 74 → 1 pattern
size 78 → 1 pattern
size 83 → 1 pattern
size 90 → 1 pattern
size 103 → 1 pattern
size 150 → 1 pattern
size 547 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 5414

size 2 → 3672 pattern
size 4 → 808 pattern
size 6 → 307 pattern
size 8 → 163 pattern
size 10 → 91 pattern
size 12 → 66 pattern
size 14 → 49 pattern
size 16 → 19 pattern
size 18 → 33 pattern
size 20 → 23 pattern
size 22 → 12 pattern
size 24 → 15 pattern
size 26 → 12 pattern
size 28 → 8 pattern
size 30 → 10 pattern
size 32 → 6 pattern
size 34 → 9 pattern
size 36 → 1 pattern
size 38 → 4 pattern
size 40 → 3 pattern
size 42 → 8 pattern
size 44 → 6 pattern
size 46 → 5 pattern
size 48 → 3 pattern
size 50 → 5 pattern
size 52 → 7 pattern
size 54 → 2 pattern
size 56 → 2 pattern
size 58 → 2 pattern
size 60 → 2 pattern
size 64 → 2 pattern
size 66 → 1 pattern
size 68 → 4 pattern
size 70 → 2 pattern
size 72 → 2 pattern
size 74 → 2 pattern
size 76 → 2 pattern
size 78 → 3 pattern
size 80 → 1 pattern
size 84 → 1 pattern
size 86 → 1 pattern
size 88 → 1 pattern
size 90 → 1 pattern
size 94 → 1 pattern
size 96 → 1 pattern
size 100 → 1 pattern
size 102 → 1 pattern
size 104 → 2 pattern
size 106 → 1 pattern
size 110 → 1 pattern
size 112 → 2 pattern
size 114 → 1 pattern
size 116 → 3 pattern
size 130 → 2 pattern
size 132 → 1 pattern
size 144 → 2 pattern
size 146 → 1 pattern
size 160 → 1 pattern
size 162 → 1 pattern
size 178 → 1 pattern
size 182 → 1 pattern
size 188 → 1 pattern
