=== non-contiguous nft : chains ===
Found 8016 chain interruption in 10563 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	2 
1000:	2 
10002:	1 
10003:	2 5 
10004:	2 
10005:	1 
10006:	4 
10008:	2 
10009:	5 1 
1001:	1 1 
10010:	2 
10011:	1 1 
10012:	3 
10013:	1 4 2 
10014:	3 
10016:	2 4 
10018:	4 6 11 
10019:	2 1 
10020:	3 3 10 1 1 16 4 
10021:	1 2 
10023:	1 6 1 3 2 
10024:	2 
10025:	1 
10027:	1 1 1 3 
10035:	1 
10036:	3 1 1 1 
10039:	1 
1004:	1 
10040:	1 4 2 
10041:	2 
10042:	1 
10043:	1 
10044:	2 4 
10046:	1 
10049:	1 1 
10050:	2 1 
10052:	4 
10053:	1 2 1 
10055:	4 
10056:	1 
10058:	2 
10059:	2 2 
1006:	2 1 5 1 
10060:	1 1 5 
10061:	1 5 
10062:	1 1 2 
10063:	1 
10067:	3 
10069:	4 5 5 3 1 
1007:	1 
10070:	1 
10072:	3 4 2 
10073:	2 2 
10076:	2 2 
10077:	2 
10080:	4 1 
10082:	1 
10084:	5 1 1 
10087:	4 4 
10088:	2 
1009:	3 2 
10090:	2 
10092:	1 3 
10094:	1 5 
10095:	1 
10096:	1 3 
10097:	1 1 1 
10099:	1 
101:	1 
10101:	1 
10102:	2 
10103:	2 
10104:	1 
10106:	2 1 4 
10107:	3 
10109:	2 2 8 5 
1011:	2 
10110:	3 2 
10111:	2 
10112:	1 1 
10115:	2 1 
10117:	2 2 
10118:	4 1 6 2 4 1 
10119:	2 
10121:	1 2 
10123:	1 
10126:	2 1 6 6 2 10 
10130:	5 1 
10131:	1 3 3 
10132:	2 
10133:	1 
10134:	1 1 
10135:	8 7 
10137:	1 7 22 5 107 2 1 24 
10139:	5 
1014:	1 1 
10142:	1 
10144:	5 
10145:	1 
10152:	1 
10153:	1 
10154:	4 
10157:	1 5 
10159:	3 4 
10163:	4 1 5 1 
10165:	1 
10166:	4 
10168:	1 2 1 
10169:	1 1 6 1 
10176:	4 1 
10177:	2 
10178:	3 1 1 4 
10182:	1 5 1 2 1 1 3 
10185:	1 1 1 
10186:	4 
10189:	2 
10190:	1 1 5 1 6 
10193:	6 
10194:	2 5 4 
10196:	1 
10197:	3 
10198:	1 2 
10199:	5 2 3 4 
10204:	5 2 
10207:	2 1 
10208:	5 
10209:	2 1 1 
10210:	7 
10211:	4 6 3 5 1 
10212:	3 
10214:	7 2 
10215:	2 2 1 1 1 6 
10216:	2 1 2 8 4 1 2 2 1 
10217:	1 1 1 3 1 3 
10218:	5 1 
10219:	3 
1022:	1 
10222:	6 
10225:	4 4 3 
10226:	6 
10227:	1 
10228:	1 
10229:	1 
10231:	2 
10234:	2 
10240:	2 
10243:	1 1 
10244:	2 2 1 2 3 12 2 2 2 
10245:	3 
10247:	2 
10248:	1 
10249:	2 1 
1025:	1 
10253:	2 2 
10255:	85 1 1 
10257:	3 2 
10259:	4 
10264:	2 2 
10265:	2 
10267:	7 
10268:	2 
10270:	2 
10273:	1 
10275:	2 
10278:	7 
10279:	6 
1028:	3 
10281:	1 2 1 2 2 3 1 
10282:	30 1 
10283:	1 
10284:	1 2 1 2 1 
10286:	2 3 3 1 2 
10287:	4 
10288:	5 
1029:	1 3 
10291:	1 1 
10292:	1 4 2 
