=== non-contiguous nft : chains ===
Found 2056 chain interruption in 6972 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1001:	1 
1002:	1 
1003:	1 
1004:	2 
1005:	2 
1007:	2 
1008:	3 
1009:	1 
101:	2 
1010:	1 2 2 1 1 2 1 
1011:	1 
1012:	2 
1013:	1 
1014:	3 
1015:	2 
1017:	1 
1019:	3 
102:	1 
1020:	8 
1021:	1 
1023:	1 1 2 
1024:	1 
1025:	1 
1026:	2 
1027:	3 4 
1028:	1 
1029:	3 
103:	1 
1030:	1 
1031:	1 
1032:	1 2 1 
1034:	1 
1035:	1 
1036:	1 1 
1037:	1 2 
1038:	3 
104:	1 
1040:	1 2 2 
1041:	4 
1042:	4 
1045:	3 
1047:	1 
1049:	1 2 
1051:	3 
1052:	3 
1054:	2 
1055:	1 
1056:	1 
1057:	4 
1058:	1 
1061:	3 
1062:	2 
1063:	2 
1064:	1 
1065:	2 2 
1067:	2 1 
1068:	4 
1069:	3 
107:	3 
1070:	1 
1071:	2 1 1 
1072:	4 
1075:	4 
1076:	2 
1077:	4 
1078:	2 
1079:	1 
1080:	2 
1083:	2 
1085:	1 
1086:	2 
1087:	1 
1088:	4 2 
1089:	3 
109:	1 
1090:	2 
1092:	1 
1093:	1 
1094:	3 
1095:	1 1 3 
1096:	7 
1097:	1 
1098:	1 
1099:	4 
110:	5 1 
1100:	1 
1101:	1 
1102:	1 
1104:	1 
1105:	5 
1106:	1 
1107:	3 
1109:	3 
111:	1 
1110:	1 
1111:	2 1 3 
1112:	1 2 
1113:	2 
1114:	3 
1115:	3 
1117:	1 1 1 1 1 1 1 1 7 
1118:	6 
1119:	4 
1121:	3 
1123:	1 
1124:	1 
1125:	1 
1127:	1 
1128:	2 
1129:	1 2 
113:	3 
1130:	3 
1131:	1 2 3 
1132:	1 1 
1133:	4 1 
1134:	4 
1135:	1 
1137:	2 
1138:	2 
1139:	4 
1141:	4 
1142:	5 
1143:	1 2 
1144:	2 
1145:	2 
1146:	3 1 
1147:	1 
1148:	1 
1149:	2 
115:	3 
1151:	1 
1152:	4 
1153:	1 
1154:	1 
1156:	1 
1157:	1 1 1 
1158:	1 
1159:	12 
116:	6 2 4 
1161:	1 
1162:	1 
1163:	2 
1164:	2 3 
1165:	2 
1166:	1 2 1 
1168:	7 2 
1169:	4 6 2 
117:	5 
1170:	2 
1171:	2 5 
1172:	1 1 
1173:	2 10 
1175:	1 
1176:	3 
1177:	4 
1178:	1 
1179:	3 
1180:	1 2 
1182:	1 
1183:	3 
1184:	1 
1185:	4 
1186:	1 
1188:	1 
1189:	1 
119:	2 1 1 
1191:	1 
1193:	2 
1194:	1 1 2 
1196:	1 
1197:	1 
1198:	1 
1199:	2 
1200:	4 
1203:	2 
1204:	1 1 
1205:	2 
1207:	3 
1208:	1 
1209:	2 
121:	1 
1210:	3 
1211:	2 
1212:	1 
1213:	4 2 
1214:	4 
1215:	1 
1216:	1 
1217:	1 
1219:	1 1 
122:	3 
