=== non-contiguous nft : chains ===
Found 1175 chain interruption in 3953 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1001:	2 7 
1002:	2 
1008:	1 
101:	1 
1012:	2 
1014:	2 
1015:	3 3 
1019:	2 
102:	1 
1022:	8 
1023:	1 
1024:	1 
1026:	2 
1029:	2 2 
103:	3 
1030:	1 1 
1031:	1 
1032:	1 
1033:	1 3 
1034:	2 
1035:	1 
1037:	1 
104:	2 
1040:	1 
1041:	1 4 
1043:	3 
1046:	2 
1047:	1 
1048:	1 
1051:	2 
1054:	1 
1059:	2 1 
1061:	1 1 1 
1062:	1 
1063:	3 
1065:	4 
1067:	2 
1068:	1 
1069:	4 
1070:	3 1 2 
1071:	3 
1074:	1 
1075:	1 1 
1076:	1 1 
1079:	2 
1082:	2 2 3 
1084:	3 
1085:	1 
1087:	3 
1089:	2 
1090:	4 
1091:	1 
1092:	2 
1093:	1 2 2 
1094:	1 1 
1095:	1 1 
1096:	1 1 1 
1097:	3 
1098:	1 
11:	2 
1101:	2 
1103:	1 
1107:	2 
1108:	1 
1109:	2 
1110:	1 
1112:	2 6 
1113:	2 
1114:	1 
1115:	1 
1123:	4 
1124:	1 
1128:	1 
1129:	3 1 
1131:	1 
1133:	1 
1134:	1 1 
1135:	1 
1136:	2 
1137:	1 
1138:	1 
1139:	1 
1140:	1 
1141:	1 
1142:	1 
1143:	2 
1144:	1 1 
1146:	1 
1147:	3 1 1 
1149:	1 
115:	1 
1151:	1 2 
1152:	1 
1155:	2 
1156:	1 
1157:	1 
1158:	1 
1159:	3 
116:	1 2 
1160:	4 
1161:	1 
1162:	1 
1163:	1 
1165:	2 
1166:	1 1 
1167:	1 1 2 
117:	2 
1171:	2 2 
1172:	2 1 
1173:	3 
1175:	1 
1176:	1 
1177:	2 1 
1178:	1 
1179:	1 2 1 
118:	5 
1180:	2 
1181:	2 1 
1182:	3 
1184:	1 
1188:	3 
1191:	2 
1193:	3 
1196:	1 
1198:	1 
1199:	2 
120:	1 
1200:	3 
1201:	1 1 
1205:	3 3 5 
1206:	2 1 
1207:	1 
1209:	3 2 
121:	1 
1212:	3 
1213:	1 
1214:	2 
1217:	1 4 
1218:	1 
1219:	2 
122:	1 
1220:	2 
1222:	1 2 
1223:	1 
1224:	1 
1227:	1 
1228:	6 
123:	2 1 
1230:	1 2 
1231:	2 
1235:	1 3 
1237:	1 
1238:	4 
1239:	1 
124:	1 2 
1241:	2 1 
1243:	1 
1245:	2 1 
125:	1 
1250:	3 
1251:	2 
1252:	3 
1253:	1 
1257:	2 
1258:	1 
1259:	1 1 1 
126:	2 1 
1260:	1 2 1 
1261:	1 
1262:	1 
1265:	3 
1266:	1 1 
1267:	1 
1268:	2 
127:	2 
1271:	1 
1272:	1 1 1 
1273:	1 
1274:	3 
1276:	1 1 
1279:	2 
1283:	3 
1284:	1 
1285:	1 
1288:	2 
129:	1 
1294:	1 
1297:	3 
1298:	1 
1299:	2 
13:	1 
130:	5 
1300:	2 
1301:	8 6 1 1 
1302:	5 
1303:	1 
1306:	2 
1307:	1 
1308:	2 2 1 
131:	3 
1310:	1 1 
1311:	1 
1312:	1 1 
1313:	1 
1314:	1 
1315:	1 
1317:	2 
1319:	1 
1320:	2 
1324:	1 
1325:	1 
1327:	1 1 
1329:	3 4 
1330:	1 
1331:	1 2 
1334:	1 
1335:	1 
1336:	1 
1339:	5 
134:	1 
1342:	3 1 
1343:	1 
1344:	1 
1348:	2 
1349:	6 
135:	1 
1351:	1 1 
1353:	1 
1355:	1 
1357:	1 
1358:	1 1 1 
1359:	1 2 
1362:	1 
1363:	2 
1364:	1 
1366:	1 
1367:	1 1 
1368:	1 1 
1369:	1 
1372:	2 
1373:	3 
1375:	5 
1376:	1 2 
1377:	1 1 
138:	3 
1382:	2 
1384:	2 
1385:	2 
1386:	4 
1387:	1 1 
1388:	1 
1390:	2 
1391:	2 2 
1396:	1 
1397:	1 
1398:	3 
1399:	2 
140:	5 
1400:	2 
1401:	1 1 
1403:	1 2 
1404:	2 
1405:	1 
1406:	3 2 1 
1407:	1 
1408:	1 
1409:	1 
1410:	1 
1411:	3 
1412:	1 
1413:	1 
1414:	1 
1415:	1 3 
1416:	2 
1417:	2 
1418:	1 
1419:	2 1 1 1 
1421:	1 2 
1422:	4 
1424:	1 
1425:	3 
1426:	4 
1430:	1 
1433:	3 
1434:	1 1 
1437:	2 
1438:	2 
1439:	1 
1440:	3 
1441:	1 
1442:	3 
1444:	1 
1447:	1 
1449:	2 
145:	1 
1450:	2 1 
1451:	1 
1454:	1 2 
1455:	1 
1456:	1 
1457:	1 1 
1458:	1 
146:	4 
1461:	3 
1462:	3 
1463:	1 
1466:	2 
1467:	1 1 
1469:	4 
147:	2 1 1 2 
1470:	4 1 
1471:	2 
1472:	3 
1474:	2 1 
1479:	1 
148:	3 
1480:	1 1 
1482:	2 2 
1483:	1 
1484:	3 
1485:	1 2 
1486:	2 
1487:	1 
1488:	1 
149:	3 
1491:	1 1 
1492:	1 
1494:	1 
1495:	2 
1497:	1 
1498:	1 
1499:	1 
150:	2 1 1 
1501:	1 1 1 
1502:	1 2 1 
1506:	1 
1508:	1 1 3 3 
1509:	2 
151:	1 
1510:	1 
1511:	6 
1513:	1 
1515:	8 
1516:	1 
1518:	2 
1519:	3 2 
152:	1 
1520:	3 
1521:	2 2 3 
1522:	1 
1523:	1 
1524:	3 
1526:	3 
1528:	2 
1529:	1 
153:	1 
1531:	1 
1532:	3 
1533:	2 
1534:	1 
1535:	2 1 
1536:	4 
1537:	1 
1538:	1 1 1 
154:	2 
1542:	1 1 
1543:	1 
1544:	1 
1545:	2 1 
156:	2 
1566:	1 1 
1567:	1 
1568:	1 2 
1569:	1 
1571:	2 
1573:	1 
1574:	2 
1575:	1 
1577:	1 
158:	1 2 1 
1582:	3 
1584:	2 1 
1585:	1 
1588:	3 
1591:	1 
1593:	2 
1594:	1 
1595:	2 
1599:	1 
16:	2 
160:	1 
1602:	1 
1603:	1 
1608:	2 1 
161:	1 
1610:	1 
1614:	4 
1615:	2 
1617:	1 
1618:	2 
1619:	1 8 
1620:	1 
1623:	1 9 
1626:	1 
1627:	1 
1628:	1 
163:	1 1 
1630:	1 
1632:	2 2 
1633:	2 
1634:	2 
1635:	2 
1636:	2 
1639:	2 
164:	1 1 
1640:	3 
1641:	1 3 
1642:	1 
1644:	4 
1645:	4 
1646:	3 1 
1647:	1 1 
1648:	3 1 
1649:	4 
165:	1 
1650:	2 
1651:	4 
1652:	1 
1654:	2 
1656:	1 2 
1658:	2 
1660:	3 3 
1661:	2 
1665:	1 
1666:	1 1 
1668:	3 
167:	1 1 1 
168:	1 4 
1681:	1 
1682:	1 
1684:	1 
1687:	1 
1688:	4 
169:	2 1 
1690:	1 
1691:	1 
1693:	2 
1695:	2 
1700:	2 
1701:	1 3 1 
1702:	1 3 
1703:	4 
1704:	2 2 
1705:	3 
1706:	4 
1707:	1 2 
1708:	2 
1709:	2 
1710:	1 1 
1711:	2 
1712:	1 
1713:	1 
1714:	1 1 1 
1718:	2 
1719:	1 1 1 
1743:	5 
1747:	2 
1749:	2 3 
1755:	1 1 
1756:	2 
1758:	2 
1759:	1 
1761:	1 
1763:	1 
1766:	2 
1767:	1 1 
1768:	1 
1769:	1 
1770:	1 
1771:	2 
1772:	2 
1773:	4 
1775:	3 
1776:	1 
1778:	6 
1781:	6 
1784:	1 
1786:	1 
1791:	1 
1792:	1 
1795:	1 
1796:	1 1 
1797:	1 1 
1798:	1 
1799:	1 1 
1803:	1 
1804:	2 1 
1805:	3 
1806:	1 
1807:	2 
1808:	1 
1810:	2 
1812:	4 2 
1813:	1 
1814:	1 1 4 
1818:	1 1 
1820:	1 2 2 
1822:	1 
1825:	3 
1826:	3 
1828:	2 
1829:	2 
1830:	1 2 
1831:	1 
1832:	1 1 
1833:	2 
1835:	5 
1836:	1 1 
1837:	2 
1838:	1 1 
1839:	1 2 
1840:	1 
1841:	1 
1843:	2 
1846:	1 
1847:	2 
1848:	1 
1849:	2 
1850:	1 2 
1851:	3 
1855:	2 
1856:	1 
1864:	3 
1865:	2 
1866:	1 
1871:	2 
1874:	1 
1877:	2 
1878:	3 
188:	2 
1882:	1 
1885:	2 
1886:	2 
1888:	2 
1889:	1 
189:	2 
1895:	2 
1897:	2 
1898:	6 
19:	1 2 
190:	4 
1900:	1 2 
1902:	2 
1907:	1 
1908:	2 2 
191:	1 5 2 
1910:	1 1 
1911:	1 
1912:	2 5 
1913:	1 
1914:	1 
1915:	1 1 2 
1916:	2 
1917:	1 2 
1918:	1 
192:	4 
1921:	1 
1922:	3 
1923:	3 
1924:	1 
1925:	2 
1926:	2 
1928:	1 
193:	1 1 
1932:	3 
1933:	3 
1938:	2 
1941:	4 
1942:	2 
1943:	2 
1944:	2 
1945:	4 
1946:	1 1 
1947:	2 
1949:	1 
1950:	1 1 
1954:	1 
1958:	1 
1964:	1 
1966:	1 
1968:	1 
1973:	1 1 
1976:	1 3 
198:	2 
1980:	1 
1981:	1 1 1 
1983:	2 
1984:	3 1 
1986:	3 
1987:	1 
1988:	1 
199:	1 
1990:	1 1 
1994:	1 
1995:	2 
1996:	1 4 
1997:	1 
1998:	2 
20:	1 
2001:	1 
2002:	1 
2003:	2 
2004:	1 
2005:	1 
2006:	1 
2007:	2 
2008:	1 
2010:	1 
2011:	3 
2012:	2 
2014:	1 
2015:	1 
2016:	1 1 
2019:	2 
202:	4 5 1 
2020:	1 
2021:	1 
2023:	1 
2025:	1 1 
2026:	2 
2028:	1 
2029:	1 
203:	2 
2030:	1 
2031:	1 
2035:	1 
2036:	1 
2037:	3 1 1 
2038:	1 1 1 
2039:	2 
2040:	4 
2041:	1 1 
2048:	2 
2049:	3 1 1 
2050:	3 
2051:	2 2 
2052:	1 
2053:	2 
2055:	1 
2056:	2 
2057:	3 
2058:	4 
2059:	1 
2060:	2 
2061:	1 
2062:	2 
2063:	2 
2064:	1 1 1 
2066:	1 1 
2067:	1 1 
2068:	3 
2070:	6 
2073:	1 
2074:	1 1 
2077:	1 
2078:	2 
2079:	5 
2080:	1 1 
2081:	2 
2082:	2 1 2 1 
2085:	1 1 3 1 1 
2087:	2 
2088:	1 1 
2090:	1 
2091:	1 
2092:	1 
2093:	1 3 
2094:	3 3 
2095:	2 
2096:	2 
2097:	1 
2098:	1 1 
2099:	1 
210:	4 
2100:	1 2 
2101:	1 
2105:	2 
2108:	3 
2110:	2 
2112:	2 1 2 4 
2113:	1 
2116:	1 
2117:	1 
2118:	1 
2119:	1 1 
212:	2 1 
2121:	1 
2122:	1 
2123:	1 
2124:	1 
2125:	1 2 
2127:	1 
2133:	1 
2135:	1 
2138:	1 1 1 
2139:	1 
2141:	2 
2144:	1 1 
2145:	1 
2146:	1 
2148:	2 1 
2149:	1 2 
215:	1 
2150:	1 2 
2151:	1 1 
2152:	2 3 2 
2154:	1 
2155:	1 2 2 
2156:	1 
2157:	1 
2159:	1 1 
216:	2 
2160:	1 
2161:	2 
2162:	3 1 
2163:	1 
2164:	2 
2166:	1 
2168:	2 1 
2169:	1 
217:	1 
2172:	3 
2175:	1 
2179:	1 
218:	1 
2181:	1 
2183:	1 
2189:	1 
219:	3 
2190:	2 
2193:	1 
2194:	1 
2196:	1 
2198:	2 
2199:	1 
22:	1 
220:	3 
2200:	12 2 
2201:	1 2 
2202:	2 
2209:	1 
221:	4 1 1 1 
2210:	1 
2211:	1 
2214:	7 
2215:	1 1 1 
222:	1 
2229:	1 
2230:	3 7 
2234:	3 
2235:	2 
2236:	1 2 3 
2237:	2 
2239:	1 
2240:	2 2 1 1 
2241:	4 
2243:	1 
2245:	2 
2247:	2 
2248:	1 
2249:	3 
2250:	1 
2251:	1 
2252:	1 
2253:	1 
2254:	4 
2255:	2 
2256:	1 
2259:	1 1 
2260:	1 1 
2261:	8 3 3 
2264:	2 1 
2265:	1 
2266:	3 
2267:	1 1 
2269:	2 2 
2270:	1 
2272:	1 1 
2274:	1 1 
2276:	1 
2277:	2 
2281:	2 
2282:	2 
2283:	2 
2284:	1 
2286:	1 
2289:	1 
2291:	2 
2292:	1 
2294:	1 
2295:	1 
2296:	1 
2298:	2 
2299:	1 
2302:	4 
2304:	1 
2305:	1 
2306:	2 
2307:	1 
2309:	2 
2310:	2 
2314:	2 
2317:	1 
2319:	1 
2321:	1 
2322:	2 1 
2323:	1 
233:	2 
2331:	1 
2332:	2 
2333:	2 
2334:	1 
2335:	1 2 
2336:	2 
2337:	3 
2338:	2 
2339:	1 
234:	1 
2340:	1 3 1 
2341:	1 
2343:	3 3 
2344:	1 
2349:	1 
235:	1 2 
2350:	1 
2351:	3 1 
2355:	1 1 
2356:	1 
2358:	1 
2359:	2 
2360:	1 
2362:	1 
2363:	1 
2367:	2 
2370:	1 1 3 
2372:	1 
2373:	5 
2374:	1 
2375:	3 
238:	1 
2383:	1 
2385:	1 
2386:	3 1 
2387:	1 3 
2389:	2 
239:	1 2 
2390:	1 
2391:	1 1 1 
2393:	1 
2397:	3 
2399:	2 
24:	2 
2400:	1 1 
2401:	1 
2405:	3 
2406:	1 
2407:	1 
2409:	1 
2410:	1 
2412:	1 
2419:	1 
242:	1 
2420:	3 
2421:	2 
2422:	2 3 
2423:	1 
2424:	2 
2425:	3 
2427:	1 
2428:	1 1 
2429:	2 2 
243:	2 
2430:	2 
2431:	2 
2434:	1 1 
2435:	4 
2436:	1 
2439:	1 
2440:	1 
2441:	4 
2442:	1 1 
2443:	1 
2444:	3 
2445:	2 
2448:	1 
2450:	2 1 
2455:	2 
2456:	2 1 1 
2457:	1 
2458:	4 
2459:	4 
246:	3 
2462:	3 3 
2463:	1 1 1 
2466:	1 1 
2467:	1 
247:	2 
2470:	1 
2474:	1 
2475:	5 
248:	4 3 1 
2482:	1 
2484:	1 1 
2487:	1 
2488:	1 
249:	2 
2493:	3 
2498:	2 
2499:	1 
250:	2 
2500:	4 
2502:	1 
2503:	1 2 1 
2505:	1 1 
2506:	1 
2507:	1 
2508:	2 
2509:	1 
251:	1 
2511:	1 
2514:	4 
2515:	1 
2516:	1 
2517:	2 11 1 
2521:	1 
2524:	2 
2525:	2 
2526:	8 
2527:	1 
2529:	1 
2530:	1 
2532:	1 
2533:	4 
2535:	2 
2537:	1 
2539:	2 
254:	1 
2540:	1 
2541:	1 
2542:	2 
2543:	2 
2544:	1 
2545:	3 
2546:	1 
2547:	2 
2548:	2 
2549:	1 
255:	1 
2550:	1 
2551:	1 
2552:	1 1 
2554:	1 
2555:	1 
2559:	1 
256:	1 
2562:	3 1 1 1 
2563:	3 
2564:	2 
2565:	1 
2566:	1 
2567:	5 
2568:	2 
2569:	1 1 
257:	1 
2570:	2 
2571:	2 3 
2573:	7 
2574:	1 
2576:	2 
2578:	1 
2579:	1 
258:	2 1 
2581:	2 
2582:	1 
2583:	1 
2585:	5 1 
2586:	1 
2587:	2 
2588:	2 
259:	1 
2591:	2 
2592:	3 
26:	1 
260:	2 1 
2601:	2 
2602:	2 
2603:	1 
2605:	2 
2607:	1 
2608:	1 
2609:	1 
2610:	5 
2611:	2 
2612:	1 
2615:	1 1 1 2 1 1 
2616:	1 1 
2617:	1 
2618:	1 
2619:	1 
262:	1 
2620:	1 
2623:	1 
2624:	1 
2626:	2 
2628:	1 
2630:	2 1 
2633:	1 
2640:	1 
2641:	1 
2642:	1 
2643:	2 
2645:	1 
2647:	4 1 1 
2649:	1 
2650:	1 
2651:	5 
2652:	1 
2653:	1 
2654:	1 1 
2655:	1 
2656:	1 
2657:	1 1 
2658:	1 
2659:	2 
2660:	1 
2661:	1 
2662:	1 
2663:	1 
2666:	1 1 
2667:	3 
2668:	1 
2669:	1 3 3 
267:	2 
2670:	1 
2672:	1 
2673:	1 1 1 
2690:	1 1 
2691:	5 5 
2694:	3 
2695:	3 
2696:	4 
2697:	1 
2698:	1 
27:	1 2 
2701:	5 
2702:	2 1 
2703:	2 2 
2704:	2 
2705:	2 
2706:	2 2 1 
2707:	1 1 
2708:	1 
2709:	1 
2710:	1 
2711:	1 
2714:	1 
272:	2 
2725:	2 
2727:	3 
2728:	2 1 1 
2729:	1 
2733:	1 
2735:	2 
2736:	1 
2737:	1 
2738:	1 
2739:	2 4 1 2 3 
2740:	2 
2742:	2 1 
2744:	1 1 
2745:	1 
2747:	2 4 
2749:	1 
275:	3 
2752:	1 1 
2753:	2 1 
2755:	1 
2757:	2 
2758:	2 
276:	1 2 
2761:	1 
2762:	4 
2763:	1 1 
2764:	2 
2765:	1 
2766:	1 
2769:	1 
277:	1 1 
2770:	1 
2774:	1 2 
2775:	4 
2776:	1 2 
2777:	3 
2778:	1 
2779:	3 
2784:	1 
2785:	1 1 
2786:	1 
2787:	1 
2788:	1 1 
2789:	1 1 5 2 
2790:	1 3 
2791:	2 2 
2793:	2 
2794:	1 
2795:	2 1 
2796:	1 
2797:	3 
2798:	2 
28:	2 
280:	2 1 
2800:	1 
2803:	1 
2804:	4 
2805:	1 
2807:	2 
2808:	1 
2809:	1 1 1 
281:	2 
2810:	3 1 2 
2812:	1 
2814:	1 
2815:	3 
2817:	1 
2818:	1 
2819:	2 
282:	2 
2820:	2 1 
2821:	2 2 
2822:	1 
2823:	1 1 
2825:	1 
2829:	1 2 5 
2833:	2 
2834:	3 
2836:	1 3 
2838:	1 
2839:	2 
284:	1 1 
2840:	3 
2841:	3 
2842:	2 
2845:	2 
2846:	3 
2847:	1 
2848:	4 
2849:	2 
2853:	2 2 
2854:	1 
2855:	1 
2859:	2 
286:	1 
2860:	1 
2861:	1 
2863:	1 
2864:	1 
2866:	1 
2869:	1 
287:	1 
2872:	1 1 1 
2878:	4 
2879:	1 2 
2880:	1 
2887:	1 4 
2888:	2 
289:	5 
2898:	2 
2899:	1 
29:	1 
290:	4 2 
2900:	3 
2902:	2 
2903:	2 
2904:	1 
2905:	2 1 
2906:	6 
2907:	1 
2908:	1 
2909:	1 1 
291:	2 
2912:	1 
2913:	2 
2915:	1 
2916:	1 
2921:	1 
2922:	3 
2924:	1 
2925:	1 
2926:	1 
2927:	2 
2928:	2 
2929:	4 
2931:	2 2 
2933:	1 1 
2934:	1 
2935:	2 
2936:	1 
2937:	2 
2938:	1 
294:	3 1 
2944:	1 
2947:	2 
2949:	1 
2950:	2 1 1 
2952:	1 
2955:	1 1 
2956:	1 
2957:	1 
2958:	1 
2959:	1 
296:	1 
2960:	6 
2961:	4 2 2 
2962:	3 
2963:	1 
2965:	1 
297:	1 
2971:	1 
2972:	1 2 
2974:	3 
2975:	1 
2976:	1 6 
2977:	1 
2979:	1 
298:	1 
2980:	2 
2982:	2 
299:	1 
2998:	1 
2999:	1 
30:	1 
300:	1 1 
3000:	2 
3002:	1 2 
3003:	1 5 
3007:	1 
3008:	3 
3011:	1 
3012:	1 1 
3013:	1 2 1 
3014:	2 
3015:	1 
3016:	1 1 
3017:	5 
3018:	1 
3019:	1 2 1 
302:	2 
3020:	1 1 
3022:	1 
3024:	1 
3027:	2 
303:	2 
3032:	3 
3034:	2 1 
3035:	1 
3037:	2 
3038:	2 
3039:	3 
3042:	1 1 1 
3043:	2 
3044:	3 
3045:	3 
3046:	1 2 
3047:	3 1 
3048:	1 
305:	1 1 
3050:	2 2 1 
3053:	1 
3055:	1 
3056:	2 1 
3058:	1 
3060:	5 
3061:	3 
3062:	1 
3063:	2 
3064:	2 
3065:	1 
3066:	1 1 
3067:	1 
3069:	1 4 
307:	2 
3073:	3 
3074:	4 2 2 
3075:	2 
3076:	1 
3077:	3 
3078:	2 
3079:	1 
3081:	1 
3084:	3 
3085:	1 
3087:	1 
3088:	1 
3089:	2 
3091:	1 1 
3093:	1 
3094:	1 
3095:	2 
3096:	1 
3098:	1 
3099:	3 
31:	1 1 
3104:	1 
3105:	1 
3106:	2 
3107:	1 
3108:	1 1 1 
3111:	1 
3114:	1 
3115:	1 
3118:	1 
3121:	1 
3122:	3 1 
3124:	1 2 
3125:	1 
3127:	2 1 
314:	1 
3142:	1 
3144:	2 
3146:	1 
3148:	1 
3151:	1 2 
3152:	2 
3153:	1 
3154:	2 2 
3155:	3 
3157:	1 
3158:	2 
316:	1 
