=== non-contiguous nft : chains ===
Found 8095 chain interruption in 9565 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
1000:	1 
10000:	2 
10001:	2 
10002:	2 
10003:	7 6 1 1 3 6 
10004:	4 
10005:	16 7 4 3 2 1 
10006:	2 3 1 1 
10007:	4 
10008:	3 1 
10009:	1 2 3 1 2 2 1 1 3 1 
1001:	2 1 
10010:	2 
10011:	4 
10012:	2 
10013:	1 1 1 
10014:	5 
10015:	1 
10017:	5 
10018:	2 4 2 3 
10019:	4 
1002:	1 
1003:	1 
1004:	1 
1005:	1 1 
1006:	2 2 
1007:	5 
1008:	2 1 
1009:	2 2 
101:	2 1 1 
1010:	4 
1011:	5 4 2 6 
1012:	3 4 
1013:	2 
1014:	7 
1015:	4 
1016:	4 
1017:	4 
1018:	3 2 1 2 
1019:	1 3 
1020:	2 
1021:	2 
1022:	4 2 
1023:	1 
1024:	3 2 
1025:	1 
1026:	1 
1027:	2 1 1 
1028:	4 1 2 
1029:	3 
1030:	2 2 1 
1031:	3 1 
1032:	6 
1033:	4 
1034:	4 
1035:	3 
1036:	4 
1037:	2 
1038:	3 
1039:	4 
104:	4 
1040:	10 6 1 3 2 1 
1041:	8 1 
1042:	6 5 6 1 1 3 6 
1043:	2 
1044:	1 
1045:	9 
1046:	2 
1047:	3 2 2 1 4 
1048:	2 1 
1049:	4 1 
105:	2 
1050:	2 1 
1051:	2 
1052:	1 
1053:	1 
1054:	5 1 
1055:	2 
1056:	6 
1057:	1 8 1 1 1 1 11 
1058:	4 1 2 
1059:	2 5 1 1 
106:	2 2 
1060:	2 1 1 1 2 
1061:	4 3 
1062:	1 
1063:	3 1 
1064:	1 
1065:	5 
1066:	3 2 
1067:	4 1 
1068:	2 
1069:	4 1 
1070:	1 
1071:	2 4 1 13 
1072:	1 
1073:	1 
1074:	2 1 2 3 
1075:	3 7 9 1 2 10 2 5 1 5 
1076:	7 
1077:	3 1 
1078:	1 
1079:	1 
1080:	6 
1081:	4 
1082:	4 
1083:	1 
1084:	4 
1085:	3 1 
1087:	5 
1088:	5 
1089:	6 
109:	1 
1090:	4 
1091:	3 
1092:	1 
1093:	1 
1094:	3 1 
1095:	2 
1096:	2 2 
1097:	1 
1098:	1 5 2 1 2 2 
1099:	3 
110:	1 2 
1100:	1 
1101:	1 
1102:	1 
1103:	1 
1104:	1 
1105:	6 
1106:	1 2 4 6 
1107:	6 
1108:	1 4 3 
1109:	4 
111:	1 4 
1110:	1 1 1 
1111:	2 
1112:	2 2 
1114:	3 
1115:	1 1 1 
1116:	1 1 2 
1117:	2 1 1 3 
1118:	1 8 
1119:	2 2 
112:	2 1 1 2 
1120:	1 2 2 
1121:	1 2 
1122:	1 
1123:	8 1 
1124:	7 2 
1125:	1 1 
1126:	4 1 1 
1127:	2 
1128:	3 1 
1129:	3 
113:	1 
1130:	1 1 
1131:	6 
1132:	4 
1133:	6 
1134:	4 
1135:	1 
1136:	5 4 
1137:	4 
1138:	1 
1139:	2 
