=== non-contiguous nft : chains ===
Found 14237 chain interruption in 8320 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	1 
100:	2 1 2 2 
1000:	2 1 5 2 
1001:	4 
1002:	1 
1004:	3 
1005:	2 6 
1006:	1 1 2 
1007:	3 1 
1008:	1 
1009:	1 
101:	2 
1010:	1 
1011:	2 3 2 1 
1012:	1 2 13 1 
1013:	3 5 
1014:	2 1 
1015:	1 1 3 1 
1016:	2 1 
1017:	1 
1018:	1 1 
1019:	2 
102:	2 2 
1020:	1 
1021:	1 
1023:	1 1 3 3 1 
1024:	8 1 5 2 
1025:	2 1 2 
1026:	1 3 
1027:	3 
1028:	2 
1029:	3 7 1 3 1 1 
103:	1 1 
1030:	2 
1031:	1 
1032:	2 1 1 
1033:	2 
1034:	1 1 2 1 2 
1035:	2 1 
1036:	2 2 1 1 1 
1037:	1 
1038:	2 6 
1039:	1 1 3 2 1 2 
104:	1 1 1 1 1 3 2 1 
1040:	2 1 
1043:	1 
1044:	1 1 
1046:	2 1 
1047:	5 
1048:	3 3 6 4 1 1 3 1 1 
1049:	2 
105:	4 
1050:	1 3 2 
1053:	3 
1054:	2 
1055:	2 1 3 1 
1057:	2 
1058:	1 1 2 
1059:	1 
106:	2 
1061:	1 
1064:	1 
1066:	1 
1067:	2 
1069:	1 
107:	2 
1070:	3 
1071:	1 4 1 1 2 2 1 1 1 
1072:	2 1 
1073:	1 1 1 2 
1074:	1 1 3 
1075:	2 
1076:	1 
1077:	2 
1078:	7 
1079:	2 
108:	1 
1081:	1 1 6 2 1 4 
1082:	2 1 1 1 1 
1083:	2 
1084:	1 1 1 1 1 1 
1085:	1 
1086:	4 
1088:	1 1 3 1 1 
1089:	1 
109:	2 
1090:	2 
1091:	5 
1093:	14 11 2 5 1 2 1 
1094:	2 
1095:	5 
1096:	1 
1097:	5 2 
1098:	3 4 4 
1099:	2 1 1 1 1 1 1 1 
110:	5 2 1 2 5 
1100:	3 3 2 
1101:	1 
1102:	2 
1103:	2 
1104:	3 
1105:	1 
1106:	1 
1108:	6 1 1 1 
1109:	1 1 
111:	1 
1110:	1 9 
1111:	1 
1114:	1 
1115:	1 
1117:	1 
1118:	3 1 
1119:	1 2 
112:	1 1 
1120:	1 3 3 1 
1121:	5 
1122:	2 1 6 2 1 2 1 
1123:	1 5 
1124:	2 1 1 2 
1125:	1 
1126:	2 1 
1127:	2 3 1 
1128:	2 
1129:	1 1 9 2 1 1 1 1 
1130:	3 2 4 2 2 1 
1131:	3 1 
1132:	1 1 1 1 
1133:	2 1 
1135:	3 1 3 1 5 
1136:	1 
1137:	3 3 
1138:	1 
114:	1 
1140:	1 1 
1142:	4 1 
1143:	6 
1144:	5 
1145:	8 1 1 1 
1146:	4 1 1 
1147:	1 
1149:	2 4 
115:	3 1 
