=== non-contiguous nft : chains ===
Found 6976 chain interruption in 5572 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	2 
1000:	1 
1001:	1 4 
1002:	3 
1003:	2 1 2 
1004:	1 
1005:	2 1 7 
1006:	1 6 6 11 
1007:	1 2 3 5 10 1 4 
1008:	1 
1009:	1 6 2 5 1 
101:	6 11 7 2 3 1 
1010:	1 2 
1011:	1 2 
1012:	1 2 3 2 1 1 3 7 
1014:	1 
1016:	17 
1017:	1 6 
1018:	1 1 15 
102:	1 
1022:	5 1 
1025:	2 1 1 
1026:	2 4 
1027:	2 
1031:	5 
1032:	1 3 
1033:	1 
104:	10 
1042:	1 
1044:	1 
1048:	1 1 4 3 3 
1050:	4 
1051:	1 1 
1052:	1 1 10 7 2 
1053:	1 
1054:	1 
1058:	13 5 
1059:	8 4 
106:	5 2 12 1 
1062:	3 
1063:	1 2 
1064:	1 6 
1066:	1 
1067:	1 2 4 
1069:	5 2 
1070:	6 5 
1071:	3 
1076:	1 2 4 
1078:	3 1 1 10 4 2 5 1 
1079:	1 2 2 8 
1080:	2 
1081:	2 2 2 1 
1085:	1 
1086:	3 9 14 
1087:	3 2 1 3 
1088:	3 
1089:	1 
109:	2 2 
1090:	2 2 
1091:	4 
1092:	1 
1095:	1 
1097:	1 1 
110:	1 
1100:	1 2 3 
1102:	1 2 7 2 
1105:	1 1 
1106:	1 1 1 
1108:	1 
1112:	1 
1117:	2 
1118:	2 
1119:	1 5 
1120:	2 2 
1124:	1 1 
1125:	6 1 
1127:	1 1 2 4 
1128:	1 
1130:	11 
1133:	1 
1134:	1 2 2 
1136:	1 3 1 1 
1138:	3 
114:	1 2 8 1 7 6 3 
1141:	2 
115:	2 
1150:	4 3 
1158:	1 
1160:	1 
1161:	1 
1162:	3 2 2 
1172:	2 2 3 
1174:	2 4 
1175:	7 10 3 2 8 
1176:	5 5 2 
1178:	2 2 1 
118:	2 1 1 5 
1183:	2 2 1 
1184:	1 
1187:	4 6 1 1 8 
1188:	2 1 
1189:	3 1 2 
1190:	1 1 1 1 
1192:	1 
1195:	1 1 3 1 3 4 7 6 
1196:	2 
1197:	2 
1199:	3 2 
12:	2 1 
1200:	1 
1203:	2 2 4 1 20 
1204:	7 3 2 5 
1206:	1 
121:	1 2 2 1 
1210:	1 
1214:	1 4 
1220:	6 
1225:	1 2 3 2 2 2 3 
1226:	1 1 1 
1227:	3 3 
123:	2 2 
1231:	2 7 
1232:	1 
1233:	1 
1234:	2 
1237:	1 
1238:	2 
1249:	1 2 
1250:	1 1 
1251:	2 2 
1259:	3 
126:	7 
1265:	2 9 3 
1266:	3 1 5 6 
127:	2 
1275:	2 
1276:	2 1 7 11 
1277:	1 2 4 1 
1278:	1 3 
128:	1 2 
1281:	9 4 3 
1282:	3 3 2 
1285:	3 1 1 7 2 1 6 1 10 
1286:	3 7 
1288:	2 
1289:	2 2 2 1 11 2 5 
129:	1 1 
1290:	1 1 
1291:	1 1 1 
1293:	2 2 4 
1295:	2 1 
1296:	2 1 2 
130:	1 3 1 1 2 
1301:	1 1 
1302:	1 2 
1303:	2 1 
1306:	1 
1307:	2 3 
1308:	2 3 2 
131:	5 
1310:	2 3 
1311:	2 1 
1312:	5 
1313:	1 2 4 3 12 
1314:	2 
1315:	1 
1316:	1 
1318:	1 1 
1321:	4 2 
1324:	7 1 
1326:	5 
1328:	1 
133:	1 1 
1334:	1 3 3 
1335:	5 
1339:	2 
134:	3 2 
1342:	1 1 1 2 1 
1343:	1 
1344:	2 2 2 3 
1347:	1 
1348:	1 
135:	3 2 
1350:	1 
1355:	3 1 
1356:	2 1 5 
1357:	2 
1358:	1 
1359:	2 
136:	3 1 2 2 
1361:	1 
1362:	1 
1369:	1 8 1 3 1 1 1 
1370:	2 
1372:	2 
1375:	1 1 9 1 2 1 2 1 
1377:	2 10 
1378:	2 3 7 
1379:	3 
1380:	2 3 1 
1383:	8 
1384:	3 1 
