=== non-contiguous nft : chains ===
Found 2161 chain interruption in 4774 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	3 
100:	2 1 
1000:	2 2 
10000:	1 
10002:	5 
10003:	2 
10004:	1 
10007:	2 
10009:	7 
1001:	1 1 1 1 
10010:	1 
10013:	1 
10015:	5 3 
10018:	2 
10019:	2 
1002:	1 
10020:	1 
10021:	3 
10022:	5 3 9 
10025:	1 2 
10028:	2 1 
10029:	1 
1003:	2 2 
10031:	1 1 5 
10032:	2 
10033:	4 
10039:	1 1 
10041:	1 
10045:	1 
10046:	7 3 
10047:	4 1 8 
1005:	1 
10050:	4 
10052:	5 
10054:	7 
10059:	1 
1006:	1 
10060:	5 2 
10061:	3 
10062:	1 
10065:	1 
10066:	7 2 
10069:	2 
1007:	8 
10071:	2 
10072:	6 
10074:	1 
10077:	1 
10079:	1 
10080:	4 
10082:	5 
10083:	4 3 1 
10084:	1 
10085:	1 
10086:	10 2 
10087:	1 
10091:	1 
10092:	3 1 
10094:	1 
10098:	2 
101:	2 
1010:	1 
10100:	1 
10105:	2 1 
10107:	3 1 1 
10112:	2 
10114:	1 
10121:	1 
10122:	1 
10123:	5 
10129:	1 
1013:	2 1 3 1 1 
10130:	2 
10136:	8 
1015:	2 
1016:	1 4 2 
1019:	1 
102:	3 
1020:	8 
1022:	1 
1023:	1 1 1 
1024:	4 
1026:	2 4 
1027:	2 
1028:	1 
103:	2 
1030:	1 
1032:	1 1 
1034:	2 
1035:	1 
1038:	1 15 3 
1039:	1 
104:	1 
1040:	1 
1041:	3 1 
1042:	2 
1043:	1 
1047:	1 
1048:	2 
1049:	2 2 3 2 
105:	1 
1051:	7 
1053:	5 
1054:	3 
1057:	1 
1058:	4 
106:	1 
1060:	2 
1061:	1 1 
1062:	1 
1064:	1 
1065:	2 1 
1066:	1 2 2 
1067:	2 
1068:	1 
107:	1 1 
1071:	1 
1072:	1 1 2 
1073:	1 
1075:	1 3 
1077:	1 
1078:	2 
108:	2 
1081:	5 
1082:	1 
1087:	1 
1089:	2 
109:	1 3 
1091:	1 2 
1092:	2 1 
1094:	1 
1095:	1 1 
1096:	1 
1098:	2 
110:	1 1 3 
1101:	1 
1103:	3 
1105:	1 
111:	3 
1110:	1 
1114:	1 
1116:	1 
112:	1 2 
1122:	1 
1124:	1 
1125:	5 
1126:	1 
1127:	1 
1128:	1 
1129:	1 1 
1135:	1 
1136:	1 
1138:	3 2 
1139:	3 
1142:	3 
1143:	5 
1145:	1 1 
1147:	1 
1148:	1 
1149:	3 
115:	1 
1151:	2 
1152:	1 
1153:	2 1 
1155:	1 3 1 2 
1156:	1 3 
1157:	4 
116:	1 
1160:	1 
1162:	2 
1163:	5 1 
1164:	1 
1165:	1 
1167:	2 
117:	1 
1170:	2 
1172:	1 
1173:	2 2 
1174:	3 
1175:	1 1 
118:	2 
1180:	2 
1181:	1 
1182:	2 
1183:	1 1 4 
1184:	1 
1185:	2 
1188:	1 
1189:	6 
119:	1 
1190:	2 
1191:	1 
1192:	2 
1196:	1 
1197:	1 
1201:	1 5 
1202:	1 
1203:	1 2 1 
1204:	1 1 
1205:	8 
1206:	1 2 
1207:	1 
1208:	1 
121:	1 
1212:	1 2 
1213:	1 2 6 
1216:	1 
1217:	1 
1218:	1 
1219:	4 
122:	2 
1223:	1 
1226:	2 
1229:	1 
1230:	3 1 
1231:	3 1 
1233:	2 3 
1234:	3 
1236:	2 
1237:	1 1 1 2 2 
1238:	2 1 
124:	2 
1241:	1 
1243:	2 
1244:	3 
1246:	1 2 
1247:	1 
1249:	11 1 
125:	1 
1250:	2 
1252:	1 2 
1253:	4 
1255:	1 
1256:	4 2 1 
1257:	2 
126:	1 
1260:	1 
1261:	2 
1262:	2 
1263:	1 1 1 
1264:	4 
1265:	4 1 
1266:	1 2 3 1 
1268:	1 
1269:	2 
127:	1 
1270:	4 
1272:	2 
1274:	2 
1275:	3 
1277:	1 
1278:	1 
1279:	2 
128:	2 
1282:	2 2 
1285:	3 
1287:	1 
1288:	2 4 2 
1289:	2 
129:	1 
1290:	1 1 
1291:	1 
1292:	1 
1294:	1 
1296:	2 
1297:	1 
1298:	1 
130:	1 1 
1300:	1 1 
1301:	2 
1303:	1 
1304:	4 
1305:	1 2 2 2 
1306:	2 
1307:	1 4 
1308:	2 
1309:	1 1 
1310:	1 2 
1313:	1 
1315:	2 3 
1316:	1 1 
1319:	1 3 1 
132:	3 
1322:	1 
1323:	2 
1325:	6 4 2 
1327:	1 3 4 2 
1329:	2 
133:	4 
1331:	1 3 
1332:	3 
1333:	1 
1334:	1 
1335:	1 
1336:	3 
1337:	1 2 1 1 
1338:	1 
134:	4 
1340:	1 1 
1341:	1 
1343:	2 10 
1345:	1 
1347:	2 
1348:	1 
1349:	1 
135:	2 
1352:	1 
1353:	5 
1354:	2 1 
1357:	3 
1358:	1 
1359:	2 
136:	2 1 1 
1360:	1 1 
1361:	2 1 
1362:	2 
1363:	3 
1364:	4 
1367:	2 
137:	1 
1372:	1 1 1 2 
1374:	4 
1375:	1 
1376:	2 
1377:	2 
1378:	1 
1379:	3 1 
1380:	1 
1381:	1 
1383:	3 
1385:	1 1 1 
1394:	1 
1396:	2 3 
1397:	2 
1398:	1 1 
1401:	3 2 
1404:	1 
1405:	1 
1408:	1 
1409:	2 
141:	2 1 1 1 
1410:	1 
1411:	3 
1413:	1 
1414:	1 
1415:	1 
1416:	2 
1418:	2 
1420:	2 
1423:	1 1 
1424:	1 
1425:	1 
1426:	1 
1428:	1 
1429:	1 
143:	15 
1430:	1 
1431:	2 1 1 
1434:	1 
1436:	2 
1437:	2 
1439:	1 5 
144:	1 
1440:	1 
1441:	2 
1442:	1 
1443:	1 
1444:	3 3 
1445:	2 1 
1446:	1 
1447:	1 
1448:	1 
1449:	1 
145:	1 
1450:	2 
1451:	1 
1452:	1 
1456:	2 
1458:	2 
1459:	2 
1460:	1 
1461:	2 
1462:	1 
1463:	3 1 
1464:	1 
1465:	14 
1466:	1 
1469:	4 
1470:	1 1 
1471:	1 1 3 3 
1473:	1 
1475:	1 1 1 
1476:	1 
1479:	1 1 1 1 
1480:	1 
1481:	1 
1483:	2 
1485:	2 
1486:	1 
1487:	1 
1488:	1 6 
149:	2 
1490:	9 4 
1492:	1 1 3 
1493:	1 3 1 
1495:	2 1 1 
1496:	1 3 2 
150:	2 
1501:	1 
1502:	1 1 1 
1504:	1 
1506:	1 
151:	2 
1511:	2 
1512:	1 1 
1513:	1 2 
1515:	1 1 
1517:	3 
1520:	1 1 
1521:	2 
1522:	1 1 
1524:	2 
1525:	1 1 
1526:	1 
1527:	1 
1528:	1 
1529:	1 1 1 1 
153:	1 1 
1530:	2 
1531:	1 
1538:	1 2 
1539:	2 
1540:	1 
1541:	6 2 
1542:	1 
1544:	2 
1545:	3 
1546:	4 2 
1548:	8 
155:	1 1 1 2 
1552:	2 
1553:	2 
1554:	4 
1555:	1 1 
1556:	1 1 
1557:	1 1 
1559:	1 
156:	1 
1561:	2 
1562:	2 11 
1565:	1 1 
1566:	4 6 
1568:	2 1 1 
1569:	1 
1572:	1 
1573:	1 1 
1575:	1 
1576:	1 
1577:	2 
1578:	1 
1579:	2 
158:	1 
1580:	1 
1582:	1 
1583:	1 
1584:	1 1 
1587:	1 2 
1589:	2 
159:	1 
1590:	1 4 
1592:	1 
1595:	1 
1596:	1 1 
1599:	1 
160:	2 
1600:	1 
1602:	2 
1603:	1 3 2 
1605:	2 
1606:	3 
1607:	1 
1608:	2 
1609:	1 1 
161:	1 
1610:	3 
1611:	1 
1612:	1 
1613:	4 
1616:	2 
1619:	1 
162:	3 
1620:	8 
1621:	4 
1622:	4 
1623:	1 7 2 
1626:	1 
1627:	1 
163:	3 6 2 
1630:	3 
1631:	4 
1633:	1 1 
1634:	2 
1635:	3 
1636:	1 1 
1637:	2 
1638:	2 
164:	2 1 
1643:	4 
1644:	3 4 
1645:	1 1 1 
1647:	1 1 
1648:	1 1 
1649:	3 
1650:	4 
1651:	3 1 1 
1652:	2 
1653:	6 
1654:	5 
1655:	2 2 1 
1657:	3 
166:	3 
1662:	3 1 
1664:	1 15 9 
1665:	3 
1666:	1 2 1 
1667:	1 
1669:	1 
167:	1 
1671:	1 1 6 2 6 
1672:	2 
1673:	2 1 
1674:	2 
1675:	2 3 
1677:	1 
1678:	2 
168:	4 
1681:	1 
1683:	2 
1684:	1 4 
1686:	1 
1688:	2 
169:	3 1 7 
1690:	2 
1691:	1 5 1 
1692:	2 
1693:	2 1 
1694:	1 1 
1695:	2 
1697:	3 
1699:	2 1 2 
170:	1 
1701:	1 
1704:	1 
1706:	3 
1707:	2 
1708:	3 
1710:	1 
1712:	2 
1713:	1 
1716:	1 
1717:	2 2 
172:	1 
1720:	1 
1722:	1 3 1 
1724:	2 
1726:	4 1 
1727:	2 1 
1729:	1 
1730:	2 
1731:	1 
1732:	1 
1733:	10 
1734:	1 1 
1735:	1 
1736:	1 
1739:	1 
174:	1 2 
1740:	1 
1742:	1 1 5 
1743:	2 2 1 1 
1745:	1 1 4 
1746:	3 
1747:	1 
1750:	2 
1754:	1 1 
1755:	1 
1756:	1 3 
1758:	4 
1759:	1 
176:	1 
1761:	1 
1764:	1 
1765:	1 1 
1768:	2 
1769:	1 
177:	1 
1770:	1 
1771:	1 2 
1772:	1 
1773:	1 3 
1774:	1 
1775:	4 13 1 
1777:	2 2 
1778:	1 2 
1779:	1 2 2 
178:	2 1 3 
1780:	2 2 1 
1781:	1 1 1 
1782:	3 1 
1787:	1 1 
179:	3 
1795:	1 1 
1796:	3 
1797:	1 
1798:	1 1 
1799:	2 
18:	2 
180:	2 
1801:	17 
1802:	1 
1804:	1 1 
1805:	1 2 
1808:	2 
1809:	4 2 
181:	2 1 
1812:	1 
1813:	2 
1814:	2 
1816:	1 2 
1817:	2 
1819:	1 
1823:	1 
1830:	2 
1831:	4 
1833:	1 
1834:	2 1 
1835:	7 1 
1836:	2 
1838:	1 
1839:	1 2 4 5 
184:	3 
1840:	1 
1842:	1 
1843:	1 
1844:	1 
1845:	1 1 
1846:	1 
185:	1 
1850:	3 
1852:	1 
1853:	11 
1856:	1 
1857:	1 
1858:	1 1 
1859:	1 7 
186:	1 
1861:	2 
1862:	2 
1863:	2 
1865:	1 
1867:	2 
1868:	6 1 
1869:	1 3 6 
187:	3 
1870:	3 
1871:	3 
1875:	1 
1876:	1 
1877:	1 2 
1878:	1 
188:	1 1 
1881:	4 
1884:	1 
1886:	1 1 
1887:	1 
1893:	3 
1897:	1 
1899:	1 2 1 
190:	1 
1904:	1 
1908:	1 
1909:	1 
1910:	1 
1911:	2 
1915:	1 1 
1916:	1 1 
1917:	4 
1919:	1 
192:	5 2 
1921:	1 7 
1924:	1 
1925:	1 1 
1927:	1 1 
1928:	2 
1929:	1 
193:	1 
1930:	1 1 
1932:	4 1 
1933:	1 
1935:	1 
1936:	1 
1938:	1 
194:	1 
1940:	1 
1941:	2 
1942:	1 1 
1943:	1 
1945:	1 2 1 8 
1947:	2 
1948:	3 4 
1949:	1 2 
1950:	2 4 
1952:	10 3 
1954:	2 
1955:	1 
196:	2 5 
1960:	1 1 
1963:	1 
1964:	2 
1965:	1 
197:	1 
1971:	1 3 
1972:	2 
1973:	3 
1974:	1 
1975:	1 
1977:	1 
1978:	1 
198:	1 
1980:	1 2 
1985:	10 
1987:	1 
1988:	1 
199:	1 
1990:	1 
1994:	1 
1995:	2 
1997:	1 
1998:	2 1 
20:	3 
200:	1 
2001:	1 2 6 
2002:	1 2 
2004:	7 
2008:	1 
2011:	1 
2013:	1 
2014:	3 1 1 1 
2018:	1 2 
2019:	1 1 3 
202:	1 
2021:	2 
2022:	1 
2025:	9 
2027:	1 
2028:	1 1 
2029:	1 
203:	2 1 1 1 
2031:	1 
2032:	1 
2034:	1 1 1 1 
2036:	2 
2039:	1 1 
204:	1 4 1 
2041:	2 
2045:	3 2 3 
2046:	1 5 4 
2047:	2 
2048:	2 
2049:	5 7 
205:	2 
2050:	1 
2053:	1 1 
2054:	1 
2057:	1 
2058:	3 
2061:	2 
2064:	1 
2065:	1 2 4 
2066:	1 
207:	1 1 
2074:	1 2 2 2 
2075:	2 1 
2076:	3 
2078:	2 
2079:	2 
2080:	1 
2081:	1 
2085:	1 
209:	6 
2090:	1 
2092:	1 
2096:	1 
2097:	1 2 
2098:	4 
21:	5 
210:	1 1 
2104:	2 
2106:	1 1 
211:	1 1 
2116:	3 
212:	3 
2120:	1 
2123:	2 
2125:	1 
2126:	1 2 1 
2127:	1 
2128:	1 1 1 
2129:	3 
2132:	1 
2134:	1 
2135:	1 
214:	1 
2141:	1 
2145:	1 1 
2150:	2 
2152:	4 
2155:	2 
2160:	3 3 
2163:	1 
2166:	2 
2169:	4 
217:	3 1 
2170:	2 
2173:	1 
218:	2 1 1 
2180:	1 
2181:	1 
2184:	3 2 
2189:	2 3 
219:	4 
2190:	5 
2191:	1 
2192:	1 
2193:	7 
2195:	1 
22:	1 1 1 1 1 
220:	2 1 4 
2201:	2 
2203:	1 
2204:	1 2 1 
2205:	2 
2209:	1 
2211:	2 
2212:	1 1 
2213:	2 
2214:	1 1 2 1 
2215:	1 
2216:	1 
2218:	1 
222:	1 
2220:	1 1 
2221:	1 
2222:	2 
2225:	1 1 
2226:	1 
2228:	4 10 
2229:	1 
223:	3 
2230:	1 1 
2233:	2 1 
2237:	2 
2238:	1 
224:	1 
2240:	1 
2241:	6 12 
2242:	3 
2244:	3 
2245:	1 
2248:	2 1 
2250:	1 
2254:	1 1 
2255:	1 
2258:	1 
2266:	1 1 
2267:	1 
2269:	1 
2271:	1 1 1 
2275:	2 
2277:	1 2 
2279:	2 
2280:	1 
2281:	1 
2283:	2 
2284:	2 
2286:	1 
2288:	1 1 2 
2289:	1 
229:	2 2 
2291:	3 
2292:	1 1 1 
2293:	1 
2294:	1 1 
2295:	1 
2299:	5 1 
23:	1 1 1 
230:	1 1 
2300:	1 
2301:	1 2 
2302:	1 1 
2305:	3 
2307:	2 
2309:	2 
231:	5 
2312:	1 
2313:	2 
2314:	1 
2315:	1 1 
2316:	2 1 
2318:	1 
232:	1 
2320:	2 1 
2321:	1 
2322:	1 
2323:	2 
2324:	2 
2327:	1 1 
2328:	1 
2329:	2 
2330:	1 1 
2332:	1 1 
2333:	2 5 4 
2335:	1 1 3 1 
2337:	1 
2343:	1 1 
2345:	3 1 
2349:	2 2 
2350:	1 
2352:	3 3 2 
2354:	2 8 
2355:	4 1 
2356:	1 1 
236:	1 
2363:	2 2 
2366:	1 4 1 1 1 17 
2369:	2 
237:	1 
2371:	1 
2373:	1 
2374:	1 
2375:	2 
2376:	1 
2378:	1 
2379:	8 
238:	1 
2381:	2 3 1 
2383:	1 
2385:	2 
2388:	1 
2391:	1 1 2 
2395:	3 1 
2396:	2 
2397:	2 1 1 
2398:	2 
2399:	2 1 
240:	1 
2404:	1 1 
2405:	1 
2406:	6 
2410:	1 2 1 1 
2412:	1 1 1 2 
2413:	1 2 
2414:	1 
2415:	1 1 
2416:	1 
2417:	2 
2418:	1 
2419:	1 
2422:	4 1 7 4 
2423:	1 
2424:	1 
2426:	3 
2427:	1 
243:	2 
2431:	1 
2435:	1 2 
2436:	1 
2439:	1 
2440:	3 
2441:	1 
2443:	1 1 2 3 
2444:	1 3 
2447:	1 
2449:	3 
2450:	1 
2451:	1 
2454:	3 
2455:	2 
2456:	1 
2457:	2 2 1 8 3 
2458:	1 
246:	4 3 
2461:	3 
2464:	1 1 2 3 
2465:	2 
2467:	1 2 
2468:	1 
247:	4 
2470:	2 
2471:	1 3 
2472:	2 
2474:	2 
2479:	2 
248:	2 
2480:	7 1 
2483:	1 
249:	3 3 
2491:	3 
2493:	1 
2497:	1 5 7 
2498:	1 
2499:	1 
25:	1 1 
250:	1 
2500:	3 
2501:	1 1 1 6 
2503:	4 
2507:	1 
2508:	1 
251:	1 
2511:	3 
2514:	2 3 
2515:	1 
2516:	2 
2519:	1 
252:	2 
2525:	2 2 
2527:	1 
2530:	3 15 
2531:	2 
2536:	1 1 
2538:	1 
254:	1 
2542:	2 
2545:	2 
2546:	3 1 
2547:	2 
2549:	2 
255:	1 
2551:	1 
2552:	1 
2554:	1 1 
2556:	2 
2560:	1 
2561:	2 1 1 
2563:	2 
2567:	1 
2568:	1 1 
2569:	2 
2573:	1 
2576:	5 
2579:	1 
258:	1 
2580:	3 1 
2581:	1 
2582:	1 
2583:	3 
2589:	1 
259:	1 
2593:	4 
2595:	1 
26:	1 
260:	5 
2600:	2 
2601:	2 
2602:	8 
2604:	2 
2606:	2 1 2 2 
2607:	1 2 
2608:	2 2 
2609:	1 
261:	1 1 2 
2612:	2 
2614:	1 
2615:	1 
2619:	2 1 
262:	1 
2621:	1 
2622:	1 
2623:	2 1 3 1 7 
2625:	3 
2627:	2 1 1 
2628:	2 
2629:	1 
263:	2 
2631:	1 
2632:	2 
2633:	1 
2637:	3 
264:	2 
2640:	1 
2642:	1 
2643:	1 1 1 3 
2644:	1 
2646:	1 
2649:	1 
2650:	2 
2651:	3 
2652:	1 
2655:	1 2 1 
2658:	1 1 1 
2659:	3 
