=== non-contiguous nft : chains ===
Found 3779 chain interruption in 8694 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	2 
10:	1 1 
100:	3 
1000:	2 
1001:	1 1 
1002:	2 
1003:	3 
1004:	1 
1005:	3 1 
1006:	1 
1007:	3 1 
1008:	1 
1009:	1 
101:	4 2 1 
1010:	3 
1011:	1 2 
1012:	2 
1013:	5 
1014:	4 
1016:	2 
1017:	3 
1018:	3 
1019:	3 
102:	2 
1020:	4 1 
1021:	3 
1022:	2 
1023:	1 
1024:	4 
1025:	4 
1026:	5 
1027:	5 2 
1028:	5 1 
1029:	4 
103:	2 
1030:	4 
1031:	1 1 
1032:	1 
1033:	6 
1034:	2 
1035:	4 
1036:	5 
1037:	2 
1038:	3 
1039:	3 2 
104:	1 2 3 
1040:	2 
1041:	8 
1042:	1 
1043:	5 
1044:	3 
1045:	3 
1046:	7 
1047:	2 
1048:	4 
1049:	6 
105:	2 
1050:	4 
1051:	4 
1052:	3 
1053:	3 
1054:	2 
1055:	2 
1056:	1 1 5 
1057:	4 
1058:	3 2 
1059:	6 
106:	2 
1060:	6 
1061:	3 
1062:	3 1 
1063:	2 3 
1064:	4 
1065:	1 3 
1066:	3 
1067:	5 
1068:	7 3 2 
1069:	5 
107:	2 
1070:	1 
1071:	1 3 3 
1073:	2 
1075:	4 1 
1076:	5 1 
1078:	4 
1079:	3 1 
108:	1 
1080:	4 5 
1081:	4 
1082:	2 1 1 
1083:	5 2 
1084:	3 
1085:	1 
1086:	2 
1087:	4 
1088:	4 
1089:	2 2 
109:	6 1 
1090:	1 2 
1091:	4 1 
1092:	1 1 1 
1093:	2 
1094:	6 
1095:	3 
1096:	3 
1097:	1 
1098:	7 1 
1099:	1 
11:	2 1 
110:	1 2 
1100:	2 
1101:	5 
1102:	1 6 
1103:	4 
1104:	8 
1105:	3 
1106:	5 
1107:	3 1 
1108:	3 
1109:	1 
111:	3 
1110:	4 
1111:	1 
1112:	4 
1113:	1 
1114:	1 2 
1115:	3 
1116:	5 
1117:	6 
1118:	1 1 
1119:	4 
112:	1 1 
1120:	4 
1121:	6 
1122:	1 
1123:	2 
1124:	3 1 1 1 
1125:	3 1 
1127:	4 
1128:	4 3 
1129:	2 1 1 
113:	2 
1130:	4 
1131:	4 
1132:	1 2 2 1 1 
1133:	3 1 
1134:	3 
1135:	1 
1136:	1 2 
1137:	2 1 
1138:	2 
1139:	2 
114:	1 
1140:	2 
1142:	1 3 1 
1143:	3 
1144:	1 
1145:	7 
1146:	1 
1147:	3 1 
1148:	1 
1149:	6 
115:	2 
1150:	3 
1151:	1 1 
1152:	2 1 
1153:	1 3 
1154:	1 
1155:	2 2 
1156:	2 
1157:	1 
1158:	2 
1159:	4 
116:	3 
1160:	2 3 4 
1161:	3 
1162:	1 
1163:	4 
1164:	3 1 5 2 
1165:	3 1 1 
1166:	8 1 
1167:	5 
1168:	1 
1169:	2 
117:	3 1 
1170:	5 
1171:	6 1 
1172:	6 
1173:	4 1 
1174:	5 
1175:	1 
1176:	2 2 
1177:	3 
1178:	3 
118:	5 
1180:	2 
1181:	1 
1182:	2 
1183:	3 1 
1184:	2 
1185:	2 1 
1186:	1 1 
1187:	5 
1188:	2 
1189:	2 
119:	5 
1190:	4 
1191:	1 
1192:	2 
1193:	4 
1194:	1 
1195:	2 2 
1196:	2 
1197:	2 3 1 
1198:	2 
1199:	1 
12:	1 
120:	4 2 2 
1200:	6 4 
1201:	6 
1202:	3 
1203:	2 
1204:	3 2 3 1 
1205:	7 
1206:	3 
