
=== GRAPH INFO ===
Nodi: 37842
Archi: 106372
Duration (sec): 75932971 = 2y in interval [1630199116, 1706132087]
Delta (sec): 425728 = 4d22h15min28s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 12232

size 2 → 6801 pattern
size 3 → 2061 pattern
size 4 → 990 pattern
size 5 → 540 pattern
size 6 → 335 pattern
size 7 → 218 pattern
size 8 → 179 pattern
size 9 → 151 pattern
size 10 → 107 pattern
size 11 → 74 pattern
size 12 → 78 pattern
size 13 → 64 pattern
size 14 → 39 pattern
size 15 → 33 pattern
size 16 → 36 pattern
size 17 → 33 pattern
size 18 → 37 pattern
size 19 → 20 pattern
size 20 → 27 pattern
size 21 → 22 pattern
size 22 → 19 pattern
size 23 → 18 pattern
size 24 → 21 pattern
size 25 → 17 pattern
size 26 → 18 pattern
size 27 → 11 pattern
size 28 → 13 pattern
size 29 → 9 pattern
size 30 → 10 pattern
size 31 → 12 pattern
size 32 → 9 pattern
size 33 → 6 pattern
size 34 → 16 pattern
size 35 → 10 pattern
size 36 → 5 pattern
size 37 → 9 pattern
size 38 → 1 pattern
size 39 → 9 pattern
size 40 → 3 pattern
size 41 → 7 pattern
size 42 → 4 pattern
size 43 → 5 pattern
size 44 → 7 pattern
size 45 → 4 pattern
size 46 → 6 pattern
size 47 → 3 pattern
size 48 → 5 pattern
size 49 → 5 pattern
size 50 → 5 pattern
size 51 → 10 pattern
size 52 → 2 pattern
size 53 → 1 pattern
size 54 → 1 pattern
size 55 → 3 pattern
size 56 → 2 pattern
size 57 → 2 pattern
size 58 → 4 pattern
size 59 → 2 pattern
size 61 → 3 pattern
size 62 → 2 pattern
size 63 → 1 pattern
size 64 → 2 pattern
size 65 → 3 pattern
size 66 → 2 pattern
size 67 → 4 pattern
size 68 → 1 pattern
size 69 → 1 pattern
size 70 → 4 pattern
size 72 → 3 pattern
size 74 → 2 pattern
size 75 → 2 pattern
size 76 → 2 pattern
size 77 → 2 pattern
size 78 → 2 pattern
size 79 → 3 pattern
size 80 → 2 pattern
size 83 → 1 pattern
size 84 → 1 pattern
size 86 → 2 pattern
size 89 → 1 pattern
size 90 → 1 pattern
size 92 → 2 pattern
size 93 → 2 pattern
size 95 → 1 pattern
size 102 → 1 pattern
size 104 → 2 pattern
size 105 → 1 pattern
size 107 → 1 pattern
size 108 → 1 pattern
size 111 → 1 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 118 → 1 pattern
size 121 → 1 pattern
size 123 → 1 pattern
size 125 → 1 pattern
size 126 → 1 pattern
size 127 → 1 pattern
size 130 → 1 pattern
size 135 → 1 pattern
size 138 → 1 pattern
size 139 → 1 pattern
size 141 → 1 pattern
size 143 → 1 pattern
size 155 → 1 pattern
size 158 → 1 pattern
size 159 → 1 pattern
size 160 → 1 pattern
size 166 → 2 pattern
size 167 → 1 pattern
size 187 → 1 pattern
size 190 → 1 pattern
size 192 → 1 pattern
size 199 → 1 pattern
size 201 → 1 pattern
size 207 → 1 pattern
size 225 → 1 pattern
size 227 → 1 pattern
size 240 → 1 pattern
size 243 → 1 pattern
size 250 → 1 pattern
size 315 → 1 pattern
size 451 → 1 pattern

