=== non-contiguous nft : chains ===
Found 39258 chain interruption in 14805 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	1 
10:	3 
100:	4 1 
1000:	4 3 2 
10016:	1 
10018:	2 1 1 
1002:	2 2 2 1 
10022:	1 
10026:	4 
1003:	1 2 1 1 1 1 1 1 
10030:	1 2 1 1 1 1 1 1 3 1 2 1 1 1 1 1 1 3 1 1 1 1 
10032:	8 1 1 
10033:	1 
1004:	3 3 2 1 1 
10040:	4 
10046:	1 
10047:	1 
1005:	3 2 6 1 
10054:	4 6 1 1 1 1 1 1 1 2 2 1 1 1 
10056:	3 1 
1006:	1 1 
10066:	4 4 4 2 14 1 1 1 1 1 1 1 2 2 4 3 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1007:	2 1 1 1 5 3 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 
10072:	8 12 6 7 1 1 
10074:	3 3 
1008:	1 1 
10084:	2 1 
1009:	1 2 
10094:	2 
10098:	1 1 
101:	3 2 1 
1010:	2 1 1 2 
10100:	4 
10102:	5 1 
10104:	3 
10105:	1 1 1 
10108:	1 1 
1011:	1 
10110:	2 1 
10111:	1 
10112:	2 
10113:	1 
10114:	6 
1012:	1 1 
10128:	2 
1013:	5 1 
10134:	2 1 
1014:	2 1 1 1 
10142:	1 3 
10144:	1 3 
10148:	2 2 1 2 
1015:	2 
10150:	3 2 
10152:	10 1 
10154:	4 
10156:	2 1 
10157:	1 
10159:	2 3 4 1 1 2 1 2 
1016:	1 1 
10160:	4 2 1 1 3 1 2 1 
10161:	2 3 
10164:	1 2 
1017:	1 2 2 2 
10170:	5 
10171:	1 1 
10173:	2 
1018:	2 1 1 
1019:	3 
10197:	5 1 1 
10199:	3 1 1 1 
102:	2 
1020:	4 4 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10200:	1 
10204:	2 1 4 
10206:	4 
1021:	1 
10214:	1 
10216:	1 1 
1022:	1 
10220:	1 
10228:	2 1 2 
1023:	2 
10232:	2 2 2 2 3 2 4 6 6 1 
10234:	2 1 
10236:	1 
10238:	3 17 7 
1024:	3 2 
10240:	2 
10248:	2 2 
1025:	2 2 
10250:	1 1 
10252:	4 3 1 
10256:	1 
10257:	2 
1026:	1 2 6 
10264:	1 1 3 10 2 
10265:	3 
10268:	1 
10269:	1 1 2 
1027:	1 
10270:	3 2 2 1 
10273:	1 2 
10274:	1 2 
10276:	3 2 1 
10278:	1 5 1 5 2 5 1 1 6 1 1 2 1 
10279:	1 
1028:	2 3 
10284:	1 
