=== non-contiguous nft : chains ===
Found 2213 chain interruption in 9656 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	2 
100:	5 
1000:	2 
1001:	1 
1002:	2 
1003:	7 
1004:	1 
1005:	6 
1006:	2 
1007:	2 
1008:	1 
1009:	6 
101:	2 1 
1010:	3 
1011:	3 1 
1012:	4 1 
1013:	1 
1014:	6 
1015:	1 
1016:	2 
1017:	3 
1018:	3 
1019:	3 
102:	1 
1020:	2 
1021:	2 
1022:	1 2 1 2 
1023:	2 
1024:	1 
1025:	1 
1026:	2 
1027:	3 
1028:	4 
1029:	4 3 
103:	4 
1030:	2 
1031:	4 
1032:	2 1 
1033:	2 
1034:	5 
1035:	4 
1036:	4 
1037:	4 
1038:	2 2 
1039:	5 
104:	1 
1040:	2 
1041:	3 
1042:	5 
1043:	5 
1044:	3 
1045:	3 
1046:	1 
1047:	3 
1048:	1 1 
1049:	1 
105:	1 
1050:	1 
1051:	4 
1052:	3 
1053:	7 
1054:	1 
1055:	2 
1056:	3 
1057:	1 1 
1058:	3 
1059:	2 
106:	4 
1060:	2 
1061:	3 
1062:	2 1 
1063:	2 1 
1064:	2 1 
1065:	3 
1066:	1 1 
1067:	3 
1068:	3 
1069:	2 
107:	6 3 4 
1070:	1 
1071:	2 
1072:	2 1 
1073:	2 
1074:	3 
1075:	3 
1076:	4 1 
1077:	1 1 
1078:	4 
1079:	3 
108:	2 2 
1080:	3 
1081:	2 
1082:	3 
1083:	1 1 
1084:	3 
1085:	1 
1086:	9 
1087:	2 
1088:	3 
1089:	2 
109:	5 
1090:	2 
1091:	5 
1092:	3 2 
1093:	2 
1094:	3 
1095:	2 
1097:	2 2 
1098:	2 
1099:	2 
11:	2 
110:	4 
1101:	3 
1102:	2 
1103:	3 
1104:	1 
1105:	4 
1106:	3 
1107:	4 1 
1108:	2 
1109:	3 
111:	2 
1110:	2 
1111:	1 
1112:	3 1 
1113:	2 
1115:	1 
1116:	4 1 
1117:	6 
1118:	4 
1119:	2 
112:	3 
1120:	5 1 
1121:	1 
1122:	3 2 
1123:	3 
1124:	1 3 
1125:	4 
1126:	6 
1127:	7 
1128:	6 
113:	5 
1130:	1 2 
1131:	4 
1132:	3 
1133:	3 
1134:	1 
1135:	3 
1136:	2 
1137:	1 
1138:	4 
1139:	1 
114:	3 
1140:	2 
1141:	4 
1142:	5 
1143:	1 
1144:	2 
1145:	2 
1146:	4 
1147:	1 
1148:	1 
1149:	3 
115:	1 
1150:	2 
1151:	5 
1152:	1 
1153:	3 
1154:	1 
1155:	4 
1156:	1 
1157:	4 
1158:	2 
1159:	1 1 
116:	6 
1160:	2 
1161:	6 8 
1162:	2 
1163:	1 
1164:	4 
1165:	1 
1166:	2 1 
1167:	4 1 
1168:	2 1 
1169:	2 
117:	3 
1170:	1 2 
1171:	2 
1172:	4 
1173:	3 1 1 
1174:	1 3 
1175:	2 
1176:	1 
1177:	2 
1178:	2 
1179:	2 
118:	4 
1180:	2 
1181:	1 
1182:	3 
1183:	2 
1184:	2 
1185:	5 
1186:	4 
1187:	2 
1188:	2 
1189:	2 
119:	4 1 
1190:	1 
1191:	4 
1192:	4 
1193:	3 2 1 1 
1194:	2 
1195:	3 
1196:	2 
1197:	7 
1198:	3 
1199:	1 
12:	4 
120:	1 1 
1200:	1 
