=== non-contiguous nft : chains ===
Found 38 chain interruption in 339 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
102:	2 
103:	4 
104:	3 
105:	1 
106:	1 
107:	1 
108:	2 3 
109:	1 1 
112:	1 
114:	5 
115:	1 1 11 
118:	1 
121:	1 
122:	1 
123:	1 
124:	1 
125:	2 
126:	2 1 1 
127:	1 2 
128:	1 
129:	3 
132:	1 
133:	3 
134:	2 3 
135:	2 
136:	2 
138:	1 
141:	2 
142:	1 
144:	2 
145:	1 
149:	2 
150:	2 
151:	6 
157:	1 
160:	1 
161:	5 
162:	1 
166:	1 
168:	1 
170:	2 
171:	1 1 
175:	1 
177:	1 
180:	1 
181:	2 
185:	1 
191:	1 
193:	1 
196:	2 
199:	4 
20:	1 
200:	1 
203:	3 
206:	1 2 2 
207:	1 2 
208:	1 
210:	1 
211:	2 
212:	2 
213:	1 
214:	2 
215:	1 
217:	3 
218:	3 
220:	1 
221:	1 
222:	1 
223:	1 
227:	1 3 
229:	1 
230:	1 
231:	1 
233:	1 
234:	1 
235:	2 
238:	1 
239:	1 
242:	1 1 
245:	1 
246:	1 
248:	1 
249:	1 
25:	1 
251:	1 1 
254:	1 
255:	1 
258:	1 
259:	1 
261:	1 
262:	1 
263:	1 
269:	1 2 
270:	1 
276:	1 
278:	1 
28:	1 
286:	1 
292:	1 1 
293:	1 1 
299:	2 7 
301:	2 
309:	1 
31:	1 
310:	1 1 1 
314:	1 
318:	1 
319:	3 
322:	3 
324:	1 
326:	1 
327:	6 
329:	1 1 
330:	1 
331:	2 
333:	1 
336:	3 
340:	2 
344:	4 9 
346:	2 2 
347:	1 
35:	1 
352:	1 
354:	1 1 
357:	1 
360:	1 
365:	1 
367:	3 
369:	1 
37:	1 
375:	1 
377:	3 
378:	1 
38:	1 
380:	1 
381:	1 7 
386:	1 1 
389:	1 
391:	10 
395:	1 
396:	3 
398:	1 1 
399:	10 
40:	1 
401:	1 
403:	1 5 
408:	1 
413:	2 
417:	2 
419:	8 
42:	1 
421:	11 
423:	3 
424:	5 
426:	1 
440:	2 
441:	5 
445:	3 
454:	1 
46:	1 
461:	3 
463:	2 
465:	1 1 
467:	2 
470:	1 
472:	1 
473:	2 
476:	8 
48:	1 
49:	1 
490:	1 
493:	11 
495:	1 
499:	6 
500:	2 
502:	2 1 
503:	1 
504:	2 
506:	1 
507:	1 
509:	1 
515:	1 
516:	2 
519:	6 
521:	1 
522:	3 
524:	1 
526:	1 
529:	2 
53:	1 
531:	9 
532:	1 
536:	1 
537:	3 
541:	3 1 
542:	1 
543:	7 
548:	1 
551:	16 
554:	1 2 
557:	1 
558:	1 
56:	2 
560:	1 
562:	1 
566:	2 
567:	2 
57:	1 
570:	1 
572:	1 
573:	1 
575:	1 1 
576:	1 
579:	1 
581:	1 
582:	1 
583:	1 
584:	1 
585:	6 
586:	1 
587:	2 
588:	1 
589:	1 
591:	2 
593:	3 
594:	4 
595:	1 
596:	2 
598:	1 
601:	1 
603:	1 
608:	1 
609:	1 
611:	1 
612:	1 
613:	1 
614:	4 
615:	2 
616:	3 
617:	7 
618:	2 
619:	23 
62:	1 
622:	3 
624:	1 
625:	1 
626:	1 
628:	1 
63:	1 1 
631:	1 
632:	1 
633:	1 
637:	1 
638:	1 
639:	4 
64:	1 
641:	1 
642:	1 
656:	1 
659:	4 
66:	1 
660:	1 
671:	1 
674:	1 
675:	1 
678:	1 
680:	1 
686:	1 
696:	1 
700:	1 
701:	1 
71:	1 
727:	1 
731:	1 
737:	2 
739:	1 
74:	2 
75:	1 
751:	1 
758:	1 
76:	1 
763:	1 
766:	2 
776:	2 
777:	2 
79:	1 
792:	1 
793:	3 1 
8:	1 
804:	1 
81:	1 1 1 
813:	1 
82:	1 
825:	2 
826:	1 
83:	1 
842:	2 
845:	1 
846:	1 
848:	1 
849:	1 
87:	1 
876:	2 
877:	1 
878:	4 
879:	1 
880:	1 
881:	1 
882:	1 
885:	1 
887:	1 
888:	1 
889:	1 
89:	1 
891:	1 
894:	6 
906:	1 
907:	1 
909:	1 
91:	1 
912:	4 
919:	1 
921:	1 
923:	1 
924:	1 
925:	1 
932:	2 
941:	1 
948:	1 
95:	1 
959:	2 
962:	1 
963:	1 
964:	2 
969:	2 
97:	1 
972:	1 
98:	1 
