=== non-contiguous nft : chains ===
Found 864 chain interruption in 1728 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1002:	3 1 
1003:	3 
1006:	1 1 
1007:	1 
1019:	1 
1027:	3 1 
1041:	1 
1043:	1 1 
1044:	1 1 
1060:	1 
1063:	2 
1075:	2 2 
1095:	1 1 1 
1096:	1 1 
1097:	6 2 
1107:	1 4 
1109:	4 
1113:	2 
1119:	4 
1127:	2 
1139:	1 6 
1141:	2 
1144:	5 
1147:	1 
1164:	1 
1165:	5 
1171:	4 1 
1173:	3 
1175:	2 2 
1176:	1 
1182:	1 
1183:	1 
1186:	1 1 
1191:	2 
1194:	2 
1215:	1 1 2 
1217:	13 5 4 1 2 
1233:	2 
1234:	2 4 
1238:	1 2 
1240:	1 
1242:	1 
1243:	1 
1248:	4 
1249:	1 1 
1254:	2 
1255:	1 
1257:	1 
1269:	2 
1270:	1 
1274:	1 1 
1275:	1 
1276:	9 7 1 
1277:	1 1 1 1 4 2 
1279:	1 1 
1284:	1 1 
1299:	2 
1301:	1 3 
1306:	4 2 1 
1307:	1 3 
1335:	1 
1336:	1 
1339:	3 
1340:	1 
1342:	1 
1343:	1 1 
1345:	8 
1347:	1 
1349:	1 
1350:	2 1 1 
1360:	6 
1370:	1 
1372:	2 
1373:	1 
1376:	1 
1378:	3 
1379:	1 1 
1381:	3 
1385:	1 
1399:	11 
1403:	2 2 
1404:	2 
1405:	1 1 2 
1408:	3 
1409:	1 
1410:	1 1 1 
1413:	1 1 
1415:	5 
1423:	1 
1427:	4 2 4 16 
1429:	1 
1435:	1 5 1 
1437:	4 
1443:	1 
1447:	1 
1449:	1 
1452:	7 
1454:	1 
1457:	1 
1458:	2 1 1 1 12 2 
1465:	1 
1466:	1 
1471:	7 7 3 
1473:	2 
1474:	2 
1480:	2 1 2 2 1 
1482:	1 
1485:	6 2 6 
1487:	1 1 
1490:	6 
1504:	1 
1505:	2 
1510:	1 
1511:	1 7 
1512:	2 
1517:	1 
1518:	3 
1524:	1 14 12 2 
1532:	4 
1534:	1 2 
1539:	2 
1540:	2 2 2 
1541:	2 
1544:	2 
1546:	1 2 
1548:	4 
1550:	3 
1553:	1 1 
1557:	1 1 
1563:	5 9 
1569:	2 
1580:	1 
1586:	2 1 
1589:	1 2 
1594:	4 4 
1599:	2 
1601:	1 
1613:	1 2 1 
1614:	4 
1616:	2 
1617:	6 
1619:	4 
1620:	3 1 2 
1623:	3 
1624:	1 
1642:	1 
1646:	1 
1657:	2 1 
1660:	1 
1663:	2 
1665:	1 
1670:	5 
1678:	1 1 2 
1684:	1 
1686:	2 
1688:	2 4 
1690:	1 
1693:	1 2 
1699:	3 2 1 
1701:	1 1 2 2 
1707:	2 1 3 
1709:	4 
1713:	1 
1715:	1 2 
1724:	2 21 1 13 
1725:	2 
1729:	1 
1733:	2 11 
1734:	2 
1735:	3 
1740:	1 4 
1742:	1 2 2 
1747:	4 
1751:	1 
1754:	1 
1757:	1 2 
1758:	3 2 
1763:	4 
1764:	8 2 
1769:	2 
1774:	1 
1778:	2 
1784:	1 1 
1785:	2 
1788:	1 
1790:	2 
1802:	2 
1804:	2 
1805:	1 
1813:	6 
1815:	3 
1818:	3 
1823:	1 
1824:	1 
1827:	6 
1830:	1 
1835:	1 3 
1845:	1 
1847:	4 
1851:	1 
1856:	1 4 
1859:	1 1 3 
1861:	8 7 2 3 
1867:	1 
1871:	1 
1877:	3 
1879:	1 
1882:	2 
1890:	1 
1893:	6 
1896:	1 
1898:	1 
1902:	2 
1910:	2 1 
1917:	4 
1927:	6 2 2 
1933:	1 
1936:	1 1 
1940:	3 4 
1943:	6 3 4 
1946:	1 
1947:	3 
1948:	1 
1949:	1 
1950:	2 1 
1957:	5 
1960:	1 
1961:	4 
1965:	3 
1971:	4 1 4 4 4 
1975:	6 
1983:	1 
1986:	1 
1987:	1 2 
1992:	2 2 
2000:	1 
2001:	6 
2004:	1 
2006:	1 
2009:	1 
2011:	1 
2026:	1 1 
2031:	1 1 
2037:	3 1 1 4 3 
2038:	1 4 
2042:	1 
2043:	12 
2047:	4 
2050:	3 
2053:	2 1 
2059:	1 
2061:	1 
2062:	1 
2063:	1 2 
2067:	1 16 11 
2070:	1 1 
2074:	1 
2078:	3 
2079:	2 1 1 
2080:	1 
2086:	4 3 
2087:	6 
2099:	1 
2102:	2 
2103:	4 17 
2108:	5 
2111:	1 
2117:	4 
2119:	3 
2122:	2 
2128:	2 2 1 
2131:	1 
2132:	2 
2140:	1 
2147:	1 
2148:	1 
2149:	1 1 2 
2150:	1 1 1 
2153:	14 
2156:	1 3 
2167:	2 1 2 9 2 
2168:	1 
2175:	2 
2187:	4 
2194:	1 
2206:	1 
2209:	1 
2211:	2 
2212:	1 3 
2213:	1 
2215:	4 
2216:	1 
2217:	2 
2225:	1 2 
2228:	4 
2233:	2 
2241:	1 3 
2248:	1 1 
2250:	2 
2254:	1 1 
2256:	1 
2257:	7 2 
2275:	1 
2277:	1 1 
2278:	3 
2280:	1 
2283:	7 2 
2285:	4 
2294:	2 
2296:	2 
2302:	2 7 
2308:	1 
2315:	1 
2317:	1 
2318:	1 
2320:	1 2 
2329:	1 1 1 
2342:	2 
2348:	2 4 
2349:	1 1 1 
2355:	1 
2372:	1 
2380:	1 
2382:	1 
2388:	4 4 
2396:	1 
2399:	2 
2402:	2 
2404:	6 
2405:	3 
2408:	2 2 
2412:	2 
2413:	1 
2415:	3 1 5 1 3 
2425:	7 
2427:	2 
2428:	1 
2431:	3 13 3 
2445:	3 
2446:	2 
2464:	1 
2465:	1 
2466:	1 
2473:	1 1 
2480:	2 2 2 1 
2483:	2 
2485:	2 3 
2489:	7 5 
2492:	1 
2503:	1 1 1 
2513:	1 1 
2516:	1 
2517:	4 5 3 
2518:	1 2 
2522:	2 
2529:	1 
2542:	4 
2558:	2 1 
2560:	1 
2567:	2 1 
2569:	3 3 
2571:	1 
2598:	1 
2604:	1 
2606:	3 1 2 1 
2608:	3 
2612:	1 
2625:	2 1 
2627:	1 
2635:	3 2 1 
2642:	1 
2643:	1 
2644:	1 1 
2647:	2 1 1 1 1 
2648:	4 
2649:	2 
2651:	3 3 1 
2652:	1 
2653:	1 1 
2656:	1 
2660:	2 
2661:	1 2 
2675:	1 
2685:	1 
2693:	2 3 
2694:	5 1 
2710:	3 
2711:	1 
2714:	1 2 
2728:	1 3 3 
2732:	2 
2735:	1 1 
2749:	1 
2752:	3 
2753:	1 
2769:	1 
2772:	9 
2774:	2 
2776:	3 3 
2779:	16 
2781:	1 
2782:	1 1 1 
2787:	15 11 3 
2788:	4 
2790:	2 3 2 1 
2801:	2 
2803:	1 3 1 
2810:	6 
2816:	1 
2817:	4 6 
2818:	4 1 
2821:	2 
2822:	8 10 
2825:	1 
2856:	1 
2857:	1 
2862:	1 
2870:	3 
2887:	1 
2892:	1 
2905:	9 
2906:	3 
2907:	2 2 
2908:	1 
2912:	1 
2913:	5 1 1 5 
2917:	2 
2923:	1 1 1 
2924:	1 
2950:	1 
2960:	1 
2966:	14 5 
2970:	3 
2990:	1 
2993:	3 
3002:	2 
3003:	3 
3007:	3 
3009:	1 
3012:	1 2 
3018:	2 1 
3040:	2 
3048:	1 
3050:	1 
3051:	2 
3052:	1 
3054:	1 
3073:	3 
3090:	1 
3094:	1 
3104:	1 1 
3110:	3 
3111:	1 
3113:	1 
3117:	1 1 2 
3118:	5 
3119:	3 
3120:	2 1 2 
3122:	1 2 
3128:	2 4 
3134:	2 
3137:	1 
3138:	1 
3141:	2 
3142:	1 1 
3150:	5 
3151:	1 1 
3155:	1 
3157:	1 1 
3168:	2 
3171:	3 
3184:	1 
3185:	1 
3189:	1 2 
3190:	2 
3195:	1 
3199:	1 4 
3203:	2 
3213:	1 3 
3214:	2 1 1 
3215:	2 
3222:	8 3 
3224:	1 
3228:	2 
3229:	1 
3235:	3 
3243:	3 3 2 1 4 1 7 3 
3248:	1 
3254:	3 2 
3256:	1 
3264:	1 1 
3272:	2 2 3 
3274:	2 2 
3279:	1 
3291:	1 
3295:	1 
3299:	2 1 
3304:	2 
3310:	5 
3312:	5 1 2 
3314:	2 
3315:	4 1 
3317:	2 
3320:	1 
3322:	1 
3325:	3 1 
3329:	1 3 2 1 
3344:	1 
3350:	1 1 
3354:	1 
3355:	4 
3357:	1 
3363:	1 
3373:	2 1 
3386:	1 
3390:	1 
3395:	1 2 1 
3403:	2 1 1 
3404:	6 
3408:	3 
3410:	4 
3418:	2 2 2 2 1 14 
3419:	1 
3425:	2 2 2 
3426:	4 1 
3428:	1 
3440:	1 
3444:	1 1 
3458:	2 
3459:	1 
3460:	1 
3462:	2 1 
3463:	1 
3467:	1 2 
3476:	1 
3502:	3 
3511:	1 
3515:	1 
3517:	2 1 
3522:	1 1 
3526:	1 2 
3527:	2 1 1 
3532:	2 
3536:	1 4 
3537:	1 
3559:	1 
3560:	2 
3569:	1 2 
3570:	2 1 
3586:	3 
3599:	7 
3604:	4 
3619:	1 
3621:	1 
3624:	2 
3625:	1 
3626:	1 
3627:	1 
3628:	4 1 
3629:	2 3 16 5 
3630:	1 
3632:	2 
3634:	1 
3643:	6 
3647:	4 2 2 
3660:	2 
3661:	1 
3682:	2 
3684:	1 
3690:	1 
3707:	1 1 
3708:	3 
3717:	1 1 
3721:	1 
3727:	3 
3735:	1 
3736:	2 
3737:	1 
3740:	2 
3745:	2 1 
3748:	2 
3752:	1 
3769:	2 
3789:	1 4 
3792:	1 
3795:	2 
3804:	1 3 
3817:	1 11 2 
3819:	2 1 
3822:	1 
3829:	1 1 
3834:	1 3 
3835:	1 1 4 
3836:	1 
3838:	2 
3842:	4 2 2 
3845:	6 
3848:	1 
3859:	4 
3880:	1 
3893:	1 1 2 
3897:	2 
3899:	2 2 1 
3901:	4 1 
3903:	1 
3904:	2 1 1 
3909:	17 5 14 
3913:	5 24 
3915:	3 
3917:	1 2 
3920:	5 3 
3929:	5 
3939:	1 
3946:	2 
3950:	1 
3951:	1 1 
3954:	2 2 2 
3956:	1 1 
3957:	2 
3958:	1 
3961:	2 1 2 
3963:	1 
3969:	2 
3970:	1 1 8 6 1 
3972:	2 
3976:	2 5 
3978:	1 
3981:	2 5 
3984:	1 3 
3985:	1 
3986:	2 
3987:	1 
3989:	2 
3991:	1 
3992:	1 1 
3993:	1 
3994:	1 
3997:	1 
4000:	4 
4016:	1 1 3 
4017:	2 1 
4023:	1 8 
4024:	1 
4025:	2 
4035:	1 
4041:	1 
4042:	2 1 
4048:	3 
4050:	1 
4059:	3 
4066:	1 
4073:	1 
4074:	1 
4076:	3 
4077:	1 
4078:	1 
4083:	1 
4084:	2 3 
4090:	1 
4091:	2 
4116:	3 7 2 4 7 
4120:	1 
4123:	1 
4136:	1 
4142:	1 
4146:	7 
4153:	3 4 
4160:	2 
4164:	1 2 1 1 
4178:	1 
4181:	1 
4182:	1 
4184:	1 
4186:	3 
4188:	2 1 
4189:	2 
4194:	1 1 
4195:	2 1 
4198:	1 1 
4199:	1 
4200:	1 
4202:	1 6 
4203:	3 1 
4205:	4 1 
4217:	1 
4238:	1 
4242:	2 
4248:	3 
4252:	1 
4257:	9 
4270:	2 
4273:	4 2 3 
4274:	2 
4279:	1 1 
4280:	1 1 1 
4286:	1 1 
4287:	2 
4295:	1 2 1 2 
4296:	1 
4297:	2 
4299:	1 2 
4305:	1 
4307:	1 
4315:	1 
4319:	2 
4322:	3 
4326:	2 
4332:	1 
4337:	1 
4355:	1 
4356:	2 
4359:	1 1 
4360:	3 
4361:	1 2 
4364:	3 
4367:	1 
4368:	1 
4369:	2 
4370:	1 
4373:	2 
4374:	7 
4375:	3 
4378:	1 
4380:	2 1 1 
4393:	1 2 
4395:	1 
4411:	3 
4427:	3 
4430:	4 1 
4431:	2 
4434:	11 5 
4436:	1 
4446:	1 
4455:	5 4 4 5 
4458:	1 1 
4464:	1 1 
4474:	1 
4495:	2 3 
4499:	3 
4502:	9 
4508:	1 
4509:	1 
4523:	2 
4532:	1 
4533:	1 
4547:	3 
4551:	1 
4555:	1 
4556:	3 
4557:	1 
4558:	1 
4560:	2 
4561:	1 
4562:	1 
4571:	4 1 
4572:	1 
4573:	2 
4587:	2 
4600:	2 2 
4601:	1 
4605:	1 
4610:	1 9 
4612:	1 
4616:	1 1 
4622:	1 
4643:	1 
4645:	1 
4648:	2 9 
4663:	1 
4680:	1 1 
4689:	2 1 1 1 
4700:	1 1 2 
4701:	5 
4702:	4 2 
4703:	2 
4704:	1 
4706:	1 
4711:	3 
4713:	1 
4715:	1 
4721:	36 6 
4722:	1 
4724:	2 
4727:	1 1 1 1 6 
4730:	1 1 
4732:	1 
4742:	3 
4743:	2 
4750:	2 
4751:	2 
4754:	2 
4757:	1 
4760:	1 
4762:	1 
4771:	2 1 11 
4774:	1 
4775:	3 3 
4777:	2 
4780:	1 
4789:	1 
4794:	1 
4796:	2 
4799:	2 
4803:	1 
4804:	2 1 
4815:	1 3 
4817:	4 
4825:	1 
4827:	2 
4842:	2 
4843:	3 
4844:	2 1 
4845:	1 
4856:	1 
4864:	5 2 4 
4866:	5 4 
4876:	1 2 
4882:	2 
4899:	1 
4905:	4 
4911:	1 2 1 
4913:	1 
4915:	1 
4921:	4 
4931:	2 
4942:	2 
4947:	4 1 
4955:	1 1 
4957:	1 11 
4964:	1 
4971:	1 
4972:	1 
4991:	1 
5000:	1 
5017:	1 
5021:	2 
5024:	1 2 3 
5029:	7 
5039:	1 1 1 
5043:	2 7 
5044:	2 
5058:	2 1 
5060:	1 1 
5061:	1 1 
5063:	1 
5084:	2 
5085:	1 
5087:	1 3 
5094:	2 2 2 1 
5101:	1 
5103:	3 
5129:	3 
5137:	2 
5141:	1 
5148:	1 
5151:	1 
5161:	12 
5169:	2 
5172:	1 
5181:	1 1 
5187:	1 
5193:	1 3 3 
5197:	2 
5202:	1 
5226:	2 
5231:	2 
5234:	1 
5246:	2 
5252:	9 
5262:	1 
5266:	1 
5268:	5 1 
5286:	4 
5289:	1 
5293:	3 
5296:	2 1 
5297:	1 
5301:	5 
5311:	4 
5314:	1 1 
5329:	3 
5333:	1 
5337:	1 2 
5340:	3 3 2 
5364:	3 
5370:	1 
5393:	3 2 
5395:	1 2 
5418:	2 3 
5419:	6 
5427:	1 
5438:	4 
5439:	3 1 
5441:	5 14 5 
5443:	1 1 
5450:	1 
5455:	1 
5456:	4 
5457:	1 1 
5461:	4 
5463:	1 
5469:	3 4 2 
5473:	1 
5488:	4 1 
5494:	2 
5499:	1 1 
5510:	2 
5516:	2 
5521:	8 
5523:	2 
5527:	1 
5529:	1 
5530:	1 
5535:	2 
5536:	2 
5543:	2 
5546:	3 
5547:	1 
5548:	1 
5549:	2 
5558:	1 
5561:	2 2 
5567:	1 1 1 2 
5569:	1 
5577:	1 
5582:	2 
5586:	1 
5602:	1 2 1 
5605:	2 
5611:	5 
5618:	1 1 1 
5620:	1 
5628:	1 2 
5633:	2 1 
5657:	4 
5662:	1 
5669:	3 4 18 13 9 
5677:	3 2 
5689:	2 2 
5691:	1 
5701:	8 
5703:	1 
5707:	1 4 
5710:	1 2 3 
5716:	2 
5718:	8 4 
5723:	4 
5728:	1 
5729:	3 
5737:	2 
5769:	3 3 3 
5770:	4 
5773:	4 2 9 
5776:	4 
5779:	1 
5780:	1 
5788:	2 
5789:	5 5 
5790:	1 
5793:	1 
5799:	2 
5802:	1 3 14 3 
5812:	4 
5821:	2 
5836:	5 1 1 
5843:	1 
5845:	2 
5861:	2 
5862:	2 1 
5863:	1 1 20 
5864:	2 2 
5865:	1 3 
5866:	2 
5867:	1 
5868:	3 
5869:	1 1 2 
5872:	1 
5873:	1 
5876:	2 2 
5887:	3 
5889:	1 1 1 
5892:	5 
5893:	1 
5894:	2 
5907:	1 
5910:	1 2 4 
5911:	1 7 1 
5914:	1 
5921:	3 
5936:	3 
5943:	1 
5945:	2 4 
5947:	1 22 
5948:	1 
5949:	1 2 
5950:	3 
5952:	1 3 
5953:	2 
5954:	1 1 1 
5955:	2 
5959:	1 
5967:	1 3 
5968:	1 
5969:	1 
5972:	1 2 1 
5973:	5 2 
5975:	1 3 2 
5977:	5 
5979:	2 
5981:	3 
5982:	2 
5984:	3 1 
5986:	2 2 
5987:	2 
5988:	3 
5991:	11 1 1 17 
5993:	1 2 17 11 
5994:	1 
5995:	1 5 
5996:	3 1 
5997:	4 
5998:	2 
6003:	3 
6020:	1 6 
6021:	1 
6035:	1 
6039:	3 
6054:	2 
6057:	1 2 
6064:	4 
6066:	4 
6067:	1 
6071:	1 
6072:	1 
6074:	2 2 2 2 
6076:	3 
6078:	1 
6083:	3 
6085:	3 
6086:	3 
6096:	1 
6108:	12 
6119:	1 
6120:	1 
6121:	5 1 1 13 8 
6130:	1 
6134:	1 2 
6136:	3 2 1 
6137:	1 1 
6145:	1 
6159:	1 
6161:	1 1 
6166:	1 
6170:	2 
6171:	1 3 7 
6180:	1 
6189:	1 1 1 
6193:	2 
6198:	2 
6205:	2 
6207:	1 1 6 1 
6212:	1 5 
6213:	1 2 
6224:	1 1 
6225:	1 
6236:	1 
6248:	3 1 
6253:	4 
6257:	3 
6259:	1 
6284:	2 1 
6297:	2 
6299:	3 
6308:	1 1 1 
6314:	6 
6318:	1 
6323:	4 1 1 
6325:	1 
6326:	1 
6332:	2 
6338:	1 
6341:	5 
6354:	1 
6366:	2 
6370:	2 
6379:	28 
6380:	1 1 
6383:	3 6 23 
6388:	8 
6389:	2 
6390:	3 1 
6393:	1 1 
6397:	1 2 1 
6427:	1 
6434:	1 2 16 
6439:	2 
6446:	2 
6459:	1 
6481:	3 5 3 
6483:	2 2 
6492:	1 
6507:	1 1 1 5 11 14 5 
6508:	1 
6517:	1 2 1 1 1 1 
6518:	5 11 
6533:	3 1 
6534:	3 3 
6537:	1 
6538:	1 1 
6539:	1 
6540:	1 2 
6541:	1 
6545:	1 1 2 
6547:	2 
6548:	4 
6551:	8 
6552:	1 
6553:	1 
6560:	1 
6561:	2 
6562:	4 2 
6567:	2 
6574:	3 
6591:	3 
6598:	1 1 
6628:	3 
6630:	3 
6635:	1 
6636:	1 
6641:	2 
6643:	3 
6646:	1 
6647:	1 
6652:	1 
6660:	3 1 1 
6666:	1 
6667:	2 
6669:	1 
6670:	1 1 1 
6671:	3 2 
6672:	1 
6675:	1 1 
6689:	1 2 
6697:	1 5 
6698:	1 2 
6709:	1 
6710:	2 
6712:	4 
6717:	1 1 
6722:	3 
6725:	5 
6732:	3 
6737:	2 
6742:	1 4 
6750:	3 1 
6751:	2 
6761:	1 
6763:	7 
6765:	2 1 
6771:	2 
6772:	2 3 4 3 
6792:	2 
6799:	3 
6810:	4 
6819:	1 
6821:	1 19 3 
6823:	2 
6825:	1 1 
6830:	2 
6832:	1 2 1 
6833:	4 
6836:	1 
6838:	1 
6839:	1 
6843:	1 
6846:	1 
6871:	1 
6873:	2 
6880:	1 
6882:	3 1 
6883:	1 
6884:	2 3 
6899:	1 
6909:	3 2 
6910:	1 
6911:	1 
6913:	2 
6915:	1 
6917:	2 
6921:	6 1 
6925:	1 
6933:	1 
6934:	2 
6939:	4 1 
6946:	1 
6948:	1 
6950:	4 
6952:	1 1 
6955:	3 
6956:	6 2 3 
6961:	2 
6985:	2 
6995:	1 
6999:	1 
7024:	1 
7029:	6 
7030:	1 
7032:	2 
7040:	1 
7043:	19 6 2 
7052:	2 
7054:	1 4 1 2 
7062:	1 
7067:	1 
7069:	3 
7101:	12 
7104:	1 
7112:	1 1 
7115:	1 3 2 
7116:	3 
7117:	1 1 
7118:	2 
7119:	1 
7126:	1 4 5 1 
7129:	1 1 
7130:	1 3 
7131:	2 
7136:	1 1 1 
7142:	1 
7143:	2 
7146:	2 1 
7151:	1 
7154:	1 
7160:	2 3 4 
7161:	2 
7172:	4 
7175:	2 1 1 2 1 
7180:	1 
7186:	1 
7187:	1 
7207:	3 3 
7237:	1 2 
7239:	2 
7241:	1 
7242:	1 
7245:	1 2 1 
7246:	2 
7250:	2 
7252:	1 
7254:	1 1 2 
7255:	1 
7258:	1 
7268:	3 
7276:	5 
7277:	2 
7278:	2 
7279:	4 1 
7293:	2 
