=== non-contiguous nft : chains ===
Found 2270 chain interruption in 7864 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	2 
100:	7 
1000:	3 
1001:	1 1 
1002:	2 
1003:	1 2 
1004:	3 
1005:	1 
1007:	2 
1009:	5 
101:	3 
1010:	1 
1011:	1 1 1 
1012:	3 
1013:	1 
1014:	6 
1015:	2 4 
1016:	1 
1018:	2 
1019:	1 
102:	2 7 
1021:	3 3 
1022:	1 6 
1023:	1 1 1 
1024:	2 
1025:	5 
1026:	3 
1027:	2 
1028:	4 2 4 
1029:	1 
1030:	3 
1031:	3 2 
1033:	5 
1035:	1 
1036:	1 1 
1037:	1 
1038:	5 1 
1039:	2 
104:	2 3 
1040:	1 
1042:	2 
1043:	6 
1044:	4 1 
1045:	5 
1046:	2 
1047:	3 
1048:	1 3 
105:	3 
1051:	2 1 
1052:	2 
1053:	2 
1054:	3 1 
1055:	6 1 
1056:	2 
1057:	2 1 
1059:	2 
106:	3 
1060:	1 
1061:	2 
1062:	1 1 1 
1064:	1 
1066:	6 
1067:	1 
1068:	4 1 
1069:	1 
107:	2 
1070:	5 
1071:	2 
1072:	3 
1074:	3 1 
1075:	1 2 1 
1076:	2 5 
1077:	4 
1078:	4 
1079:	4 2 
108:	1 1 1 2 
1081:	1 
1084:	2 
1085:	2 
1086:	3 
1087:	1 
1088:	3 
109:	4 
1090:	1 
1091:	1 
1092:	1 
1093:	4 
1094:	4 
1095:	2 
1096:	2 
1097:	4 
1098:	1 
1099:	3 
11:	1 
110:	2 
1100:	5 
1102:	2 
1104:	2 
1105:	1 1 
1106:	1 1 
1107:	1 1 3 
1108:	2 
1109:	2 
111:	2 2 
1110:	3 3 
1111:	3 3 
1112:	1 2 
1113:	3 3 
1116:	2 
1117:	2 1 
1119:	3 
112:	2 1 
1120:	3 
1123:	2 
1124:	2 
1125:	1 
1126:	3 
1127:	1 2 
1128:	3 
113:	1 
1130:	4 1 
1131:	4 1 
1133:	1 
1134:	4 
1135:	3 
1136:	3 
1137:	1 
1139:	1 
114:	1 1 2 1 
1140:	2 
1141:	4 
1142:	1 1 3 
1143:	2 
1144:	1 
1147:	4 1 1 3 
1149:	3 
115:	2 1 
1150:	1 1 
1151:	2 
1152:	5 
1153:	1 4 
1154:	3 
1155:	2 
1156:	3 
1157:	2 
1158:	2 
1159:	1 
116:	5 
1161:	3 
1162:	2 
1163:	2 
1166:	1 
1167:	3 
1169:	1 3 
117:	2 
1171:	2 
1172:	1 1 
1173:	1 1 
1174:	3 
1175:	1 
1176:	2 
1177:	1 1 
1178:	1 
118:	4 
1181:	5 
1182:	1 
1183:	2 
1184:	2 
1186:	2 1 1 
1187:	1 2 
1188:	3 
1189:	1 
119:	2 
1191:	4 1 
1193:	1 
1196:	2 3 
1197:	3 
1198:	1 3 
1199:	2 
12:	1 
120:	1 
1200:	1 
1201:	3 
1203:	3 
1204:	1 
1205:	3 
1206:	2 1 
1207:	2 
1208:	2 2 
1209:	3 
121:	4 
