=== non-contiguous nft : chains ===
Found 2225 chain interruption in 7463 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	2 
100:	2 
1000:	2 
1001:	2 1 
1002:	2 
1003:	1 
1004:	3 
1005:	1 
1006:	3 
1009:	3 
101:	3 1 
1010:	3 
1011:	2 
1012:	2 
1013:	2 
1014:	1 
1015:	1 
1016:	2 
1017:	1 6 1 
1018:	7 
1019:	2 
102:	1 
1021:	2 2 
1022:	2 
1023:	3 
1024:	2 
1025:	5 2 2 1 
1026:	2 1 
1027:	1 
1028:	1 1 
1029:	1 
103:	1 
1030:	1 2 
1031:	1 3 1 
1032:	2 
1033:	3 1 
1034:	1 
1035:	1 
1036:	1 
1037:	1 
1038:	4 
104:	1 
1043:	1 
1044:	1 
1045:	2 
1047:	5 
1048:	4 
1049:	1 
105:	2 
1050:	2 
1051:	4 
1052:	3 
1053:	2 
1054:	1 
1055:	2 
1056:	2 1 
1057:	1 
1058:	3 
106:	1 
1061:	1 
1062:	3 
1063:	1 1 
1064:	1 1 
1065:	3 
1066:	2 2 
1067:	1 
1068:	1 
1069:	1 1 
107:	1 
1070:	2 
1071:	2 
1072:	1 
1073:	6 
1074:	1 3 
1076:	1 
1077:	1 1 1 
1078:	1 
1079:	4 
108:	2 1 1 1 2 2 
1080:	2 
1081:	1 
1082:	1 
1083:	5 
1084:	1 
1085:	4 1 
1086:	2 
1087:	1 
1088:	1 
1089:	2 
109:	2 
1090:	3 1 1 
1091:	2 
1092:	4 
1093:	2 
1094:	2 
1096:	1 
1097:	1 
1098:	1 
1099:	1 
11:	1 
110:	1 
1100:	3 
1101:	1 1 
1104:	2 
1105:	4 2 
1106:	1 
1107:	2 1 
1108:	1 
1109:	1 
111:	1 
1110:	2 
1111:	1 
1112:	2 
1113:	2 
1114:	4 
1115:	3 
1116:	5 
1119:	1 
112:	1 
1120:	4 
1121:	2 
1122:	3 1 
1123:	3 
1124:	2 
1125:	1 2 
1126:	1 
1127:	3 
1128:	3 
1129:	1 2 
113:	1 
1130:	1 
1131:	1 
1132:	2 
1133:	1 
1134:	4 
1135:	2 1 
1138:	1 
1139:	2 
114:	1 
1140:	2 
1141:	1 
1142:	4 
1143:	3 
1144:	3 1 2 
1145:	3 
1146:	3 
1147:	1 
1148:	3 1 
1149:	3 
115:	1 1 
1150:	1 
1151:	1 
1152:	1 
1153:	1 
1154:	3 
1155:	3 
1156:	1 
1158:	1 
1159:	1 
116:	1 
1160:	1 
1161:	1 
1162:	1 
1163:	2 
1164:	1 
1165:	1 
1167:	2 2 
1168:	1 1 2 1 
1169:	1 
117:	2 
1170:	1 
1171:	1 
1172:	1 
1173:	1 1 
1174:	3 4 
1175:	2 1 
1176:	5 1 3 
1177:	2 
1178:	2 
1179:	2 
118:	4 
1180:	3 
1181:	1 
1184:	2 
1185:	1 
1186:	5 4 1 
1187:	2 
1188:	3 
1189:	1 
119:	2 
1190:	1 
1191:	1 1 
1192:	1 1 
1193:	1 1 1 
1194:	1 
1195:	1 1 1 
1196:	1 
1197:	2 
1198:	2 
1199:	2 
12:	1 1 
120:	4 
1200:	2 
1201:	5 1 
1202:	2 2 
1203:	3 
1204:	1 
1205:	3 
1207:	5 
1208:	1 
1209:	4 
121:	1 
1210:	1 
1211:	1 
1212:	4 
1213:	2 
1214:	1 
