=== non-contiguous nft : chains ===
Found 10208 chain interruption in 7363 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	3 1 1 
100:	1 
1000:	1 1 6 14 
1001:	4 
1002:	1 21 1 1 1 1 3 3 2 10 
1003:	1 
1004:	1 
1005:	1 
1006:	9 8 8 4 4 
1007:	2 
1008:	2 
1009:	2 
1010:	7 
1011:	10 2 5 2 2 1 1 1 4 
1012:	3 4 
1013:	1 
1014:	1 2 
1016:	1 2 
1017:	2 
1018:	2 2 10 4 4 1 5 
102:	2 4 5 
1022:	15 3 
1023:	1 1 1 1 
1028:	1 
1031:	1 
1032:	1 
1033:	1 1 1 
1035:	1 
1036:	10 1 2 2 4 1 1 4 2 2 
1037:	1 
1038:	1 1 
1039:	5 5 
104:	1 
1042:	1 
1044:	1 1 6 2 1 
1045:	1 
1046:	4 
1047:	1 
1049:	1 
105:	1 2 
1050:	2 1 4 
1051:	2 1 
1052:	1 
1053:	1 
1055:	1 
1058:	5 
1059:	1 3 
106:	1 2 
1063:	1 3 22 1 2 1 
1064:	2 
1065:	2 1 2 2 6 
1068:	2 
107:	1 
1071:	2 3 1 2 
1075:	1 
1076:	2 1 
1078:	5 3 1 2 4 1 2 
108:	3 
1081:	1 1 
1082:	1 
1083:	5 5 1 2 1 1 
1086:	1 2 
1087:	11 1 
1088:	11 
1089:	2 1 
109:	1 
1090:	1 
1091:	1 2 11 32 13 3 
1092:	3 1 1 4 1 2 1 
1095:	5 
1096:	1 
1097:	1 2 2 
110:	1 
1105:	2 4 1 1 
1106:	2 1 
1112:	2 
1117:	3 3 
1118:	4 1 3 
1119:	2 10 1 
1120:	2 1 2 
1121:	2 7 2 
1122:	4 3 
1123:	1 
1124:	1 3 
1125:	7 1 
1126:	1 3 4 5 
1127:	1 2 1 3 5 
1128:	6 
113:	1 1 
1133:	2 3 3 
1134:	2 
1135:	4 
1136:	1 
1138:	1 1 
114:	2 1 1 1 5 8 1 
1141:	1 5 3 3 1 1 
1142:	1 
1149:	2 
115:	2 2 
1150:	3 
1154:	2 1 1 1 
1155:	1 
1157:	3 
1158:	4 6 5 
1159:	1 
116:	3 
1160:	3 13 2 1 1 
1161:	1 3 1 1 4 2 3 9 3 1 2 1 
1162:	3 2 5 1 5 
1165:	1 
1166:	1 
1177:	2 2 
1178:	3 1 2 
118:	4 8 1 1 
1183:	2 
1184:	1 
1187:	1 2 
1189:	2 1 3 2 1 1 
1190:	1 8 4 10 
1195:	1 1 1 
1196:	5 
1197:	1 
1199:	2 1 1 4 
120:	1 3 3 7 1 
1203:	1 
1204:	1 5 6 3 1 4 1 1 3 3 2 2 2 
1205:	1 1 2 2 
1206:	1 1 1 1 2 
1207:	5 
121:	2 2 
1210:	3 3 2 1 5 6 3 14 2 12 4 
1213:	2 
1214:	1 2 
1217:	1 
1219:	7 
1220:	2 
1225:	1 1 
1226:	7 2 1 3 1 5 2 2 2 
1227:	12 2 1 2 
123:	3 
1231:	4 2 
1232:	2 
1233:	1 1 
1234:	1 1 1 5 2 
1237:	1 
1238:	1 9 1 
1240:	1 
1250:	3 3 1 
1252:	4 
1255:	1 
1259:	2 1 
126:	1 5 2 3 1 6 1 1 1 2 3 1 
1260:	2 1 
1265:	2 3 
1266:	1 
1267:	1 
1268:	1 3 
127:	1 3 1 3 
1270:	1 
1271:	1 
1275:	2 
1276:	2 8 2 
1278:	2 
1279:	2 
128:	1 
1281:	5 
1282:	1 1 
1285:	1 
1289:	2 1 1 
129:	2 4 1 2 
1290:	1 
1294:	1 
13:	1 
1301:	1 
1302:	1 
1303:	2 6 1 4 1 2 2 
1304:	1 
1306:	1 1 1 2 
1307:	3 4 4 1 
1308:	2 
131:	4 
1310:	1 
1312:	3 
1313:	1 
1314:	4 5 
1315:	2 2 
1316:	5 6 
1317:	1 1 
1318:	1 3 
132:	1 
1324:	3 
1325:	3 
1326:	3 
1327:	2 2 1 
1328:	3 
133:	2 
1333:	3 
1334:	1 
1335:	1 1 
134:	2 
1340:	1 
1341:	1 
1342:	1 
1344:	4 1 2 18 4 5 2 6 1 1 3 2 1 3 
135:	2 1 5 
1354:	2 1 5 2 2 6 6 
1356:	3 
1359:	2 2 1 1 
136:	4 2 5 
1361:	1 
1362:	9 1 1 
1367:	1 1 2 
1368:	3 
1369:	1 
1370:	4 
1372:	1 1 1 2 1 5 2 
1375:	2 3 
139:	1 1 
1392:	1 
1398:	3 5 3 3 5 
1399:	4 3 3 6 2 2 
14:	1 1 
140:	2 6 3 1 
1400:	1 
1413:	2 5 1 1 
1414:	1 
1416:	1 3 2 8 
1417:	4 
1418:	3 
1419:	1 2 3 
1420:	2 1 
1422:	2 
1423:	2 
1424:	1 1 
1427:	1 1 3 
1428:	1 
1429:	1 4 3 1 3 8 
1430:	3 1 
1431:	1 
1433:	1 
1434:	2 
1439:	1 
1440:	1 1 
1443:	2 1 
1445:	1 
1446:	1 5 
1447:	2 2 4 7 1 
1448:	3 1 
145:	4 
1450:	2 4 
1451:	2 13 5 2 1 3 4 1 2 
1452:	5 
1453:	1 
1454:	2 1 
1455:	2 
1456:	2 
1458:	1 
146:	1 1 
1462:	1 2 
1464:	1 
1465:	2 3 2 13 7 8 
1466:	2 
1467:	1 
1468:	1 2 
147:	1 1 
1473:	1 1 3 
1474:	1 
148:	3 1 1 
1483:	2 3 
1484:	1 1 
1485:	2 5 
1486:	1 1 3 2 3 2 1 1 1 
1487:	1 1 3 1 
149:	1 1 
1490:	1 2 
1493:	3 1 1 1 
1494:	2 
1497:	1 
1498:	5 2 6 4 1 1 3 1 2 2 3 1 
150:	3 10 
1501:	1 
1502:	3 1 1 
1505:	1 1 
1506:	1 1 
151:	5 7 1 4 2 2 1 
1513:	1 1 5 
1514:	2 
1517:	2 
1519:	1 
152:	1 
1520:	1 
1521:	6 
1522:	1 2 
1525:	2 
1528:	2 
153:	1 
1531:	1 1 1 6 8 2 1 1 
1532:	1 3 2 2 2 3 3 7 2 
1541:	1 
1542:	2 6 2 1 
1545:	2 2 1 
1547:	1 
1548:	1 1 
1549:	3 
1550:	2 
1551:	3 1 
1553:	2 1 3 
1555:	7 1 
1556:	1 2 1 3 1 1 6 
1557:	1 1 
1558:	3 1 2 1 2 
1560:	1 1 2 
1561:	1 3 1 2 
1562:	3 
1563:	1 
1564:	5 
1565:	3 4 3 5 
1566:	1 
1567:	3 
1568:	2 2 2 1 
1569:	2 1 2 2 1 
1570:	1 
1571:	2 13 4 1 
1572:	1 1 
1573:	1 
1574:	2 10 3 2 1 
1575:	1 1 1 
1576:	1 5 1 
1577:	1 3 3 
1578:	1 2 1 
1579:	1 3 1 2 1 
1580:	1 
1581:	1 6 4 13 2 
1582:	1 1 1 1 6 7 2 1 
1583:	3 2 2 
1584:	2 1 2 
1585:	1 7 3 1 5 
1586:	1 
1587:	2 2 4 1 1 
1588:	1 1 1 
1589:	1 1 
1590:	3 5 3 3 2 
1591:	1 
1592:	1 
1593:	1 
1594:	1 
1595:	2 
1596:	1 1 1 
1597:	3 1 1 2 2 3 1 1 
1598:	2 
1599:	1 
16:	4 2 2 
160:	1 1 
1600:	1 3 
1601:	1 
1602:	2 5 
1603:	1 
1604:	1 
1605:	1 1 1 
1606:	1 1 3 2 3 1 2 4 1 2 1 
1607:	1 1 1 6 
1608:	1 
1609:	2 1 
161:	2 
1610:	2 2 2 
1611:	1 5 4 
1612:	4 4 2 
1613:	6 
1614:	3 
1615:	4 2 4 2 
1616:	1 
1617:	1 1 
1618:	2 1 2 1 1 
1619:	1 1 1 2 1 1 1 
162:	3 
1620:	1 
1621:	1 2 
1622:	3 
1623:	2 3 2 1 
1624:	1 2 1 4 1 2 3 1 3 8 
1625:	2 
1626:	1 1 3 
1627:	1 4 
1628:	3 
1629:	1 
163:	1 
1630:	2 
1631:	2 
1632:	1 1 
1633:	3 
1634:	1 2 1 
1636:	2 
1637:	1 1 1 
1638:	3 
1639:	1 2 
1640:	1 1 16 2 
1641:	1 
1642:	3 1 
1643:	8 1 
1644:	4 
1646:	4 
1647:	2 
1648:	1 16 4 3 4 1 
1649:	1 3 2 1 6 1 2 
165:	1 
1650:	1 1 
1651:	1 1 
1652:	1 
1653:	3 
1654:	1 1 2 1 2 6 1 1 2 
1655:	2 
1656:	1 1 
1657:	4 
1658:	1 
1659:	3 1 2 1 1 
166:	1 
1660:	1 3 
1661:	1 
1662:	1 2 
1663:	1 
1664:	1 2 
1665:	6 
1666:	2 
1667:	1 3 1 
1668:	4 
