=== non-contiguous nft : chains ===
Found 17520 chain interruption in 8699 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	7 1 1 
10:	3 1 1 2 
100:	6 
1000:	1 
1001:	10 2 
1002:	4 
1003:	12 3 3 1 1 1 1 1 1 1 1 1 1 
1004:	2 
1005:	9 
1006:	2 
1007:	1 
1008:	1 
1009:	5 
101:	5 2 3 4 5 1 2 3 1 
1010:	1 12 3 5 5 3 3 10 1 1 1 1 1 2 1 
1011:	3 
1012:	4 1 1 1 1 1 1 1 1 
1013:	2 
1014:	5 
1015:	6 2 1 1 1 2 1 2 
1016:	2 2 
1017:	2 
1018:	6 9 1 1 1 1 1 2 2 1 2 
1019:	3 1 
102:	9 15 4 3 13 
1020:	1 6 1 2 
1021:	6 
1022:	3 
1023:	6 2 
1024:	3 1 1 
1025:	9 1 2 
1026:	3 1 2 4 2 1 
1027:	4 1 
1028:	2 
1029:	4 
103:	3 3 
1030:	5 1 
1031:	8 2 6 3 2 1 
1032:	4 1 3 
1033:	5 
1034:	2 4 8 1 
1035:	4 
1036:	2 2 4 
1037:	1 
1039:	5 3 
104:	2 
1040:	2 
1041:	4 1 
1042:	3 3 
1043:	3 1 4 1 
1044:	3 1 
1045:	2 
1046:	4 
1047:	2 2 
1048:	2 
1049:	2 
105:	1 1 1 2 3 
1050:	2 
1051:	1 2 1 4 1 8 1 3 
1052:	2 
1053:	2 
1054:	1 1 
1055:	4 
1056:	3 
1057:	1 
1058:	13 
1059:	3 1 1 
106:	1 1 3 
1060:	3 1 
1061:	6 5 
1062:	6 
1063:	6 4 
1064:	7 
1065:	6 2 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1066:	5 1 
1067:	2 6 
1068:	6 1 
1069:	1 2 
107:	1 3 2 2 
1070:	3 
1071:	3 
1072:	3 
1073:	2 5 1 1 1 1 1 1 1 1 1 1 1 1 
1074:	1 8 
1075:	5 1 
1076:	4 
1077:	4 
1078:	3 
1079:	5 
108:	4 
1080:	1 
1081:	2 2 
1082:	7 3 1 1 
1083:	3 1 1 
1084:	1 1 3 2 4 1 
1085:	1 6 2 
1086:	2 
1087:	1 4 
1088:	7 2 5 9 
1089:	4 
109:	2 
1090:	4 
1091:	6 1 1 1 1 2 1 1 3 1 1 1 1 1 1 
1092:	1 1 
1093:	9 
1094:	2 2 8 6 1 3 1 
1095:	2 4 1 3 3 
1096:	4 1 
1097:	3 1 
1098:	8 2 8 1 
1099:	5 
11:	1 
110:	2 
1100:	6 
1101:	5 3 
1102:	5 4 3 
1103:	1 
1104:	2 1 4 1 
1105:	1 
1106:	8 1 
1107:	5 1 1 3 
1108:	3 1 1 
1109:	6 
111:	2 1 1 
1110:	6 
1111:	3 4 1 1 1 1 1 
1112:	5 2 
1113:	6 2 5 1 
1114:	3 1 
1115:	4 
1116:	6 1 1 3 2 
1117:	4 4 1 
1118:	5 3 11 9 9 2 
1119:	4 
112:	3 1 
1120:	5 
1121:	2 4 2 1 
1122:	3 
1123:	5 1 1 1 
1124:	4 1 1 1 2 1 
1125:	4 
1126:	9 
1127:	5 2 
1128:	1 2 
1129:	1 
113:	4 1 1 1 1 1 2 
1130:	10 7 2 
1131:	4 3 5 1 14 1 2 2 
1132:	7 1 
1133:	3 
1134:	6 8 1 
1135:	3 2 5 2 2 
1136:	3 
1137:	10 6 5 
1138:	1 1 
1139:	5 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 
114:	3 
1140:	4 
1141:	1 1 1 
1142:	4 2 3 8 
1143:	6 
1144:	4 
1145:	2 1 1 
1146:	3 2 4 1 1 1 2 1 2 1 1 1 3 2 
1147:	1 
1148:	3 
1149:	3 
115:	1 3 
1150:	3 
1151:	6 
1152:	1 5 1 
1153:	3 
1154:	2 3 2 
1155:	2 
1156:	1 
1157:	3 
1158:	2 
1159:	5 1 
116:	3 4 
1160:	5 
1161:	3 
1162:	2 1 5 6 1 1 1 1 1 1 
1163:	4 
1164:	8 
1165:	3 
1166:	8 
1167:	1 9 
1168:	1 4 
1169:	3 4 1 1 1 3 1 1 1 1 1 1 1 
117:	6 
1170:	2 1 2 2 
1171:	1 3 2 
1172:	11 2 1 
1173:	4 
1174:	4 1 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1175:	4 
1176:	3 7 23 7 
1177:	2 
1178:	1 3 2 1 
1179:	2 
118:	7 
1180:	2 
1181:	1 4 1 
1182:	3 2 1 2 
1183:	10 
1184:	2 3 
1185:	4 
1186:	3 
1187:	5 7 6 1 
1188:	1 2 2 3 1 1 
1189:	6 2 2 3 1 1 
119:	1 
1190:	1 
1191:	1 1 1 1 1 1 1 1 
1192:	3 2 1 
1193:	1 
1194:	9 3 1 
1195:	4 2 1 1 2 
1196:	1 2 2 1 1 4 3 6 14 5 5 2 1 
1197:	3 4 2 
1198:	3 1 
1199:	5 1 1 
12:	3 1 
120:	6 
1200:	1 
1201:	12 2 1 
1202:	1 7 1 1 
1203:	2 
1204:	3 
1205:	2 
1206:	3 
1207:	5 1 
1208:	3 
1209:	5 4 
121:	2 
1210:	7 2 19 3 4 
1211:	3 9 4 12 1 1 2 1 2 1 
1212:	4 
1213:	3 2 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 
1214:	5 
1215:	1 
1216:	4 1 
1217:	5 
1218:	2 
1219:	2 
122:	6 4 1 4 4 1 1 1 1 1 1 1 1 
1220:	5 
1221:	7 
1222:	3 17 2 
1223:	5 2 4 
1224:	3 
1225:	5 2 1 
1226:	5 1 
1227:	7 2 3 
1228:	2 2 2 1 2 
1229:	4 1 
123:	3 3 3 1 1 2 
1230:	1 
