=== non-contiguous nft : chains ===
Found 5381 chain interruption in 8182 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	5 
100:	1 5 
1000:	4 
1001:	2 
1002:	1 
1003:	2 
1004:	2 1 
1005:	2 1 1 
1006:	1 
1007:	1 2 
1008:	1 
1009:	2 
101:	3 1 
1010:	2 1 1 1 
1011:	3 2 
1012:	2 2 
1013:	2 2 2 3 
1014:	2 
1015:	2 1 1 
1016:	1 
1017:	2 1 1 1 4 1 
1018:	1 
1019:	2 2 1 
102:	1 
1020:	2 3 
1021:	2 2 
1022:	1 1 1 1 1 
1023:	1 3 1 2 
1024:	5 
1025:	4 
1026:	3 
1027:	1 
1028:	1 3 1 
1029:	2 
103:	1 
1030:	4 1 2 
1031:	2 1 3 
1032:	5 1 4 
1033:	3 1 
1034:	1 2 2 1 3 1 
1035:	1 
1036:	5 
1037:	3 2 1 
1038:	1 
1039:	2 1 
104:	1 
1040:	2 
1041:	3 2 
1042:	2 4 1 
1043:	3 
1044:	1 
1045:	2 1 2 2 1 
1047:	4 3 5 
1048:	1 
1049:	2 5 1 
1050:	3 1 
1053:	1 1 1 
1054:	2 
1055:	1 3 1 
1056:	1 1 3 
1057:	6 
1058:	1 1 
1059:	2 1 2 1 
1060:	2 
1061:	1 1 
1062:	1 2 
1063:	2 1 
1064:	2 4 
1065:	6 
1066:	1 2 
1067:	4 
1068:	1 
1069:	3 
107:	4 
1070:	1 
1071:	2 3 
1072:	1 
1073:	1 
1074:	3 2 
1076:	4 
1077:	3 3 
1078:	1 2 
1079:	2 1 
108:	1 3 
1080:	1 
1081:	3 3 
1082:	2 1 
1083:	2 1 1 1 
1084:	2 4 1 9 
1085:	3 2 
1086:	1 1 2 1 1 1 
1087:	3 
1088:	4 3 
1089:	3 1 
109:	4 2 
1090:	2 2 2 
1091:	1 1 3 2 
1092:	2 
1093:	1 
1095:	1 
1096:	7 
1097:	2 
1098:	2 
11:	2 
110:	2 1 2 
1101:	2 
1102:	1 2 
1103:	4 
1104:	2 1 
1105:	2 
1106:	3 1 
1107:	1 1 
1108:	3 1 
1109:	2 
111:	1 3 2 
1110:	5 
1111:	1 
1112:	5 
1113:	1 
1114:	3 
1115:	5 
1116:	4 2 7 1 2 
1117:	4 
1118:	2 
1119:	1 
112:	1 
1120:	2 
1121:	1 
1122:	1 4 1 2 
1123:	3 
1124:	1 
1125:	1 1 
1126:	1 1 1 1 2 
1127:	1 
1128:	2 
1129:	1 
113:	1 3 
1130:	1 
1131:	4 
1132:	3 5 
1133:	7 
1134:	4 
1135:	2 
1136:	3 
1137:	3 1 
1138:	1 1 2 
1139:	2 
114:	1 4 1 
1140:	1 
1141:	1 
1142:	1 
1143:	1 
1144:	1 
1145:	1 
1146:	2 1 1 2 3 2 
1147:	1 2 
1148:	2 
1149:	1 1 
115:	1 1 
1150:	2 
1151:	2 1 2 1 
1152:	1 1 
1153:	1 1 
1154:	2 
1155:	1 
1156:	2 
1157:	2 2 1 
1158:	3 1 
116:	1 2 
1160:	3 
1161:	2 
1162:	1 2 
1163:	2 
1164:	1 
1165:	4 4 
1166:	2 1 1 
1167:	2 
1168:	4 2 
1169:	2 2 
117:	4 1 
1170:	2 
1171:	1 2 
1172:	3 2 1 
1173:	2 
1174:	1 
1175:	1 4 2 2 1 
1176:	1 1 3 
1177:	4 1 
1180:	3 
1181:	1 1 
1182:	1 1 
1183:	1 2 
1184:	1 
1185:	1 
1186:	2 
1187:	1 
1189:	5 1 2 1 2 
1190:	3 
1191:	3 1 1 
1194:	2 
1197:	1 3 
1198:	2 
1199:	3 6 
12:	1 4 1 
120:	1 
1200:	2 
1201:	5 2 
1202:	2 
1203:	2 1 
1204:	1 
1205:	5 
1206:	4 
1207:	1 2 
1208:	1 2 2 1 1 
1209:	2 1 
121:	2 2 2 
1210:	3 
1211:	3 
1212:	1 2 
1213:	1 
1214:	1 1 
1215:	4 1 1 
1216:	2 
1217:	3 
1218:	2 1 3 
1219:	1 3 
122:	3 
1220:	1 1 
1221:	1 3 
1222:	1 
1223:	2 
1224:	2 2 
1225:	1 1 
1226:	2 
1227:	3 2 
1228:	2 
1229:	1 1 1 1 1 3 1 
123:	7 
1230:	4 
1232:	1 
1233:	4 2 
1234:	5 
1235:	1 1 
1236:	1 1 
1237:	3 1 1 
1238:	2 
1239:	3 1 2 
124:	3 
1241:	3 
1242:	2 4 
1243:	1 4 1 
1245:	2 
1246:	1 2 
1247:	2 1 2 
1248:	13 
1249:	1 1 3 
125:	1 
1250:	1 3 
1251:	3 
1255:	1 1 
1256:	2 
1257:	1 1 5 
1258:	4 
1259:	3 
