=== non-contiguous nft : chains ===
Found 4073 chain interruption in 4699 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	3 
10:	6 1 4 
100:	8 1 2 
1000:	1 
1001:	1 1 
1002:	1 
1003:	2 2 1 
1004:	5 
1005:	2 
1006:	5 
1007:	1 
1008:	4 3 1 
101:	3 1 5 
1010:	7 1 2 
1011:	1 
1014:	3 
1015:	1 3 
1016:	1 1 1 
1017:	3 2 
102:	2 2 
1020:	2 6 
1021:	4 
1022:	1 
1023:	11 3 2 
1024:	5 1 
1025:	5 
1026:	3 
1027:	1 3 
1028:	1 1 
1029:	1 1 2 1 2 1 2 
103:	4 
1031:	1 1 2 1 
1032:	5 
1035:	6 
1036:	4 
1037:	3 3 
1038:	5 1 1 1 2 
1039:	2 1 2 1 2 
104:	2 1 
1040:	4 
1041:	2 3 
1042:	6 1 1 2 
1043:	1 1 
1046:	4 
1047:	4 
1048:	2 
1049:	1 
105:	3 
1050:	5 
1051:	3 
1052:	4 
1053:	4 
1054:	3 
1055:	3 3 4 1 
1056:	5 1 
1057:	5 
1058:	2 
1059:	3 
106:	4 1 
1060:	2 
1061:	1 1 
1062:	7 
1063:	3 2 2 
1065:	6 4 
1066:	3 2 
1067:	2 
1068:	3 
1069:	1 2 
107:	4 
1070:	2 2 
1071:	2 1 3 1 1 7 1 
1072:	4 1 
1073:	3 4 
1074:	1 
1075:	1 1 1 
1076:	5 
1077:	2 
1078:	1 2 
1079:	6 1 
108:	2 1 2 
1080:	5 1 
1081:	2 5 
1082:	5 2 1 1 
1083:	3 
1084:	5 
1085:	6 5 1 
1086:	4 
1087:	2 3 2 
1088:	8 
1089:	2 1 
109:	5 1 
1090:	3 1 1 
1091:	1 
1092:	1 1 1 
1093:	3 1 2 1 
1094:	1 
1095:	1 1 
1096:	2 1 1 
1097:	1 
1098:	2 1 
1099:	5 1 
11:	3 2 1 
110:	3 
1100:	6 
1101:	2 
1102:	4 
1103:	4 
1104:	1 2 
1105:	1 1 
1106:	4 
1107:	3 1 
1108:	2 1 1 
1109:	4 
111:	2 
1110:	3 1 
1111:	8 
1112:	2 1 
1113:	4 
1114:	5 
1115:	4 
1116:	1 2 
1117:	3 1 
1118:	1 
1119:	5 4 1 
112:	5 
1120:	1 
1121:	2 1 
1122:	2 4 
1123:	3 
1124:	3 1 
1125:	1 2 
1126:	3 
1127:	1 1 
1128:	1 1 
113:	3 1 
1131:	5 
1132:	1 
1133:	3 1 2 
1135:	2 
1136:	1 
1137:	3 1 1 
1138:	1 
1139:	2 2 
114:	4 
1140:	1 
1141:	3 
1142:	2 1 
1145:	3 1 1 1 1 
1146:	3 
1147:	2 1 
1148:	1 3 
115:	4 3 1 1 
1151:	4 3 
1152:	1 
1153:	2 1 
1154:	5 1 
1155:	5 1 
1156:	2 
1157:	4 
