=== non-contiguous nft : chains ===
Found 1729 chain interruption in 14240 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
100:	2 
1000:	2 
10000:	1 
10001:	3 
10002:	2 
10003:	3 
10004:	1 
10005:	1 
10006:	1 
10007:	1 
10008:	1 
10009:	1 
1001:	3 
10010:	1 
10011:	1 
10012:	1 
10014:	2 
10015:	1 
10016:	1 
10017:	1 
10020:	2 
10021:	2 
10022:	2 
10023:	2 
10025:	1 
10026:	1 
10027:	1 
10028:	1 
10029:	3 
10030:	1 
10031:	3 
10032:	1 1 
10033:	1 
10034:	1 
10035:	1 
10037:	1 
10038:	2 1 
10039:	2 
1004:	1 4 
10040:	1 
10046:	1 
10047:	1 
10048:	2 
10049:	1 
1005:	1 1 
10050:	1 
10051:	2 
10052:	1 1 
10053:	1 
10055:	1 
10056:	1 1 
10057:	1 1 
10058:	1 
10059:	1 
1006:	1 
10060:	1 
10061:	2 
10062:	1 
10063:	1 
10065:	1 
10068:	1 
1007:	1 2 
10072:	1 1 
10073:	1 
10074:	1 
10076:	2 
10079:	1 1 
1008:	1 
10080:	1 
10081:	2 
10083:	1 
10086:	1 
10087:	3 
10088:	2 
10089:	1 
1009:	1 
10090:	1 
10091:	1 
10093:	2 
10095:	1 
10097:	1 
101:	1 
1010:	3 
10104:	1 
10107:	1 1 
10109:	1 
1011:	3 
10110:	1 
10111:	1 
10113:	1 
10115:	1 2 
10116:	1 
10117:	1 
10119:	1 
1012:	1 
10120:	2 
10121:	1 
10122:	1 
10123:	2 
10124:	1 
10125:	1 
10126:	1 2 
10127:	1 
1013:	1 
10130:	1 
10131:	1 
10133:	2 
10134:	2 
10135:	1 
10136:	1 
10137:	1 
10139:	1 
10140:	1 
10141:	1 
10142:	1 
10143:	1 
10145:	1 
10146:	1 
10147:	1 
10148:	1 
10150:	1 1 
10152:	3 
10153:	2 
10154:	3 
10155:	1 1 
10156:	2 
10159:	1 
10160:	1 
10161:	2 
10162:	1 
10164:	2 
10165:	1 
10166:	2 
10167:	1 
10168:	1 
10169:	3 
1017:	4 
10171:	1 
10173:	1 
10174:	2 
10175:	1 
10177:	1 
10179:	2 
10180:	1 
10184:	1 
10185:	2 
10186:	1 
10187:	2 
10189:	1 
10190:	1 
10191:	2 
10193:	2 
10194:	1 
10196:	1 
10197:	2 
10198:	1 
10199:	1 
102:	2 
1020:	2 
10201:	1 
10202:	1 
10205:	1 
10207:	1 1 
10208:	2 
10209:	1 
1021:	4 
10211:	1 
10212:	1 
10213:	1 
10214:	2 
10215:	1 
10216:	1 
10218:	1 
10219:	1 
10220:	1 
10221:	1 
10222:	1 
10223:	1 
10224:	1 
10226:	1 
10227:	1 
10228:	1 
10230:	1 
10232:	1 
10234:	1 
10235:	1 
10236:	1 1 
10238:	1 
10239:	1 1 
1024:	2 
10241:	1 
10247:	2 
10249:	1 
1025:	1 1 
10250:	2 
10251:	1 
10253:	1 
10255:	1 
10256:	1 
10257:	2 
10258:	1 
10259:	2 
1026:	2 
10263:	1 
10265:	1 
10267:	2 
10268:	2 
10269:	1 1 
1027:	1 
10278:	3 
10279:	1 
10283:	2 
10286:	2 
10287:	3 
10288:	3 
10289:	1 
10290:	2 
10291:	2 
10293:	3 
10294:	1 
10297:	1 
10299:	1 
103:	3 
10302:	1 
10303:	1 
10304:	2 
10305:	1 
10306:	1 
10308:	1 
10312:	1 
10315:	1 
10316:	1 
10319:	2 
1032:	1 3 
10320:	1 
10321:	2 
10327:	2 
10328:	3 
10329:	3 
1033:	3 
10335:	2 
10336:	3 
10339:	1 
1034:	2 
10344:	1 
10345:	1 
10347:	1 
