=== non-contiguous nft : chains ===
Found 13230 chain interruption in 8298 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 2 
1000:	1 
1001:	1 2 2 
1002:	3 
1003:	2 1 
1004:	4 
1006:	3 
1008:	1 
1009:	4 
101:	3 
1010:	1 1 1 1 
1011:	2 
1012:	10 
1013:	2 2 
1014:	6 2 
1015:	1 
1016:	1 4 
102:	2 3 2 3 
1020:	6 1 
1021:	1 3 
1022:	1 3 1 1 3 
1023:	1 1 
1025:	3 1 1 
1026:	1 
1027:	2 
1028:	1 
1029:	1 1 2 
1030:	1 1 
1031:	1 1 1 1 1 2 
1032:	1 
1033:	2 
1034:	1 2 
1035:	3 
1037:	2 1 
1038:	2 
1039:	1 
1040:	3 6 
1041:	1 
1046:	4 3 1 
105:	2 
1052:	1 2 1 2 
1053:	1 2 
1054:	5 
1055:	2 
1056:	2 
1058:	1 3 4 3 
1059:	4 
106:	2 
1060:	2 2 1 1 
1061:	1 6 
1062:	2 2 3 1 2 6 
1063:	1 1 
1065:	1 
1066:	1 1 
1067:	5 
1068:	1 1 
1069:	1 1 2 2 
107:	2 
1070:	4 2 2 2 
1071:	2 
1072:	1 2 1 2 
1073:	5 
1074:	1 3 2 14 2 
1075:	1 2 
1076:	2 7 
1077:	4 1 
1078:	1 1 1 
1079:	1 
108:	1 
1085:	3 4 2 
1086:	1 1 
1087:	2 
1088:	1 
1089:	5 
109:	2 3 3 
1090:	3 
1091:	1 
1092:	2 
1093:	3 2 
1095:	1 
1096:	1 
1098:	1 
1099:	1 
110:	5 3 
1100:	1 
1102:	1 
1104:	1 1 1 2 
1105:	4 
1106:	1 
1107:	1 1 1 
1108:	1 2 
1109:	1 
111:	2 3 1 
1110:	1 1 
1111:	1 1 
1112:	2 
1113:	1 
1115:	1 1 
112:	1 4 3 
1120:	1 2 1 
1121:	1 3 2 
1123:	4 
1125:	2 
1129:	1 
113:	3 
1134:	1 
1136:	1 
1138:	3 1 1 
114:	1 
1149:	1 
115:	1 2 
1156:	2 
1157:	3 3 
1159:	5 2 
1160:	1 2 
1164:	3 2 5 2 
1165:	1 3 
1166:	2 
1168:	1 2 2 2 3 1 2 1 3 3 
1170:	2 2 
1171:	2 4 2 1 
1172:	2 1 3 
1173:	1 
1174:	1 8 
1175:	2 1 3 
1176:	2 3 
1177:	3 1 1 
1178:	1 2 
1179:	1 1 1 
1181:	3 2 
1182:	2 
1183:	1 2 1 1 
1186:	3 
1187:	2 
1188:	5 1 3 
1189:	1 1 1 
120:	1 
1201:	2 
1202:	1 1 2 1 1 
1203:	1 
1204:	3 
1205:	1 2 
1206:	3 1 3 
1209:	2 
1210:	5 
1211:	1 
1212:	1 
1216:	2 2 2 1 
1217:	1 
1218:	2 
1219:	2 
1220:	1 2 1 
1222:	1 
1223:	2 
1224:	2 
1230:	2 4 
1231:	1 
1234:	5 
1235:	2 3 2 
1236:	2 2 1 1 4 3 
1237:	1 
1238:	1 1 
1239:	1 2 2 4 1 2 
124:	1 6 1 3 
1240:	3 
1241:	1 4 
1242:	1 1 1 
1244:	2 1 2 
1245:	2 
1246:	1 1 1 
1248:	2 6 3 
125:	1 1 1 3 
1251:	1 
1252:	1 
1257:	2 
1258:	1 3 
1262:	1 2 
1266:	2 
1267:	4 1 1 
1268:	1 2 1 1 1 
1269:	4 2 
127:	1 
1270:	1 
1271:	2 1 
1272:	2 
1273:	2 2 
1275:	2 
1277:	1 7 2 
1278:	2 
128:	1 1 1 1 
1282:	1 2 
1283:	2 
1285:	4 4 3 
1286:	2 2 1 
1287:	1 
1288:	1 
1289:	2 2 
129:	1 2 
1290:	2 
1291:	1 2 
1292:	3 1 2 
1293:	3 
1294:	1 
1295:	1 1 
1297:	1 3 1 5 
1298:	2 2 1 1 1 
1299:	3 1 1 4 3 2 
130:	1 2 1 5 
1300:	1 1 
1301:	1 2 1 2 1 
1302:	2 1 1 
1303:	1 
1304:	2 1 
1305:	2 
1306:	3 
1307:	2 
1308:	2 3 
1309:	2 
131:	3 
1310:	4 
1311:	1 2 
1312:	1 1 
1313:	1 2 
1314:	1 1 2 2 2 1 1 2 
1315:	4 1 
1316:	2 
1317:	3 
1318:	2 
1319:	1 4 
132:	2 1 1 
1322:	1 
1323:	1 1 
1325:	1 1 2 
1326:	2 1 1 1 
1329:	1 
1333:	3 
1342:	1 2 
1343:	4 1 1 
1345:	1 4 
1346:	1 
1347:	2 2 1 1 1 
1348:	1 1 1 
1349:	4 2 1 1 
135:	2 
1351:	4 6 2 
1352:	2 3 
1353:	2 
1354:	3 3 
1355:	4 
1356:	4 
1357:	1 
1359:	1 
136:	2 2 1 
1360:	3 
1362:	1 1 1 
1363:	3 
1364:	2 6 
1365:	3 3 1 1 
1366:	2 
1367:	2 2 1 
1368:	3 
1369:	2 2 
137:	2 1 
1370:	1 3 
1371:	4 
1372:	3 
1373:	1 
1374:	1 
1375:	1 2 
1376:	4 
1378:	5 
1379:	2 3 
138:	1 
1380:	8 
1381:	2 1 
1383:	2 1 2 
1384:	2 
1385:	5 
1386:	2 
1387:	2 1 
139:	3 
1390:	6 
1398:	4 
1399:	2 
140:	1 1 
1400:	1 1 
1401:	1 
1402:	5 
1403:	1 1 
1404:	1 
1406:	2 5 
1407:	5 
1408:	1 
141:	6 
1410:	1 4 2 1 
1411:	2 
1413:	2 
1414:	1 
1417:	1 
1418:	1 
1419:	6 
1420:	1 
1421:	2 
1423:	4 
1424:	3 1 2 3 
1425:	1 
1427:	1 
