=== non-contiguous nft : chains ===
Found 7111 chain interruption in 6723 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	1 2 
10:	3 6 
100:	4 
1000:	2 2 2 2 
1002:	2 2 
1003:	1 
1004:	2 
1006:	2 
1008:	1 
1009:	3 
101:	5 4 1 
1010:	1 
1011:	1 
1012:	2 
1013:	2 
1014:	3 
1015:	1 
1016:	1 
1017:	2 
1018:	1 1 1 
1019:	1 
1020:	6 
1021:	2 
1022:	1 1 
1023:	5 2 
1024:	1 2 
1025:	3 1 
1026:	3 1 
1027:	1 2 2 
1028:	6 
103:	2 
1030:	1 
1031:	1 
1032:	4 
1033:	2 1 
1034:	1 
1036:	11 1 3 1 1 2 
1037:	2 
1038:	1 1 
1039:	8 
104:	2 
1040:	2 16 4 10 2 5 2 
1041:	1 
1043:	4 3 
1047:	2 9 
1048:	2 
1049:	2 
105:	2 1 1 6 1 10 
1050:	4 4 
1051:	2 3 
1053:	4 5 6 
1054:	6 1 
1055:	2 11 5 
1057:	6 5 3 
1058:	1 
1059:	1 3 
1060:	1 1 
1061:	2 
1062:	5 2 
1063:	4 
1065:	6 
1066:	2 
1067:	2 1 
1068:	1 3 
1069:	2 3 1 1 
107:	4 9 1 
1071:	1 2 
1072:	1 
1073:	2 
1074:	2 
1075:	1 
1076:	1 
1077:	2 
1078:	1 
1079:	5 1 1 3 
1080:	2 1 1 1 2 
1081:	1 
1082:	1 1 1 1 
1083:	7 
1086:	3 
1087:	2 2 1 
1088:	2 
1089:	2 2 
109:	5 
1090:	2 
1091:	1 
1092:	5 2 1 
1093:	5 
1094:	1 1 2 1 1 2 2 
1095:	5 3 5 
1096:	2 1 
1097:	2 
1098:	2 
1099:	1 1 6 4 
11:	3 1 1 2 
110:	2 
1100:	2 
1103:	2 
1104:	3 
111:	5 
1110:	11 6 2 1 
1111:	2 1 1 
1112:	1 1 
1113:	3 2 1 1 
1118:	4 
1119:	2 
112:	2 1 
1121:	3 
1122:	2 
1123:	4 
1124:	1 6 
1125:	3 1 1 1 
1126:	2 
1127:	1 1 1 
1128:	1 
1129:	6 2 
113:	1 
1130:	3 4 1 
1131:	2 1 1 
1132:	3 1 1 1 
1133:	1 3 10 
1134:	1 1 1 1 
1135:	1 
1136:	1 2 
1138:	2 1 1 
1139:	4 
114:	1 
1140:	2 
1141:	2 1 
1142:	1 1 
1143:	1 1 
1144:	1 
1145:	1 
1146:	4 
1147:	2 
1148:	5 3 
1149:	1 
115:	5 
1150:	6 
1151:	2 
1152:	6 3 
1153:	2 8 
1154:	1 
1155:	2 7 2 
1156:	5 1 1 1 2 2 2 1 1 
1157:	7 1 4 
1158:	1 
1159:	1 1 3 4 
116:	4 1 2 
1160:	1 2 
1161:	1 1 
1163:	3 2 
1164:	4 1 
1165:	2 
1166:	1 
