
=== GRAPH INFO ===
Nodi: 7393
Archi: 32135
Duration (sec): 45987492 = 1y in interval [1660268243, 1706255735]
Delta (sec): 45987492 = 1y5m2w3d6h18min12s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 5077

size 2 → 2291 pattern
size 3 → 946 pattern
size 4 → 524 pattern
size 5 → 335 pattern
size 6 → 216 pattern
size 7 → 135 pattern
size 8 → 85 pattern
size 9 → 88 pattern
size 10 → 65 pattern
size 11 → 39 pattern
size 12 → 41 pattern
size 13 → 30 pattern
size 14 → 31 pattern
size 15 → 33 pattern
size 16 → 26 pattern
size 17 → 27 pattern
size 18 → 23 pattern
size 19 → 12 pattern
size 20 → 13 pattern
size 21 → 8 pattern
size 22 → 9 pattern
size 23 → 8 pattern
size 24 → 10 pattern
size 25 → 5 pattern
size 26 → 1 pattern
size 27 → 4 pattern
size 28 → 3 pattern
size 29 → 7 pattern
size 30 → 2 pattern
size 32 → 8 pattern
size 33 → 3 pattern
size 34 → 1 pattern
size 35 → 2 pattern
size 36 → 5 pattern
size 37 → 2 pattern
size 38 → 5 pattern
size 39 → 1 pattern
size 41 → 3 pattern
size 43 → 1 pattern
size 44 → 3 pattern
size 45 → 1 pattern
size 46 → 1 pattern
size 50 → 1 pattern
size 51 → 2 pattern
size 52 → 2 pattern
size 54 → 2 pattern
size 55 → 1 pattern
size 56 → 3 pattern
size 57 → 1 pattern
size 60 → 1 pattern
size 72 → 1 pattern
size 75 → 1 pattern
size 76 → 1 pattern
size 79 → 1 pattern
size 82 → 1 pattern
size 86 → 1 pattern
size 91 → 1 pattern
size 100 → 1 pattern
size 115 → 1 pattern
size 175 → 1 pattern
size 186 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 3474

size 2 → 2441 pattern
size 4 → 562 pattern
size 6 → 221 pattern
size 8 → 93 pattern
size 10 → 64 pattern
size 12 → 24 pattern
size 14 → 23 pattern
size 16 → 16 pattern
size 18 → 9 pattern
size 20 → 3 pattern
size 22 → 6 pattern
size 24 → 3 pattern
size 28 → 2 pattern
size 30 → 1 pattern
size 32 → 1 pattern
size 36 → 2 pattern
size 48 → 1 pattern
size 52 → 1 pattern
size 74 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 5654

size 2 → 4464 pattern
size 4 → 686 pattern
size 6 → 226 pattern
size 8 → 116 pattern
size 10 → 58 pattern
size 12 → 33 pattern
size 14 → 24 pattern
size 16 → 15 pattern
size 18 → 11 pattern
size 20 → 3 pattern
size 22 → 5 pattern
size 24 → 3 pattern
size 26 → 1 pattern
size 28 → 2 pattern
size 30 → 1 pattern
size 32 → 1 pattern
size 38 → 2 pattern
size 46 → 1 pattern
size 52 → 1 pattern
size 72 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 3920

size 2 → 2947 pattern
size 4 → 521 pattern
size 6 → 193 pattern
size 8 → 103 pattern
size 10 → 56 pattern
size 12 → 31 pattern
size 14 → 22 pattern
size 16 → 16 pattern
size 18 → 11 pattern
size 20 → 4 pattern
size 22 → 3 pattern
size 24 → 3 pattern
size 26 → 1 pattern
size 28 → 2 pattern
size 30 → 1 pattern
size 32 → 1 pattern
size 38 → 2 pattern
size 46 → 1 pattern
size 52 → 1 pattern
size 72 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 6582
Archi: 32135
Delta (sec): 45987492


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 5247

size 2 → 1098 pattern
size 3 → 831 pattern
size 4 → 689 pattern
size 5 → 544 pattern
size 6 → 407 pattern
size 7 → 321 pattern
size 8 → 278 pattern
size 9 → 209 pattern
size 10 → 177 pattern
size 11 → 144 pattern
size 12 → 115 pattern
size 13 → 84 pattern
size 14 → 80 pattern
size 15 → 79 pattern
size 16 → 42 pattern
size 17 → 34 pattern
size 18 → 27 pattern
size 19 → 16 pattern
size 20 → 15 pattern
size 21 → 14 pattern
size 22 → 9 pattern
size 23 → 9 pattern
size 24 → 4 pattern
size 25 → 8 pattern
size 26 → 2 pattern
size 27 → 3 pattern
size 28 → 5 pattern
size 31 → 1 pattern
size 33 → 1 pattern
size 38 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 7644

size 2 → 3091 pattern
size 3 → 1810 pattern
size 4 → 1101 pattern
size 5 → 634 pattern
size 6 → 390 pattern
size 7 → 236 pattern
size 8 → 166 pattern
size 9 → 94 pattern
size 10 → 51 pattern
size 11 → 29 pattern
size 12 → 16 pattern
size 13 → 14 pattern
size 14 → 7 pattern
size 15 → 2 pattern
size 16 → 1 pattern
size 17 → 1 pattern
size 20 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 602

size 2 → 290 pattern
size 3 → 126 pattern
size 4 → 64 pattern
size 5 → 49 pattern
size 6 → 21 pattern
size 7 → 30 pattern
size 8 → 6 pattern
size 9 → 5 pattern
size 10 → 5 pattern
size 11 → 3 pattern
size 12 → 1 pattern
size 13 → 1 pattern
size 17 → 1 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 362

size 2 → 220 pattern
size 3 → 74 pattern
size 4 → 26 pattern
size 5 → 20 pattern
size 6 → 11 pattern
size 7 → 9 pattern
size 8 → 1 pattern
size 10 → 1 pattern
