=== non-contiguous nft : chains ===
Found 6461 chain interruption in 6582 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 1 
10000:	1 
1012:	1 1 
1013:	2 3 
1020:	1 3 
1021:	2 2 
1022:	2 1 1 3 
1023:	2 
1024:	1 1 
1025:	9 
1026:	1 1 
1027:	1 
1029:	2 2 1 
103:	1 
1031:	2 6 1 2 3 
1032:	1 2 2 
1033:	3 
1034:	4 
1036:	3 
1037:	1 
1038:	4 2 1 
1039:	1 
104:	1 
1042:	1 
1048:	2 2 1 
1049:	2 
1050:	8 2 2 
1052:	2 
1054:	7 2 
1055:	1 5 4 2 
1056:	1 5 2 
1058:	1 6 
1059:	2 
106:	4 
1060:	1 
1066:	1 
1070:	2 
1075:	1 1 5 5 
1077:	4 
1079:	1 
108:	2 3 1 4 1 3 
1080:	1 
1082:	1 
1083:	4 
1084:	4 4 
1085:	1 
1086:	1 1 7 
1087:	1 1 
1088:	1 7 4 1 2 3 3 
1090:	2 3 5 
1095:	1 1 
1098:	4 
1099:	2 
11:	1 
1102:	1 3 
1104:	1 
1105:	1 1 5 2 3 1 
1106:	3 
1107:	1 1 4 1 
1108:	6 
111:	6 6 3 
1111:	2 2 1 1 1 1 1 1 
1112:	1 5 
1113:	1 7 
1114:	1 2 
1115:	1 
1117:	13 2 
1118:	3 
1121:	1 1 2 1 2 
1122:	1 
1123:	1 
1125:	2 3 
1127:	3 
1128:	1 1 1 
113:	1 
1130:	2 
1131:	8 
1132:	1 7 
1133:	1 1 1 1 
1134:	1 1 
1135:	2 2 
1137:	3 
1142:	2 3 
1143:	1 1 1 
1146:	1 1 2 
1147:	5 
1148:	1 1 1 10 5 1 1 2 3 
1149:	1 5 4 2 1 1 
115:	1 2 
1150:	1 
1152:	1 
1153:	1 
116:	1 2 
1160:	3 
1163:	6 
1165:	1 4 
117:	1 1 4 6 
1170:	1 
1171:	3 
1174:	1 6 4 
1175:	4 
1177:	2 
1178:	1 
1179:	1 2 2 
118:	2 
1180:	1 1 
1181:	1 3 1 1 
1182:	1 1 1 2 1 4 
1183:	1 2 1 2 
1185:	1 1 5 2 
1187:	2 4 
1188:	3 
1190:	1 1 1 5 
1191:	3 3 
1192:	5 
1193:	1 
1194:	1 1 
1197:	3 
12:	1 
1200:	1 1 
1211:	1 
1212:	11 1 1 1 
1213:	4 
1214:	3 
1216:	6 
1218:	2 3 
122:	1 
1220:	2 1 1 2 
1221:	1 
1222:	1 5 
1223:	1 1 
1224:	2 
1227:	3 
1229:	1 1 
123:	3 12 
1230:	1 1 
1232:	1 2 3 
1233:	1 
1237:	3 1 
1239:	1 3 1 1 1 1 
1240:	1 
1242:	1 
1243:	1 1 
1244:	7 
1245:	2 
1246:	4 
1248:	1 1 
1249:	5 2 
125:	10 2 
1253:	1 
1254:	3 
1255:	2 3 1 1 
1256:	1 1 1 
1257:	1 
1259:	4 2 2 
1260:	6 3 
1261:	2 
1262:	1 5 2 1 3 
1263:	5 
1265:	1 
1266:	2 
1267:	4 1 4 
1268:	2 
1269:	1 1 4 
127:	1 
1271:	1 1 1 
1273:	3 4 4 1 
1274:	1 4 1 3 3 2 
1279:	1 1 2 
128:	2 
1280:	6 2 1 
1281:	2 
1282:	1 
1283:	6 2 1 3 1 2 4 2 1 1 3 6 2 4 
1284:	6 
1287:	2 
1289:	3 
1290:	2 3 
1292:	1 1 3 3 
1293:	3 
1295:	1 12 3 1 11 1 4 
1296:	5 
1298:	2 
13:	1 
1300:	1 
1303:	1 1 
1304:	2 8 1 
1305:	1 3 2 1 2 1 1 
1308:	1 1 1 4 5 1 1 1 1 2 
131:	1 
1311:	2 
1313:	1 3 1 
1316:	1 3 
1319:	1 1 
132:	1 1 
1320:	8 2 1 2 3 
1321:	5 
1323:	1 
1324:	6 3 4 
1325:	2 
1327:	1 2 
