=== non-contiguous nft : chains ===
Found 2625 chain interruption in 9037 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
100:	1 
1000:	1 1 
1001:	3 2 2 
1002:	2 
1003:	1 3 
1004:	2 
1005:	1 1 
1006:	2 
1007:	1 1 
1008:	1 2 
1009:	4 4 
101:	1 7 3 
1010:	4 
1011:	5 
1012:	2 
1013:	6 
1014:	3 2 
1015:	1 
1016:	1 1 
1017:	1 
1018:	5 
1019:	2 
102:	5 4 
1020:	4 
1021:	2 
1022:	3 
1023:	3 
1024:	5 
1025:	5 
1026:	1 
1027:	2 
1028:	2 1 
1029:	4 
103:	3 
1030:	2 
1031:	1 
1032:	3 
1033:	7 
1034:	3 
1035:	8 
1036:	5 1 1 
1037:	1 3 1 
1038:	1 
1039:	2 
104:	5 1 2 2 
1040:	2 
1041:	1 
1042:	5 
1043:	1 2 
1044:	1 4 
1045:	5 
1046:	1 
1047:	3 4 3 
1048:	1 5 
1049:	1 
105:	2 
1050:	3 
1051:	3 
1052:	1 
1053:	9 
1054:	1 
1055:	6 
1056:	1 
1057:	1 1 
1058:	1 
1059:	1 
1060:	2 
1061:	1 1 
1062:	1 
1063:	1 
1064:	1 
1065:	1 1 
1067:	1 1 
1068:	1 
1069:	1 1 1 
107:	3 
1070:	1 
1071:	1 
1072:	1 
1073:	9 
1074:	1 
1075:	2 1 
1076:	1 
1077:	2 
1078:	2 1 1 
1079:	2 
108:	3 
1080:	2 2 1 5 
1081:	5 
1082:	3 1 
1083:	1 
1084:	1 
1085:	3 1 
1086:	7 
1087:	4 
1088:	4 
1089:	4 
109:	1 6 
1090:	3 
1091:	1 1 
1092:	1 
1093:	3 1 
1094:	1 
1095:	7 
1096:	6 
1097:	3 
1098:	1 
1099:	1 
110:	4 
1100:	2 
1101:	1 
1102:	3 
1104:	3 
1105:	1 
1106:	2 
1107:	3 2 3 
1108:	2 
1109:	8 
111:	4 
1110:	1 
1111:	3 
1112:	2 
1113:	3 
1114:	2 
1115:	2 
1116:	2 2 
1117:	2 
1118:	5 
1119:	1 
112:	2 
1120:	4 
1121:	1 3 
1122:	5 
1123:	1 1 1 
1124:	3 
1125:	4 
1126:	1 
1127:	1 2 
1128:	2 1 
1129:	3 
113:	2 
1130:	1 10 
1131:	3 
1132:	3 1 
1133:	1 3 
1134:	2 
1135:	6 
1136:	1 
1137:	1 1 
1138:	1 
1139:	1 1 
114:	2 
1140:	8 
1141:	2 
1142:	2 2 2 
1143:	1 
1144:	2 1 
1145:	3 
1146:	3 
1147:	1 
1148:	5 
1149:	1 
1150:	3 
1151:	4 
1152:	3 
1153:	4 
1154:	1 
1155:	4 1 1 
1156:	4 
1157:	2 
1158:	7 
1159:	3 1 
116:	3 
1160:	2 
1161:	5 
1162:	5 
1163:	1 
1164:	4 1 
1165:	4 
1166:	2 
1167:	5 
1168:	2 
1169:	3 
1170:	2 
1171:	5 
1172:	4 1 
1173:	1 
1174:	2 
1175:	1 
1176:	1 
1177:	1 
1178:	1 2 
1179:	1 
118:	1 
1180:	3 
1181:	1 
1182:	1 
1183:	2 
1184:	1 
1185:	2 1 
1186:	4 1 
1187:	1 2 
1188:	1 
1189:	4 
119:	4 
1190:	1 
1191:	3 
1192:	2 
1193:	1 3 
1194:	2 
1195:	2 
1196:	2 
1197:	3 
1198:	4 
1200:	1 
1201:	1 
1202:	4 
1203:	5 
1204:	1 4 1 1 
1205:	2 
1206:	1 2 
1207:	6 
1208:	6 
1209:	2 2 5 5 
121:	2 
1210:	2 1 
1211:	3 
1212:	3 
1213:	2 
1214:	4 
1215:	1 1 
1216:	1 
1217:	1 3 
