=== non-contiguous nft : chains ===
Found 8150 chain interruption in 8879 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 1 
100:	5 1 2 1 5 5 
1000:	1 2 1 4 
10000:	2 
1001:	7 
1002:	2 8 2 4 3 4 4 2 2 1 1 3 2 3 2 4 
1003:	6 
1004:	2 
1005:	4 
1006:	2 
1007:	3 
1008:	2 
1009:	2 
101:	10 1 
1010:	5 2 2 1 
1011:	1 1 
1012:	5 
1013:	3 
1014:	10 4 
1015:	5 3 8 
1016:	1 
1017:	10 
1018:	2 
1019:	2 
102:	2 1 1 4 
1020:	3 
1021:	8 1 
1022:	5 1 3 
1023:	1 
1024:	3 
1025:	2 
1026:	2 
1027:	3 6 
1028:	3 
1029:	6 4 3 4 2 
103:	2 
1030:	3 2 2 
1031:	2 10 
1032:	6 
104:	2 2 1 1 
1044:	1 4 3 1 2 
1046:	3 
105:	4 
1052:	9 
1053:	4 1 
1054:	3 
1055:	3 
1056:	1 2 1 
1057:	2 2 1 
1058:	2 
1059:	7 
106:	1 
1060:	3 
1061:	4 2 
1062:	5 3 
1063:	6 5 
1064:	2 
1065:	2 1 
1066:	6 1 11 
1067:	4 
1068:	1 1 
1069:	1 
107:	1 
1070:	5 
1071:	3 
1072:	2 3 
1073:	5 8 3 6 
1074:	1 
1075:	4 
1076:	5 2 3 
1077:	1 
1078:	1 
1079:	1 
108:	3 5 
1080:	1 
1081:	2 
1082:	1 2 2 
1083:	1 
1084:	3 2 1 2 2 3 5 
1085:	1 
1086:	5 
1087:	9 1 1 1 6 
1088:	4 
1089:	1 
109:	1 
1090:	2 
1091:	7 1 4 4 
1092:	4 
1093:	3 
1094:	8 2 
1095:	3 1 1 5 1 
1096:	3 
1097:	6 
1098:	5 1 1 
1099:	1 
110:	1 
1100:	4 
1101:	5 
1102:	2 6 3 5 
1103:	2 1 
1104:	3 2 3 1 1 1 
1105:	5 
1106:	1 
1107:	5 
1108:	1 
1109:	3 5 1 
111:	2 
1110:	5 
1111:	5 1 2 4 3 
1112:	6 
1113:	6 
1114:	3 
1115:	1 2 2 3 1 
1116:	2 8 
1117:	2 
1118:	2 
1119:	1 
112:	1 
1120:	5 6 1 
1121:	1 1 1 
1122:	3 
1123:	6 
1124:	1 
1125:	1 
1126:	1 
1127:	8 
1128:	2 
1129:	1 4 3 
113:	2 1 
1130:	2 1 1 
1131:	1 
1132:	1 
1133:	2 
1134:	2 
1135:	2 
1136:	2 1 
1137:	3 
1138:	2 
1139:	1 7 
114:	3 5 
1140:	4 
1141:	1 
1142:	2 
1143:	3 
1144:	2 
1145:	1 2 
1146:	4 1 3 5 
1147:	1 3 1 12 3 1 3 9 1 
1148:	2 
1149:	3 1 1 
115:	2 
1150:	1 
1151:	2 5 3 7 2 
1152:	2 2 2 1 
1153:	1 
1154:	2 1 
1155:	1 
1156:	1 2 
1157:	1 
1158:	1 
1159:	1 1 2 
116:	4 
1160:	3 
1161:	1 
1162:	1 
1163:	2 1 
1164:	2 
1165:	1 
1166:	2 3 1 3 1 3 
1167:	2 3 2 1 2 2 
1168:	2 
1169:	2 
117:	5 
1170:	1 
1171:	7 
1172:	3 2 3 
1173:	1 3 2 
1174:	3 
1175:	1 2 2 3 
1176:	6 
1177:	1 
1178:	1 1 1 1 1 
1179:	2 1 
118:	2 
1180:	2 
1181:	4 4 3 3 2 
1182:	1 3 9 6 
1183:	2 
1184:	1 
1185:	2 
1186:	7 5 3 1 2 
1187:	8 1 2 
1188:	2 
1189:	4 
119:	3 
1190:	1 1 
1191:	3 
1192:	2 
1193:	2 
1194:	3 
1195:	5 
1196:	1 3 
1197:	1 1 1 1 10 
1198:	5 
1199:	2 1 
120:	6 
1200:	4 1 4 1 
1201:	4 
1202:	2 
1203:	2 2 1 
1204:	3 
1205:	2 
1206:	4 
1207:	4 
1208:	1 1 
1209:	1 
121:	1 1 
1210:	3 2 2 2 5 1 1 5 
1211:	4 
1212:	4 
1213:	1 5 
1214:	6 
1215:	1 
1216:	7 
1217:	4 
1218:	9 
1219:	5 
122:	6 
1220:	1 
1221:	1 
1222:	10 
1223:	1 
1224:	2 
1225:	3 
1226:	2 3 
1227:	5 2 
1228:	5 1 
1229:	2 
123:	2 2 
1230:	3 
1231:	1 
1232:	1 
1233:	1 2 1 5 3 
1234:	2 
1235:	2 
1236:	1 3 
1237:	3 1 
1238:	7 
1239:	1 
124:	5 
1240:	1 
1241:	4 
1242:	3 
1243:	2 1 
1244:	1 1 
1245:	1 
1246:	5 
1247:	5 1 
1248:	2 1 
1249:	6 
