=== non-contiguous nft : chains ===
Found 3162 chain interruption in 7511 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 1 
1:	1 
100:	1 
10000:	1 
1006:	4 3 
1007:	5 
1008:	1 
1009:	1 
101:	1 1 
1010:	1 
1011:	2 
102:	1 1 
1022:	1 
1023:	1 6 
1024:	4 3 
1025:	3 
1026:	4 5 
1027:	3 
1028:	1 
1029:	1 4 
103:	5 
1030:	1 2 
1031:	3 
1032:	3 
1034:	5 
1036:	2 
1037:	2 1 
1039:	1 
104:	2 
1040:	3 1 
1041:	2 
1042:	2 
1043:	1 
1044:	2 
1045:	3 1 
1046:	6 
1047:	2 
1048:	4 7 
1049:	1 1 1 1 
105:	1 
1050:	1 
1051:	1 2 
1052:	3 
1053:	5 2 
1054:	4 
1055:	9 
1056:	2 
1057:	1 
1058:	8 
1059:	2 
1060:	2 
1062:	2 2 4 
1063:	2 
1064:	1 
1065:	3 1 
1066:	1 2 
1067:	4 
1068:	5 
1069:	4 1 
107:	2 1 3 
1070:	5 
1071:	1 
1072:	2 
1073:	3 1 
1074:	3 
1075:	2 
1076:	1 
1077:	4 
1078:	2 2 
1079:	1 
108:	1 
1080:	3 
1081:	2 6 
1082:	4 
1083:	2 
1084:	2 2 
1085:	1 
1086:	7 
1087:	4 
1088:	3 
1089:	2 
109:	3 
1090:	3 
1091:	1 1 
1092:	3 
1093:	3 2 
1094:	6 
1095:	1 2 2 
1096:	4 
1097:	2 
11:	6 
110:	5 
1107:	1 2 2 
1108:	2 
1109:	1 2 1 
1110:	2 
1112:	2 
112:	2 
1125:	7 1 1 
1126:	5 1 2 
1127:	3 1 2 
1128:	3 
1129:	3 
1130:	1 
1131:	2 3 
1132:	4 2 3 1 
1133:	1 
1134:	4 
1136:	2 
1139:	3 
1140:	1 
1141:	3 2 
1142:	6 
1143:	5 
1145:	4 
1146:	1 
1147:	1 
1148:	2 9 
115:	1 
1150:	3 
1151:	1 
1152:	2 
1153:	1 2 
1154:	2 1 2 
1155:	1 
1156:	1 1 1 
1157:	7 
1158:	3 3 
1159:	5 
116:	1 2 1 1 
1160:	1 
1161:	3 
1162:	5 
1163:	2 1 2 
1164:	1 2 
1165:	2 
1166:	1 
1168:	1 2 
1169:	5 
117:	2 
1170:	1 
1171:	1 
1172:	5 
1173:	1 
1174:	3 4 
1175:	2 
1176:	2 
1177:	1 
1178:	1 2 
1179:	1 
118:	1 
1180:	1 1 
1181:	3 
1182:	1 4 2 
1183:	6 
1184:	4 1 1 
1185:	3 
1187:	1 
1188:	2 
1189:	4 
119:	3 
1190:	3 
1191:	5 
1193:	2 3 1 2 
1194:	3 3 
1195:	3 2 
1196:	2 
1197:	1 
1199:	3 1 2 
120:	4 1 
1200:	1 
1201:	7 
1202:	2 
1203:	3 
1204:	5 
1205:	3 6 
1206:	1 
1207:	4 1 1 1 6 
1208:	2 
1209:	4 
121:	1 1 
1210:	2 
1211:	3 2 
1213:	1 2 
1214:	2 
1216:	1 
1222:	1 
1223:	1 1 
1225:	1 3 1 
1226:	1 
1227:	1 
1228:	3 
1229:	3 
123:	1 1 1 
1230:	1 
1231:	1 
1232:	1 
1233:	2 
1234:	3 
1236:	4 
1237:	1 
1238:	4 
1239:	4 
124:	2 
1240:	4 
1241:	1 1 
1242:	2 
1243:	1 2 
1244:	2 
1245:	2 
1246:	2 
1247:	2 
1248:	1 2 
1249:	2 
125:	1 
1250:	1 
1251:	2 
1252:	2 
1253:	1 2 
1259:	4 
126:	1 
1264:	3 
1265:	2 
1266:	2 
1267:	1 1 4 
1268:	1 
1269:	3 
127:	1 
1270:	4 
1271:	5 
1272:	1 2 
1273:	2 
1274:	1 2 
1275:	2 6 2 
1276:	4 2 
1277:	2 
1278:	1 3 
1279:	2 
128:	3 
1280:	1 
1281:	3 
1282:	2 
1283:	3 
1284:	4 
1285:	2 
1286:	5 
1287:	3 
1288:	4 
1289:	2 
129:	4 1 
1290:	2 
1291:	3 
1292:	5 
1294:	3 1 
1297:	1 
13:	1 
1303:	1 2 
131:	1 
1311:	1 2 
1312:	1 1 
1315:	2 2 
1323:	7 
1324:	4 
1325:	1 
1326:	1 2 
1327:	1 
1328:	2 
1329:	4 3 
133:	4 1 2 
1330:	2 2 
1331:	2 
1332:	1 
1333:	1 2 
1334:	1 1 
1335:	1 1 
1336:	1 
1337:	1 
1338:	1 
1339:	3 
134:	3 
1340:	1 2 
1341:	1 
1342:	1 1 1 
1343:	2 3 
1344:	1 2 
1345:	5 
1346:	3 
1347:	4 1 2 
1348:	2 3 
1349:	1 
