=== non-contiguous nft : chains ===
Found 2237 chain interruption in 8751 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	1 1 
10:	1 
100:	1 
1000:	2 
1001:	2 
1002:	3 
1003:	2 
1004:	2 
1005:	3 1 
1007:	4 
1008:	2 
1009:	1 
101:	3 
1010:	4 
1011:	1 
1012:	2 1 
1013:	2 
1014:	2 1 3 1 
1015:	1 2 
1016:	2 
1017:	4 
1018:	2 
1019:	1 
102:	1 
1020:	2 
1021:	2 
1022:	1 
1023:	3 
1029:	1 
103:	3 2 
1030:	2 
1031:	1 3 
1032:	5 
1033:	1 1 
1039:	4 
1040:	1 
1042:	1 
1043:	2 
1044:	1 
1045:	2 
1046:	2 
1047:	3 1 1 
1048:	5 
1049:	3 1 
105:	1 
1050:	1 
1051:	2 
1052:	1 
1056:	2 
1057:	2 3 
1058:	1 
1059:	2 
106:	5 
1060:	5 
1061:	5 
1062:	2 
1063:	3 
1066:	1 1 
1067:	1 
1068:	6 
1069:	1 
1070:	1 
1071:	2 1 1 2 
1072:	1 
1076:	1 
1079:	3 
108:	4 
1080:	4 
1081:	3 2 
1082:	1 1 
1083:	4 
1084:	6 
1086:	1 
1087:	3 
1088:	3 
109:	3 
1091:	3 
1092:	12 2 
1093:	5 
1094:	2 
1095:	5 5 
1096:	4 
1097:	2 
1098:	2 
1099:	5 
11:	4 4 
1100:	2 
1102:	5 
1103:	6 
1104:	1 
1105:	3 
1106:	1 
1107:	1 
1108:	1 
1109:	2 3 
111:	2 
1110:	1 1 
1111:	1 
1112:	3 
1113:	3 
1114:	3 
1115:	3 
1116:	3 
1117:	2 
1118:	3 
1119:	1 
112:	1 
1120:	1 
1122:	3 
1126:	2 
1127:	1 
1128:	6 2 2 4 
1129:	1 
113:	2 2 2 
1130:	2 
1131:	2 
1132:	3 
1133:	4 
1134:	2 
1135:	1 1 
1136:	1 1 1 3 
1137:	4 
114:	2 
1140:	2 
1141:	5 
1142:	1 
1143:	3 2 
1144:	2 1 
1145:	2 
1147:	1 
1148:	3 
115:	2 
1152:	1 2 
1153:	2 
1154:	3 1 
1155:	6 
1159:	4 1 1 1 
116:	2 
1160:	1 
1161:	1 
1163:	1 
1166:	2 2 
1167:	1 
1168:	1 
1169:	1 
1170:	1 
1171:	3 
1172:	2 
1173:	5 
1174:	2 2 1 1 
1175:	4 
1176:	1 
1177:	3 1 1 
1178:	2 
118:	1 
1180:	2 1 1 
1181:	2 2 
1182:	5 
1183:	1 
1184:	1 
1185:	2 1 
1186:	5 
1188:	4 
1189:	2 
1190:	2 
1191:	3 
1192:	4 
1193:	1 
1194:	6 
1196:	3 
1197:	1 
1198:	1 
12:	3 
120:	3 1 
1200:	4 
1201:	2 8 
1202:	2 
1203:	4 
1204:	2 
1205:	2 
1206:	5 
1207:	3 
