=== non-contiguous nft : chains ===
Found 2639 chain interruption in 8067 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
1000:	1 
1002:	2 
1003:	1 1 
1004:	1 2 
1005:	1 
1008:	3 2 
1009:	1 1 1 
101:	2 
1010:	1 1 
1011:	3 
1012:	1 
1013:	2 2 
1014:	4 
1015:	1 3 
1016:	2 
1017:	1 
1018:	2 1 
102:	2 
1020:	2 
1021:	3 
1022:	1 
1023:	1 1 
1024:	2 
1028:	1 8 
1029:	1 
103:	3 
1030:	2 
1031:	2 
1032:	3 
1033:	2 
1034:	2 1 
1035:	2 
1036:	1 
1037:	2 
1038:	3 
1039:	2 
104:	1 
1040:	6 
1041:	3 
1042:	4 
1043:	1 
1044:	3 
1045:	2 
1046:	3 
1047:	3 1 
1048:	2 
1049:	6 
105:	3 
1050:	1 2 1 
1051:	2 
1052:	1 
1053:	3 
1054:	4 
1057:	2 3 
1058:	7 
1059:	1 
106:	9 
1060:	2 4 1 
1061:	3 
1062:	1 2 
1063:	4 
1064:	3 
1065:	1 1 1 
1066:	1 
1067:	2 
1068:	2 
1069:	3 1 
107:	3 
1070:	2 
1071:	2 
1072:	4 
1073:	5 1 2 
1074:	2 
1076:	1 2 
1077:	1 
1078:	6 
1079:	1 
108:	7 
1080:	3 
1082:	6 
1083:	3 
1084:	3 2 
1085:	3 
1086:	4 
1088:	4 1 
1089:	2 
109:	2 
1090:	3 
1092:	4 
1093:	5 
1094:	3 2 
1095:	3 1 
1096:	2 
1097:	4 1 
1098:	4 2 
1099:	2 4 1 
110:	6 
1100:	2 1 
1101:	4 1 
1102:	3 
1103:	2 1 
1104:	3 
1105:	4 
1106:	5 
1107:	1 
1108:	4 
1109:	2 
1110:	1 
1111:	2 1 
1112:	3 
1113:	6 
1114:	3 
1115:	6 
1116:	3 
1117:	2 
1118:	1 2 
1119:	3 
112:	1 3 
1120:	3 
1121:	1 
1122:	2 
1123:	2 
1124:	3 
1126:	1 1 
1127:	6 
1128:	1 2 
1129:	2 
113:	2 1 
1130:	2 
1131:	3 1 
1132:	3 
114:	1 1 1 
1143:	1 
1144:	3 
1145:	2 
1146:	1 3 2 
1148:	1 
1149:	2 
115:	5 3 
1150:	1 1 
1151:	4 
1152:	1 
1153:	1 
1154:	3 1 6 
1155:	1 
1156:	3 
1157:	3 
1158:	2 
1159:	3 
116:	2 
1160:	3 
1161:	6 
1162:	4 
1163:	2 
1164:	2 1 
1165:	1 
1166:	1 1 
1167:	6 
1168:	4 
1169:	1 
117:	4 
1170:	1 
1171:	2 
1173:	9 
1174:	1 
1175:	5 
1176:	5 
1177:	1 
1178:	5 
1179:	5 
118:	2 
1180:	3 2 3 
1181:	2 1 
1182:	3 
1183:	1 
1184:	1 
1185:	3 1 1 
1186:	1 
1187:	1 
1188:	4 2 1 
1189:	3 
119:	2 
1190:	3 
1191:	2 
1192:	4 
1193:	3 
1194:	5 
1195:	3 
1196:	4 
1197:	2 
1198:	5 
1199:	1 
12:	2 
120:	4 
1200:	1 
1201:	2 
1202:	2 1 
1203:	4 
1204:	6 1 
1205:	1 
1206:	3 
1207:	2 
1208:	1 
1209:	2 
121:	3 3 
1210:	2 
1211:	1 
1212:	7 1 
1213:	1 4 
1214:	2 
1215:	3 
1216:	4 
1217:	4 
1218:	5 1 
1219:	1 
1220:	2 
1221:	4 
1222:	4 1 
1223:	2 
1224:	8 
1225:	7 
1226:	4 
1227:	1 
1228:	1 
1229:	1 3 1 
123:	1 
1230:	5 
1231:	1 
1232:	4 
1233:	2 1 
1234:	2 
1235:	2 
1236:	3 1 
1237:	3 
1238:	1 
1239:	3 
