=== non-contiguous nft : chains ===
Found 3310 chain interruption in 4745 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	2 
100:	2 1 
1000:	4 
1003:	1 
1004:	1 13 7 6 
1006:	3 
1007:	7 
1008:	1 
1009:	1 
101:	3 
1010:	5 4 
1011:	2 
1012:	5 
1013:	3 
1014:	4 5 6 4 8 
1015:	4 2 
1016:	1 
1017:	7 
1019:	5 7 1 1 2 6 
102:	3 1 
1020:	6 
1021:	2 
1022:	1 
1023:	3 1 1 
1024:	3 
1025:	3 
1026:	2 
1027:	1 
1028:	3 
1029:	2 
103:	3 4 
1030:	2 5 10 
1031:	2 
1034:	1 
1035:	2 
1036:	1 2 3 
1039:	1 1 
104:	2 
1040:	1 1 
1041:	6 
1042:	3 11 
1043:	1 1 1 
1044:	3 
1045:	1 2 
1046:	4 
1047:	1 
1048:	5 
1049:	4 
105:	1 
1050:	4 
1051:	1 2 3 2 
1052:	1 
1053:	1 2 1 
1054:	1 
1055:	2 
1056:	2 1 
1057:	3 8 
1058:	2 
1059:	2 1 
1060:	1 2 1 2 
1061:	3 
1062:	2 
1067:	2 
1068:	2 
1069:	1 
1070:	2 1 1 5 1 
1071:	2 
1072:	1 2 1 
1073:	2 
1077:	5 
1078:	1 
1079:	8 10 5 2 2 
108:	3 
1080:	1 
1081:	6 3 5 
1082:	2 3 
1083:	3 
1084:	3 13 3 
1085:	3 
1086:	2 
1087:	1 1 1 1 1 
1088:	1 
1089:	2 8 1 1 4 1 5 1 
109:	1 2 
1090:	1 
1091:	1 1 
1092:	1 
1093:	2 1 
1094:	1 
1095:	1 
1096:	2 
1097:	1 
1098:	3 3 2 3 3 3 
1099:	1 
110:	2 
1100:	2 
1101:	1 
1102:	1 2 1 1 
1103:	1 
1104:	1 3 
1105:	2 2 1 3 3 
1106:	1 2 
1107:	3 
1108:	1 
1109:	3 2 
111:	1 
1110:	4 
1112:	3 
1113:	1 
1114:	11 6 2 1 2 7 1 
1115:	1 
1116:	2 
1119:	1 
112:	1 
1120:	1 
1121:	2 
1122:	4 
1123:	2 
1124:	1 1 1 1 
1125:	3 
1126:	2 3 
1127:	3 
1128:	5 
1129:	3 
113:	1 
1130:	1 1 
1131:	2 1 
1132:	1 
1133:	2 
1134:	1 2 4 2 
1135:	15 3 
1136:	4 3 
1137:	3 1 
1138:	2 
1139:	4 
114:	1 
1140:	1 1 2 7 
1143:	1 1 
1144:	3 4 
1145:	10 1 
1146:	2 12 1 
1147:	3 12 1 5 5 
1148:	4 3 7 5 
1149:	7 2 4 1 2 
115:	2 
1150:	2 
1151:	3 1 
1152:	14 
1153:	2 
1154:	2 
1156:	4 
1157:	1 1 
1158:	3 
1159:	1 2 
1160:	4 1 
1161:	3 10 
1162:	1 
1163:	5 1 1 2 
1164:	5 
1165:	2 
1167:	5 
1168:	3 5 3 5 3 2 
1169:	3 
1170:	5 1 
1171:	4 1 3 
1172:	4 
1173:	1 
1175:	2 
1176:	6 
1177:	3 2 
1178:	3 
