=== non-contiguous nft : chains ===
Found 2889 chain interruption in 6115 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	3 2 
1001:	5 
1003:	6 
1004:	2 
1006:	2 1 
1007:	3 
1009:	5 
101:	4 
1012:	1 1 
1013:	1 
1014:	1 
1015:	7 
1016:	1 
1017:	2 
1018:	2 1 1 
1019:	1 
102:	1 
1020:	2 
1021:	1 
1022:	1 
1023:	6 
1024:	3 
1026:	6 
1027:	2 
1029:	5 
103:	1 
1031:	3 
1033:	1 
1034:	4 2 
1036:	4 
1037:	12 
1038:	2 
1039:	2 
1040:	2 
1041:	2 
1042:	1 
1043:	1 1 
1044:	2 3 
1045:	1 
1046:	1 
1049:	1 
1050:	2 
1051:	1 3 
1053:	1 
106:	2 1 
1060:	4 1 
1062:	5 
1064:	2 
1066:	1 1 
1067:	1 
1068:	1 2 
1069:	1 
107:	1 
1071:	7 1 
1074:	1 
1075:	1 
1076:	1 2 
1077:	2 2 
1078:	1 2 1 
1079:	4 
108:	1 
1080:	2 1 2 
1083:	5 1 
1084:	1 
1085:	3 1 
1086:	2 1 
1088:	2 
1089:	3 1 
109:	2 4 
1092:	2 
1096:	1 
1097:	1 
1098:	3 
110:	1 2 
1100:	2 
1101:	4 2 
1104:	2 2 
1105:	1 2 1 1 
1106:	2 
1107:	2 
1108:	1 
111:	1 1 
1110:	1 
1113:	1 
1114:	4 4 2 
1115:	1 
1116:	1 1 
1123:	2 3 
1124:	1 
1129:	2 1 1 
1130:	5 
1131:	3 1 
1134:	3 
1136:	3 
1137:	3 
1138:	1 2 
114:	1 
115:	4 
1151:	2 
1154:	2 
1159:	1 
116:	1 
1160:	1 
1161:	1 
1162:	2 
1163:	1 
1164:	4 
1165:	2 
1166:	3 
1167:	1 
1168:	5 4 1 
1170:	4 
1171:	5 
1173:	2 
1174:	2 
1175:	1 
1176:	3 
1177:	2 
1180:	1 
1181:	2 1 1 
1182:	4 
1183:	1 1 
1185:	1 
1187:	1 
1188:	6 
1191:	3 
1192:	1 
1197:	3 
1199:	1 
1200:	2 
1201:	6 
1202:	1 
1205:	3 
1207:	1 1 1 
1208:	1 2 
1209:	2 
121:	2 
1211:	2 1 
1212:	1 
1213:	1 
1214:	1 
1215:	3 
1217:	2 
1218:	2 
1219:	1 
122:	1 
1220:	2 
1221:	1 
1222:	1 
1225:	4 
1228:	2 
1229:	2 2 
123:	1 
1230:	2 
1232:	2 
1233:	1 
1234:	1 1 
1235:	1 1 1 
1236:	1 3 
1237:	1 
1239:	4 
124:	1 
1241:	1 
1243:	1 
1244:	1 3 2 
1245:	2 
1246:	1 
1247:	1 
1248:	2 
125:	1 
1255:	4 1 
1256:	6 
1257:	1 
1259:	4 2 2 2 1 
126:	4 
1262:	2 
1263:	5 
1264:	5 
1265:	4 
1269:	1 4 
127:	1 
1270:	1 
1271:	2 1 
1272:	1 
1273:	1 
1274:	3 
1276:	1 1 1 
1277:	1 1 
1278:	4 
1279:	2 
128:	1 
1281:	1 
1282:	2 
1284:	3 
1286:	2 
