=== non-contiguous nft : chains ===
Found 12261 chain interruption in 8523 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1001:	3 3 
1002:	1 2 
1003:	2 
1004:	1 1 
1005:	2 2 
1006:	1 2 
1007:	1 2 
1008:	1 2 
1009:	2 
1010:	1 1 2 1 1 
1011:	4 
1012:	1 2 
1013:	1 4 
1014:	1 1 2 2 
1015:	1 2 1 1 
1016:	1 1 7 
1017:	1 1 3 
1018:	1 2 
1019:	3 1 1 
1020:	1 2 
1021:	1 3 3 1 4 
1022:	1 4 1 1 1 
1023:	1 1 2 1 
1024:	2 1 1 
1025:	2 1 1 
1026:	1 2 3 3 
1027:	1 2 1 
1028:	2 2 1 2 
1029:	1 3 
1030:	1 3 1 
1031:	1 
1032:	2 3 
1033:	1 1 1 
1034:	1 2 1 4 1 1 
1035:	1 2 2 2 1 
1036:	2 1 
1037:	1 1 2 
1038:	1 2 1 1 2 
1039:	2 3 1 
1040:	1 3 3 6 3 3 
1041:	2 
1042:	1 3 2 1 2 
1043:	1 4 
1044:	1 2 1 
1045:	1 2 2 2 5 
1046:	2 1 2 
1047:	3 2 
1048:	2 
1049:	6 
1050:	2 2 3 
1051:	1 2 
1052:	2 2 6 
1053:	1 7 2 
1054:	1 
1055:	2 
1056:	1 5 
1057:	2 3 
1058:	1 
1059:	4 1 2 
1060:	4 
1061:	1 1 1 
1062:	2 
1063:	1 1 1 2 1 
1064:	1 1 1 1 2 2 1 
1065:	2 2 1 
1066:	1 
1067:	1 2 4 3 
1068:	2 2 1 2 
1069:	1 1 1 2 
1070:	1 2 
1071:	1 2 1 
1072:	1 2 1 1 
1073:	1 2 1 1 1 
1074:	1 6 
1075:	2 2 
1076:	1 1 1 
1077:	1 2 2 
1078:	1 3 
1079:	1 1 
1080:	1 4 
1081:	1 2 
1082:	1 2 3 
1083:	5 
1085:	1 1 
1086:	1 
1087:	4 1 1 
1088:	1 1 1 
1089:	4 
1090:	2 1 
1091:	1 3 4 1 1 2 1 
1092:	1 1 
1093:	1 2 3 3 
1095:	1 1 
1096:	1 2 1 1 
1097:	3 2 2 4 2 
1098:	1 2 1 
1099:	4 
1100:	1 3 2 3 
1101:	2 
1104:	1 2 
1105:	2 
1106:	3 
1107:	1 2 2 1 1 
1108:	5 1 1 
1109:	1 3 1 
1111:	1 2 3 
1112:	1 5 
1113:	1 2 1 
1114:	3 
1115:	1 3 4 
1116:	1 3 1 2 
1117:	1 2 
1118:	1 2 1 
1119:	1 2 2 
1120:	1 
1121:	1 1 
1122:	3 2 
1123:	1 
1124:	1 
1125:	1 1 3 1 
1126:	1 1 
1127:	1 3 
1128:	1 2 
1129:	1 6 
1130:	2 1 1 1 2 1 
1131:	1 
1132:	1 3 
1133:	1 2 1 
1134:	1 3 1 
1135:	4 
1136:	1 2 
1137:	1 2 1 
1138:	1 1 1 
1139:	2 3 
1140:	3 4 
1141:	1 
1142:	1 
1143:	1 
1144:	1 2 3 
1145:	1 3 
1146:	1 3 1 2 
1147:	2 
1148:	1 2 1 1 1 1 
1149:	2 2 1 
1150:	2 5 
1151:	2 5 
1152:	1 1 
1153:	2 
1154:	3 3 1 
1155:	2 1 1 
1156:	2 
1157:	1 1 
1158:	1 2 
1159:	6 
1161:	3 
1162:	3 2 
1163:	2 
1165:	2 1 2 
1166:	1 1 
1167:	2 3 
1168:	1 2 2 1 
1170:	2 12 
1171:	1 
1172:	3 1 
1173:	1 2 2 
1174:	2 2 1 
1175:	2 1 2 2 
1177:	5 1 3 
1178:	1 2 1 
1179:	1 2 1 
1180:	4 
1181:	1 1 1 
1182:	3 3 1 3 4 
1183:	1 1 3 
1184:	2 
1185:	1 2 1 
1186:	1 2 1 1 
1187:	4 3 1 
1188:	1 1 3 
1189:	1 2 3 2 
1190:	2 1 1 
1191:	1 1 1 
1192:	1 8 
1193:	1 1 2 2 
1194:	1 
1195:	2 1 
1196:	2 2 2 
1197:	1 2 3 2 
1198:	1 1 
1199:	1 3 4 
1201:	1 2 2 1 1 1 1 
1202:	2 2 6 2 
1203:	4 5 
1204:	1 4 2 1 3 
1205:	1 2 3 
1206:	1 
1208:	1 
1210:	1 2 1 
1211:	1 1 
1212:	1 2 3 
1213:	3 
1214:	2 
1215:	1 2 1 1 2 
1216:	1 1 1 1 
1217:	3 4 
1218:	2 
1219:	2 1 1 
1220:	1 1 2 3 2 2 
1221:	1 1 
1222:	1 2 
1223:	1 2 
1224:	1 
1225:	1 2 1 1 1 7 
1226:	1 1 
1227:	1 2 4 3 
1228:	1 6 1 
1229:	1 2 4 3 2 1 
1230:	1 2 1 
1231:	1 
1232:	1 2 4 1 
1233:	3 
1234:	1 2 
1235:	2 1 1 
1236:	2 4 
1237:	2 1 2 
1238:	1 2 9 1 2 
1239:	3 
1240:	1 2 
1241:	1 1 
1242:	3 
1243:	1 7 
1244:	1 
1245:	1 
1246:	1 
1247:	1 1 5 4 
1248:	1 1 3 
1249:	1 2 1 4 
1250:	1 2 
1251:	1 1 
1253:	1 1 
1254:	1 1 
1255:	2 1 1 
1256:	1 1 
1257:	2 2 
1258:	2 
1259:	1 1 1 2 2 
1260:	3 
1261:	2 1 1 2 
1262:	1 4 2 1 1 
1263:	1 2 
1264:	12 
1265:	1 5 
1266:	3 7 
1267:	1 
1268:	1 3 1 
1269:	3 
1270:	1 1 1 1 
1271:	2 3 3 2 3 
1272:	1 1 1 
1273:	1 1 2 
1274:	1 2 3 
1275:	1 
1276:	1 3 8 
1277:	1 1 
1278:	3 2 
1279:	5 1 2 2 
1280:	3 1 
1281:	3 1 
1282:	2 
1283:	1 1 1 1 
1284:	1 3 2 
1285:	1 5 
1286:	1 4 
1287:	2 2 
1288:	4 2 1 
1289:	1 
1290:	1 2 
1291:	1 
1292:	2 2 1 
1293:	1 2 1 
1294:	1 2 4 
1295:	1 1 
1296:	1 6 1 1 1 
1297:	1 2 6 
1298:	3 1 
1299:	1 2 1 1 
1300:	1 
1301:	2 
1302:	2 1 1 1 2 
1303:	3 1 1 
1304:	2 1 
1305:	1 1 1 
1306:	1 2 4 1 
1307:	2 3 3 
1308:	1 2 1 1 
1309:	1 3 1 
1310:	3 2 1 
1311:	2 
1312:	1 1 
1314:	3 
1315:	2 1 
1316:	2 4 
1317:	2 
1319:	3 
1320:	2 2 
1321:	1 1 
1322:	1 4 1 
1324:	1 
1325:	6 1 2 
1326:	2 2 4 
1327:	3 8 
1328:	2 2 
1329:	2 
1330:	1 1 1 
1331:	1 2 1 2 
1332:	1 1 
1333:	1 2 2 2 
1334:	1 2 6 
1335:	1 2 
1336:	3 
1337:	1 1 
1338:	1 2 2 1 
1339:	1 1 2 
1340:	2 3 1 
1341:	1 3 
1342:	1 2 1 1 1 6 
1343:	1 2 
1344:	4 
1345:	1 1 1 1 1 1 1 1 
1347:	1 
1348:	4 2 6 
1350:	4 2 
1351:	1 1 1 
1352:	1 1 2 
1353:	2 2 1 
1354:	2 4 2 
1355:	1 1 
1356:	1 1 
1357:	2 2 1 1 1 
1358:	1 1 1 2 
1359:	3 1 
1360:	2 
1361:	2 7 1 
1362:	1 1 
1363:	1 1 4 5 
1364:	2 3 2 
1366:	3 1 2 3 
1368:	1 2 1 
1369:	1 2 
1370:	1 1 2 
1371:	1 1 1 
