=== non-contiguous nft : chains ===
Found 6046 chain interruption in 4993 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 1 
100:	1 
1000:	1 2 1 2 2 
1001:	2 7 
1002:	2 3 
1003:	2 5 
1004:	1 2 
1007:	1 
1008:	1 2 1 
1009:	5 
1011:	1 3 3 
1012:	4 
1013:	1 2 
1014:	1 1 
1015:	3 
1016:	1 
1017:	3 1 
1018:	1 5 
1019:	4 2 
1020:	2 
1021:	1 1 1 
1022:	1 1 1 4 
1023:	1 3 3 
1024:	1 8 2 2 
1025:	2 1 
1026:	4 
1027:	5 1 
1028:	2 
1029:	2 2 4 1 
103:	2 
1030:	1 1 2 2 2 4 3 
1031:	2 
1032:	2 2 
1033:	2 
1034:	1 
1035:	1 2 1 
1036:	1 
1037:	4 
1038:	6 2 4 
1039:	1 2 1 
104:	1 
1040:	3 
1041:	1 2 3 
1042:	1 2 2 
1043:	1 3 
1044:	1 2 2 7 3 
1045:	1 3 3 5 2 1 2 
1048:	1 
1049:	1 
1052:	4 
1053:	3 2 
1054:	6 
1055:	1 2 
1057:	2 4 2 
1058:	4 
1059:	2 2 3 
106:	1 
1060:	1 2 2 1 3 2 
1061:	5 1 
1062:	2 
1063:	1 
1064:	1 2 2 1 
1065:	1 6 
1066:	1 
1067:	2 1 2 
1068:	2 1 4 
1069:	1 1 
107:	1 
1070:	2 3 
1071:	5 
1072:	2 2 
1073:	2 
1075:	1 4 1 
1076:	1 2 1 
1077:	1 1 2 2 2 
1078:	1 
1079:	1 1 
108:	2 
1080:	1 2 1 2 
1081:	1 
1082:	1 1 
1083:	2 
1084:	1 
1086:	1 2 1 
1087:	1 1 
1088:	1 2 1 
1089:	1 1 
109:	2 
1090:	1 1 2 2 2 1 
1092:	1 
1093:	2 1 
1094:	1 1 
1095:	1 
1096:	1 2 2 1 
1097:	1 
1098:	1 
1099:	5 
11:	2 
110:	1 
1100:	1 1 1 1 
1101:	2 1 
1102:	2 3 
1103:	2 1 1 3 
1104:	1 3 2 
1105:	1 1 
1108:	6 
1109:	2 3 
111:	1 
1110:	2 
1114:	3 
1115:	1 
1116:	1 
1117:	1 2 2 3 
1119:	1 
112:	1 
1120:	1 
1121:	1 
1122:	1 1 1 
1123:	3 1 
1124:	2 1 2 
1125:	1 1 1 2 
1126:	2 
1129:	3 3 1 4 
113:	1 
1130:	2 2 
1133:	1 2 
1134:	1 2 
1135:	1 
1136:	1 3 1 1 
1137:	1 3 
1138:	1 3 6 1 
1139:	1 1 2 
114:	3 
1140:	4 
1141:	2 1 3 2 3 1 
1142:	2 
1143:	2 
1145:	1 1 1 
1146:	2 4 
1147:	2 4 
1148:	2 1 1 1 
1149:	1 4 1 
115:	3 
1150:	2 4 1 
1151:	1 3 1 
1152:	1 1 
1153:	1 
1154:	1 2 
1155:	2 1 
1156:	1 2 
1157:	1 1 
1158:	1 2 1 2 2 
1159:	2 10 
116:	1 
1161:	2 
1162:	1 3 1 
1163:	2 1 2 
1164:	1 1 
1167:	1 2 2 
1168:	3 1 
1169:	1 1 
117:	2 
1170:	1 
1171:	1 
1172:	1 2 1 
1173:	1 2 
1174:	5 2 3 
1175:	3 1 
1176:	1 
1177:	1 2 
1178:	3 4 2 
1179:	2 
1180:	2 
1181:	1 
1182:	1 3 3 1 1 
1185:	1 2 3 
1186:	1 2 1 
1187:	1 
1188:	1 1 
1189:	1 
119:	1 
1190:	1 1 
1191:	1 
1192:	1 
1195:	1 3 
1196:	1 
1197:	3 1 
1198:	1 1 1 5 
12:	2 
120:	2 
1200:	2 1 1 
1201:	2 2 2 1 2 1 1 1 
1202:	5 
1203:	1 1 
1204:	1 
1205:	3 4 
1206:	3 
1207:	1 2 
1208:	2 
1209:	1 4 1 
121:	1 
1210:	1 3 1 
1211:	1 2 2 2 2 2 1 
1212:	2 
1213:	5 3 
1214:	1 1 
1216:	1 4 
1217:	3 
1218:	2 1 
1219:	1 4 1 
122:	2 
1220:	1 6 2 2 
1221:	1 1 1 1 
1222:	1 
1223:	1 
1224:	3 
1225:	2 1 
1227:	1 
1228:	6 3 
1229:	3 2 2 2 
123:	1 
1230:	4 
1231:	1 5 
1232:	2 
1233:	2 3 1 4 
1234:	2 1 2 2 
1235:	2 
1237:	4 
1238:	5 
1239:	1 2 1 1 
1240:	2 3 1 1 
1242:	3 
1243:	1 2 1 1 2 
1244:	1 1 
1245:	1 1 2 
1246:	2 1 
1247:	3 1 1 1 
1248:	1 1 1 1 
1249:	1 
125:	2 
1250:	2 
1251:	1 
1252:	4 
1253:	1 
1254:	2 
1255:	4 
1256:	1 1 
1257:	3 2 
1259:	6 
126:	1 
1260:	1 3 
1261:	2 
1262:	4 1 
1263:	1 1 2 7 
1264:	1 1 2 
1265:	1 
1266:	3 
1267:	3 3 
1268:	1 
127:	2 
1270:	1 2 5 
1271:	1 4 
1272:	1 3 
1275:	1 2 1 
1276:	1 2 
1277:	1 3 2 2 2 
1278:	1 1 
1279:	1 1 5 3 
128:	1 
1280:	1 1 4 
1281:	2 1 
1282:	2 2 1 
1283:	1 2 5 1 2 1 2 3 
1284:	1 1 
1285:	1 3 1 
1286:	2 
1287:	1 2 
1288:	1 
1289:	2 2 1 
129:	2 1 
1290:	2 2 
1291:	7 
1292:	2 
1293:	1 3 
1294:	1 2 8 1 
1295:	1 1 
1296:	1 3 1 
1297:	1 1 
1298:	2 2 
1299:	1 2 
13:	1 1 1 1 
1300:	1 
1301:	3 
1302:	4 
1303:	3 3 
1304:	1 1 2 
1305:	2 1 2 
1306:	3 
1307:	2 1 2 6 
1308:	3 2 
1309:	3 3 3 
131:	2 
1310:	1 
1311:	2 
1312:	3 3 1 1 
1313:	8 3 
1314:	1 1 2 
1315:	6 
1316:	1 2 
1317:	2 2 
1318:	1 4 2 
1319:	4 
132:	1 
1320:	2 2 2 
1321:	2 
1323:	1 1 3 
1324:	1 2 1 4 
1326:	3 
1327:	2 
1328:	5 
1329:	2 2 
133:	2 1 
1330:	2 
1331:	1 2 4 
1332:	1 1 2 
1333:	4 2 
1334:	1 2 1 1 3 
1335:	1 
1336:	1 3 
1337:	5 2 2 1 
1338:	4 
1339:	1 
134:	1 1 
1340:	1 2 2 1 1 
1341:	1 
1342:	1 3 
1343:	1 2 4 
1344:	5 
1346:	1 1 1 1 2 1 
1347:	4 1 
1348:	1 1 
1349:	3 3 
135:	6 
1350:	1 1 
1351:	2 5 2 
1352:	2 
1353:	1 
1355:	2 2 1 
1358:	1 1 
1359:	2 
136:	1 2 
1360:	2 2 3 1 3 3 
1361:	4 1 
1362:	1 
1363:	3 2 
1364:	2 
1366:	2 
1367:	2 3 
1368:	1 1 2 
1369:	1 
137:	1 
1370:	2 5 1 
1371:	1 
1372:	1 
1373:	1 3 2 2 
1374:	1 
1375:	6 
1376:	2 
1377:	1 
1378:	1 
1379:	3 
138:	1 
1380:	1 
1382:	3 3 1 
1383:	1 2 
1384:	1 2 
1385:	1 5 2 2 4 
1386:	2 
1387:	2 
1388:	2 
1389:	1 6 
1390:	3 2 2 1 
1391:	1 1 
1392:	2 1 
1393:	1 
1394:	1 2 5 
1395:	1 1 
1398:	1 2 3 1 
1399:	3 1 
14:	2 
140:	1 
1400:	3 
1401:	1 
1402:	2 
1403:	1 1 
1404:	2 
1405:	1 1 1 2 
1406:	1 
1407:	1 
1408:	3 
1409:	1 1 
1412:	4 
1413:	4 2 1 3 2 
1414:	2 2 
1415:	1 
1416:	1 
1417:	3 2 1 
1418:	1 
1419:	2 
142:	1 
1420:	2 2 
1421:	1 
1422:	3 
1423:	1 4 1 
1424:	1 2 
1425:	3 
1426:	2 1 2 
1427:	3 2 1 1 
1428:	2 
1429:	1 
143:	1 2 
1430:	2 
1431:	1 2 
1432:	1 2 
1433:	1 2 2 7 
1434:	1 
1435:	2 2 
1436:	3 1 
1437:	3 2 
1438:	1 2 2 
1439:	5 
144:	2 
1441:	1 4 1 
1442:	1 2 1 
1446:	1 1 
1447:	1 3 1 
1449:	1 1 
145:	2 2 1 
1450:	3 
1451:	1 2 
1452:	1 2 4 
1453:	3 
1456:	2 4 
1457:	6 2 2 
1458:	4 
1459:	1 4 
1460:	2 
1461:	2 
1462:	1 
1463:	1 5 3 
1464:	1 4 
1465:	1 
1466:	1 
1467:	2 4 1 1 1 
1468:	2 1 
1469:	4 2 3 2 
147:	4 
1470:	2 1 
1471:	1 3 2 
1472:	1 3 1 
1473:	1 2 1 3 1 
1474:	1 
1477:	2 1 
1478:	1 1 
1479:	1 1 1 
148:	2 2 
1480:	1 
1481:	3 1 
1482:	2 2 
1483:	3 2 1 
1484:	2 2 2 
1485:	1 3 1 1 
1486:	1 
1489:	2 2 2 
149:	1 5 
1490:	1 6 
1491:	4 
1492:	1 
1493:	1 1 2 1 
1494:	5 
1495:	4 
1496:	2 
1497:	1 4 1 2 
1498:	3 
1499:	4 
15:	2 
150:	1 2 3 
1500:	1 
1501:	1 
1502:	1 
1504:	1 1 2 1 
1505:	2 1 1 6 
1506:	1 4 2 
1507:	1 4 1 
1508:	1 
1509:	1 3 
151:	2 2 
1510:	1 
1511:	1 5 
1512:	2 1 
1513:	3 
1514:	2 3 3 1 
1515:	2 2 
1516:	1 
1517:	1 2 2 
1518:	4 
1519:	1 2 2 
152:	2 
1520:	2 3 
1521:	2 3 
1524:	2 
1525:	1 1 
1526:	1 1 
1527:	3 
1528:	2 
1529:	3 
153:	2 
1530:	1 1 
1531:	1 1 2 
1532:	1 
1533:	1 
1534:	1 1 
1535:	1 2 
1536:	3 
1537:	1 
1538:	2 
1539:	1 
1540:	5 3 
1541:	1 2 
1542:	2 3 2 
1543:	1 5 1 
1544:	1 2 
1545:	1 1 
1546:	1 3 1 2 1 
1547:	4 
1548:	2 
1549:	1 2 1 2 
155:	2 
1550:	1 2 
1551:	1 2 1 
1552:	1 3 1 2 
1554:	3 
1555:	1 
1556:	1 1 1 1 1 1 
1557:	1 3 
1558:	1 2 1 1 
1559:	1 2 4 
156:	8 
1560:	3 
1561:	4 1 
1562:	1 2 1 
1563:	3 
1564:	1 2 1 
1565:	1 1 
1566:	2 
1567:	1 1 1 1 
1568:	1 2 1 1 1 1 
1569:	1 1 3 
157:	1 
1570:	6 2 2 1 
1571:	1 1 
1572:	1 4 1 
1573:	1 2 4 
1574:	2 3 
1575:	1 
1576:	2 1 2 
1577:	3 1 
1578:	2 1 3 
1579:	2 
158:	1 
1580:	3 1 
1581:	1 2 2 2 1 
1582:	2 16 
1583:	1 1 
1584:	1 2 2 3 1 2 
1585:	1 
1586:	2 2 1 
1587:	2 1 
1588:	1 2 
1589:	2 3 4 
159:	2 
1590:	1 1 1 
1591:	4 
1592:	1 1 10 
1593:	1 1 1 
1594:	4 
1595:	1 1 3 
1596:	2 
1597:	1 3 3 
1598:	1 3 
1599:	1 4 
16:	4 
160:	1 
1600:	2 
1601:	1 3 1 
1602:	3 
1603:	7 
1604:	4 2 2 
1605:	2 2 3 
1606:	1 2 1 
1607:	3 2 
1608:	3 2 
161:	1 
1610:	1 2 4 3 2 
1611:	1 3 2 1 
1612:	2 
1613:	1 2 1 
1614:	5 
1615:	1 5 
1616:	2 
1617:	1 
1618:	1 1 1 
1619:	2 1 
162:	3 
1620:	3 
1621:	3 1 1 
1622:	1 1 
1623:	1 1 
1624:	1 2 1 1 
1625:	1 5 
1626:	4 2 1 
1627:	4 
1628:	2 
1629:	5 2 1 
163:	2 
1630:	1 1 2 1 1 
1632:	5 2 1 
1633:	1 
1634:	1 3 
1635:	1 2 2 
1636:	3 
1637:	1 3 2 1 
1638:	1 2 2 3 
1639:	1 2 2 
164:	1 2 
1640:	2 
1641:	1 
1642:	2 4 
1643:	1 2 2 1 
1644:	1 2 
1645:	1 2 1 
1646:	3 
1648:	2 2 
1649:	2 2 1 
165:	1 1 
1650:	1 2 2 
1651:	2 1 
1652:	1 
1653:	3 1 3 3 1 2 
1654:	2 1 
1655:	1 6 
1656:	4 
1657:	1 2 2 
1658:	1 2 2 2 3 
1659:	1 1 
166:	2 
1660:	1 
1661:	1 5 2 1 
1662:	2 
1663:	2 1 1 5 1 
1664:	2 2 3 
1665:	3 1 
1666:	2 1 1 2 
1669:	1 7 
167:	4 
1670:	1 3 2 
1671:	2 1 2 
1672:	1 4 
1673:	5 
1674:	1 2 1 
1675:	1 2 
1676:	1 4 2 2 
1677:	1 3 1 
1678:	3 
1679:	3 1 
168:	1 
1680:	4 
1681:	4 
1682:	3 
1683:	4 
1684:	1 
1685:	3 
1686:	1 2 1 
1687:	2 3 3 
1688:	1 4 
1689:	2 2 
169:	2 
1690:	1 2 
1691:	8 
1692:	1 2 4 
1693:	1 
1694:	3 
1695:	3 
1696:	2 2 2 
1698:	1 
1699:	2 5 2 1 
17:	2 
170:	6 
1700:	3 2 
1701:	1 4 1 
1702:	1 1 3 1 
1703:	1 1 2 
1704:	1 
1705:	5 1 2 
1706:	5 
1707:	2 
1708:	2 
1709:	3 4 
171:	2 
1710:	6 1 1 1 
1711:	3 1 2 
1712:	3 1 
1713:	2 
1714:	1 1 
1715:	3 
1716:	2 1 
1717:	2 
1718:	1 
1719:	3 
172:	2 8 1 
1720:	1 6 
1721:	3 1 
1722:	2 4 
1723:	2 2 2 
1724:	2 2 3 
1726:	2 1 
1727:	2 2 
1728:	1 1 
1729:	1 2 1 
173:	2 4 1 3 
1730:	1 4 
1731:	1 1 
1732:	3 
1733:	1 3 1 1 
1734:	1 4 
1735:	1 4 
1736:	3 1 
1737:	1 
1738:	2 3 
1739:	2 2 1 
174:	2 
1740:	1 1 
1741:	1 2 1 
1742:	1 
1743:	1 3 2 1 
1744:	1 2 7 
1745:	2 3 4 
1747:	2 2 
1748:	1 3 2 
1749:	1 2 3 
1750:	2 4 2 
1751:	1 2 
1752:	2 1 
1754:	3 
1755:	1 
1756:	2 
1757:	1 
1758:	3 1 
1759:	1 1 1 1 2 
176:	2 
1760:	1 2 2 
1761:	3 
1762:	1 1 
1763:	2 2 3 2 
1764:	1 3 1 1 
1765:	2 
1766:	2 2 6 
1767:	1 1 2 
1768:	1 2 
1769:	2 
177:	1 
1770:	2 2 
1771:	2 
1772:	1 4 1 1 
1773:	2 
1774:	5 1 
1775:	4 1 1 
1776:	1 2 1 2 3 
1777:	3 2 
1778:	2 1 
1779:	1 3 1 
1780:	1 3 
1781:	1 2 
1782:	4 1 
1783:	3 1 
1784:	3 2 
1785:	1 2 
1786:	1 3 1 
1787:	5 
1788:	1 3 1 1 
1789:	1 3 
179:	1 
1790:	1 3 1 1 
1791:	1 2 3 2 1 
1792:	1 
1793:	2 
1794:	2 3 
1795:	3 2 
1796:	2 5 
1797:	1 1 1 
18:	1 1 1 
180:	1 
1800:	1 
1801:	1 
1802:	4 
1803:	3 3 
1804:	4 2 
1805:	1 1 3 
1806:	3 3 1 
1807:	7 
1808:	4 1 1 
1809:	2 1 1 
1811:	1 1 1 2 2 1 
1812:	3 
1813:	1 8 
1814:	1 6 
1815:	1 
1816:	1 2 1 1 2 2 
1817:	1 
1818:	3 2 2 2 1 
1819:	1 
182:	1 
1820:	2 
1821:	1 1 
1822:	6 2 2 2 2 
1823:	1 4 4 
1824:	4 2 1 
1825:	3 1 2 
1826:	1 
1827:	1 3 1 3 
1828:	1 2 2 
1829:	1 1 
183:	3 
1830:	2 1 1 
1831:	1 
1833:	1 
1834:	2 2 1 3 
1835:	2 2 1 
1836:	2 4 
1837:	1 1 
1838:	1 1 2 2 1 
1839:	1 3 2 
1840:	3 
1841:	1 1 
1842:	1 4 
1843:	3 1 2 1 
1846:	1 2 3 3 1 
1847:	2 5 
1848:	2 
1849:	1 1 
1850:	2 
1851:	1 
1852:	1 1 1 
1853:	1 2 2 
1854:	1 2 1 2 7 
1855:	1 1 
1856:	3 
1857:	1 2 2 
1858:	1 2 1 1 
1859:	3 
186:	1 
1860:	1 4 1 
1861:	6 
1862:	1 1 
1863:	2 
1864:	5 1 
1865:	2 3 1 1 
1866:	2 2 
1867:	1 2 2 7 
1868:	4 5 
187:	1 
1870:	1 1 
1871:	1 
1872:	5 1 1 
1873:	1 1 
1874:	4 1 
1875:	1 1 
1876:	1 
1877:	2 1 
1879:	1 5 4 
188:	3 
1880:	3 1 4 
1881:	1 
1882:	1 2 
1883:	1 
1884:	3 2 2 3 
1885:	1 2 4 1 
1886:	1 1 
1888:	1 2 
1889:	4 
189:	1 
1890:	1 2 
1891:	2 2 
1892:	1 
1893:	1 2 1 1 
1894:	2 
1895:	1 2 1 
1896:	1 
1897:	1 3 
1898:	4 
1899:	1 3 
19:	2 
190:	2 
1900:	1 2 3 2 1 
1901:	1 1 
1903:	1 1 
1904:	2 1 2 1 5 
1905:	2 4 1 
1906:	1 1 3 1 
1907:	1 
1908:	1 3 4 1 2 
1909:	2 1 2 1 
191:	2 
1910:	1 1 
1911:	1 1 
1912:	3 
1913:	2 1 
1914:	1 2 2 
1915:	1 3 2 
1916:	1 
1917:	2 2 5 2 
1918:	2 1 
1919:	3 1 
192:	1 
1920:	1 
1921:	3 
1922:	2 1 
1923:	1 
1924:	1 3 
1925:	1 2 
1926:	1 1 2 
1927:	1 7 
1929:	1 
193:	1 
1930:	2 1 
1931:	1 2 2 3 1 1 3 
1932:	1 2 1 
1933:	4 
1934:	3 
1935:	1 1 2 
1936:	1 2 
1937:	3 2 1 1 2 
1938:	5 1 
1939:	1 4 2 3 
194:	1 
1940:	2 3 
1941:	1 
1942:	2 1 
1943:	1 2 1 1 
1944:	1 2 
1945:	1 1 
1946:	3 
1947:	1 2 2 1 
1948:	1 2 2 
1949:	1 1 3 2 
195:	2 
1950:	1 1 
1951:	2 1 
1952:	1 4 1 
1953:	1 3 
1956:	1 2 1 
1957:	2 1 
1958:	1 1 1 2 
1959:	1 
1960:	5 2 
1961:	1 
1962:	5 
1963:	3 3 
1964:	1 1 
1967:	1 2 2 
1968:	2 5 1 3 1 
1969:	3 2 
197:	1 
1970:	1 
1971:	1 3 2 1 
1972:	2 2 
1974:	2 2 
1975:	1 1 1 1 1 
1976:	1 
1977:	1 2 1 2 
1978:	2 2 
1979:	1 1 
198:	1 
1980:	4 
1981:	1 2 3 1 
1982:	1 3 
1983:	1 
1984:	1 6 2 1 1 
1985:	1 1 
1986:	2 
1987:	1 3 2 2 1 1 1 
1988:	1 2 2 2 4 3 3 
1989:	3 
199:	2 
1990:	1 2 
1991:	3 
1992:	1 1 
1993:	1 3 2 3 
1994:	3 
1995:	2 
1996:	1 2 3 1 
1997:	2 
1999:	2 3 7 
2:	1 4 
20:	2 
200:	1 2 
2000:	2 
2001:	2 
2002:	1 
2003:	6 
2004:	2 
2005:	6 1 
2006:	2 2 
2007:	2 3 
2008:	1 1 
2009:	2 
201:	3 4 
2010:	5 2 2 2 1 4 
2013:	2 3 
2014:	2 
2015:	1 2 2 
2016:	1 2 
2017:	1 2 
2018:	1 1 
2019:	3 1 
202:	1 5 
2020:	2 2 
2021:	1 2 
2022:	4 2 1 
2023:	1 1 
2024:	2 2 3 2 2 
2025:	1 1 
2026:	1 3 3 
2027:	2 1 1 
2028:	2 3 8 
2029:	4 6 
203:	2 
2030:	2 
2031:	4 
2032:	2 4 
2033:	1 2 
2034:	3 
2035:	2 6 
2039:	3 9 
204:	2 
2040:	1 3 2 1 
2041:	2 1 
2042:	4 2 
2043:	4 1 
2044:	1 2 
2045:	1 2 3 
2046:	3 1 
2047:	1 2 5 2 1 
2049:	1 6 1 
205:	3 
2050:	1 2 1 
2051:	1 
2052:	1 2 
2053:	1 
2054:	1 2 
2055:	1 3 2 1 
2056:	1 2 1 1 
2057:	2 1 
2058:	6 2 
2059:	3 3 
206:	1 
2061:	1 2 
2062:	1 2 4 1 1 
2063:	1 
2064:	1 
2065:	1 3 
2066:	1 2 1 
2067:	2 2 1 
2068:	1 1 
2069:	2 
207:	1 
2070:	1 2 
2071:	4 1 1 1 
2072:	1 4 
2073:	1 3 5 
2074:	2 1 3 3 1 
2077:	2 7 
2078:	1 
2079:	3 2 3 3 2 1 
208:	2 
2080:	1 2 3 
2081:	3 
2082:	3 2 4 
2083:	3 3 
2084:	1 2 2 1 
2085:	4 
2086:	3 2 
2087:	2 1 
2088:	2 
2089:	3 1 
209:	4 
2090:	1 3 4 3 
2091:	2 
2092:	1 6 1 
2093:	2 
2094:	2 
2095:	1 
2096:	1 
2097:	1 1 1 1 3 1 2 
2098:	1 2 
2099:	1 
21:	1 
210:	1 
2100:	3 
2101:	1 
2102:	2 
2103:	1 2 1 
2104:	1 1 
2105:	3 1 
2106:	4 1 
2107:	3 1 
2108:	1 4 
2109:	2 2 2 1 
211:	2 
2110:	4 
2111:	1 2 
2113:	2 
2114:	1 
2115:	1 2 2 2 
2116:	1 3 1 
2117:	3 
2118:	1 2 2 2 1 1 2 
2119:	2 
212:	3 
2120:	3 2 
2123:	1 1 
2124:	1 3 
2125:	2 2 2 
2126:	1 1 
2127:	1 1 
2128:	1 4 2 
2129:	1 2 
213:	1 
2130:	1 2 
2131:	1 1 
2132:	1 4 2 1 3 
2133:	1 
2134:	1 2 2 2 
2135:	1 1 
2136:	1 2 1 
2137:	4 
2138:	2 3 
2139:	2 
214:	1 
2140:	1 
2143:	1 2 7 
2144:	3 2 
2145:	1 1 
2146:	1 
2147:	1 3 1 1 
2148:	1 1 1 2 2 2 2 
2149:	7 
215:	1 
2150:	3 3 1 1 
2151:	2 
2152:	1 2 
2153:	1 1 
2154:	2 1 7 2 
2155:	2 2 5 
2156:	1 4 1 
2157:	1 
2158:	1 3 
2159:	2 3 1 
216:	1 
2160:	1 2 
2161:	1 
2162:	3 1 
2163:	1 
2165:	2 
2166:	1 3 
2168:	6 
2169:	2 1 
217:	1 
2170:	2 
2171:	1 2 
2172:	1 2 5 1 
2173:	2 
2174:	2 3 
2175:	2 
2178:	1 3 
2179:	2 1 
2180:	3 3 
2181:	1 1 2 
2182:	1 2 
2185:	1 4 
2186:	1 2 2 1 1 4 1 2 1 
2187:	3 
2188:	1 2 
2189:	2 1 
219:	4 
2191:	1 
2192:	1 
2193:	4 3 
2194:	1 
2195:	1 
2196:	1 2 
2197:	2 
22:	2 
220:	2 
2200:	2 3 2 1 
2201:	1 1 
2202:	5 3 
2203:	1 
2204:	1 2 
2205:	2 2 
2206:	1 2 1 
2207:	3 
2208:	2 
2209:	3 
221:	1 2 
2210:	1 3 3 1 
2211:	1 
