=== non-contiguous nft : chains ===
Found 1959 chain interruption in 6105 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 2 2 
1:	1 
10:	1 
100:	1 2 1 
1001:	1 
1002:	1 
1004:	3 
1005:	1 1 2 1 
1006:	1 6 
1007:	4 
1009:	4 
101:	2 
1010:	2 
1011:	1 
1012:	2 
1014:	15 
1015:	1 
102:	3 
1021:	2 
1022:	2 
1024:	2 
103:	1 
1031:	3 
1032:	1 
1033:	1 
1034:	1 
1035:	2 
1036:	1 6 
1037:	1 
1038:	1 
1039:	1 
104:	1 
1040:	1 
1041:	1 
1042:	4 
1043:	2 
1044:	1 
1045:	1 
1046:	2 
1047:	1 
1048:	1 
1049:	1 
105:	5 
1050:	3 
1051:	3 1 
1052:	7 
1053:	2 
1054:	3 
1055:	2 
1056:	1 
1057:	1 1 
1058:	2 2 
1059:	1 
106:	6 
1060:	2 
1061:	1 
1062:	2 
1063:	2 
1064:	4 
1065:	1 
1066:	1 
1067:	4 
1068:	3 1 
1069:	1 
107:	1 
1070:	2 
1071:	1 
1072:	2 3 
1073:	3 
1074:	1 
1076:	2 
1077:	2 
1078:	2 
1079:	1 1 3 
108:	1 
1080:	6 
1081:	1 
1082:	1 
1083:	3 2 
1084:	2 2 
1085:	1 3 6 
1086:	4 
1087:	1 
1088:	1 3 
1089:	3 1 2 
109:	1 
1090:	2 
1091:	3 
1092:	3 
1093:	4 
1094:	8 
1095:	6 1 
1096:	2 
1097:	1 
1098:	2 
1099:	1 
11:	1 
110:	1 
1100:	1 
1101:	2 
1102:	1 
1103:	1 
1104:	2 
1105:	2 
1106:	1 1 
1107:	1 
1108:	2 
1109:	1 
111:	4 
1110:	1 
1111:	1 2 
1112:	5 
1113:	1 
1114:	1 
1115:	3 
1116:	1 
1117:	3 
1118:	1 2 
1119:	3 5 
112:	1 1 1 
1120:	1 4 
1121:	1 
1122:	1 2 
1123:	1 
1124:	5 1 
1125:	1 
1126:	1 
1127:	4 
1128:	1 
1129:	1 
1130:	2 2 
1131:	2 
1132:	1 
1133:	7 
1134:	2 1 
1135:	1 
1136:	2 
1137:	1 
1138:	1 1 
1139:	6 
1140:	3 
1141:	2 
1142:	2 2 
1143:	2 4 
1144:	3 
1145:	5 
1146:	2 3 
1147:	1 
1148:	1 
1149:	5 
115:	1 
1150:	2 
1151:	1 
1152:	4 
116:	3 
1160:	5 
1161:	1 
117:	2 
118:	1 
1180:	4 
1181:	3 
1182:	2 
1183:	2 
1184:	1 
1185:	7 
1187:	2 
1188:	3 
1189:	1 
119:	1 
1190:	1 5 3 
1191:	2 1 
1192:	1 2 2 
1194:	5 2 1 8 
1195:	1 3 
1196:	2 2 
1197:	1 
1198:	2 
1199:	9 
12:	1 1 
1200:	3 
1201:	1 
1202:	1 6 
1203:	4 
1204:	2 
1207:	4 
1208:	3 2 
121:	1 1 
1214:	3 
1215:	2 
1216:	3 
1217:	3 
1218:	2 2 
1219:	2 
1220:	3 7 
1221:	1 
1222:	3 
1223:	3 
1224:	1 
1225:	2 
1226:	3 1 2 
1227:	2 
123:	1 
1238:	2 
1239:	4 
1240:	2 
1241:	2 
1242:	1 2 3 
1243:	1 1 1 
1244:	4 16 
1245:	1 1 
1246:	1 2 
1247:	1 2 
1248:	1 2 
1249:	3 
125:	1 
1252:	1 
1253:	2 
1255:	1 
1256:	1 5 
1257:	5 1 
1258:	1 5 
1259:	1 
1260:	1 3 
1261:	1 3 1 
1262:	2 3 
1263:	6 
1264:	1 2 
1265:	1 1 
1266:	2 
1267:	2 
1268:	2 
1269:	6 
127:	3 
1270:	2 3 
1271:	4 
1272:	2 
1273:	5 
1274:	6 
1275:	2 1 
1276:	2 
1277:	4 
1278:	1 1 
1279:	1 1 
1282:	4 
1283:	5 
1284:	2 
1285:	3 
1286:	2 1 
1287:	2 1 
1288:	1 
1289:	1 
129:	1 
1290:	1 
1291:	1 
1292:	3 
1293:	1 1 
1294:	2 
1295:	1 4 
1296:	1 
1297:	2 
1299:	1 
13:	1 
1300:	1 
1301:	2 
1302:	1 1 
1303:	1 
1304:	3 
1305:	3 
1306:	2 
1307:	1 
1308:	1 1 
1309:	1 2 
131:	1 3 
1310:	5 
1311:	1 
1312:	1 
1313:	2 
1314:	1 2 
1316:	1 
1317:	1 
1318:	4 
1319:	1 3 
1320:	5 
1324:	1 
1327:	2 
133:	1 
1331:	1 
1332:	2 7 
1333:	3 
1334:	4 
1335:	1 
134:	2 
