=== non-contiguous nft : chains ===
Found 4404 chain interruption in 15258 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1000:	2 
10000:	2 
10002:	3 
10003:	1 
10005:	3 
10006:	2 
10008:	2 
10009:	2 
1001:	2 
10010:	1 
10011:	2 
10012:	2 
10013:	2 
10015:	1 
10016:	3 
10018:	2 
10019:	3 4 
10020:	6 
10021:	1 1 1 
10023:	1 
10024:	3 
10026:	1 
10027:	3 2 
10028:	1 
10029:	2 
1003:	2 
10030:	1 
10032:	2 
10033:	1 
10034:	2 2 2 1 1 2 
10036:	6 
10037:	1 
1004:	2 1 
10040:	1 
10041:	1 
10042:	2 1 
10045:	2 2 
10046:	3 
10048:	1 
1005:	1 1 
10051:	1 2 
10053:	3 
10054:	1 1 1 
10055:	6 
10056:	2 
10057:	2 
10059:	2 
1006:	1 
10060:	1 
10061:	1 3 
10062:	1 
10063:	1 
10064:	1 1 
10065:	4 
10066:	3 
10067:	2 
10068:	1 1 
10069:	1 1 1 
1007:	4 1 
10070:	4 
10071:	4 
10072:	1 
10075:	1 1 
10076:	2 2 
10077:	2 
10078:	2 2 
10080:	1 
10081:	3 
10082:	1 3 
10083:	1 1 1 
10084:	2 
10087:	4 
10088:	1 
10089:	1 
10090:	1 1 
10091:	2 
10093:	1 
10095:	1 
10096:	3 
10099:	1 
1010:	2 
10100:	2 
10101:	4 
10102:	1 
10103:	3 
10104:	2 
10105:	1 
10106:	5 
10108:	1 2 
10109:	1 
1011:	1 
10110:	1 4 
10111:	1 
10113:	3 
10115:	1 
10117:	2 
10118:	3 
10119:	2 
1012:	2 
10122:	3 
10124:	3 
10125:	3 
10127:	1 1 
10129:	1 1 
1013:	3 
10131:	2 
10132:	2 
10133:	2 1 3 1 3 
10134:	1 
10135:	2 2 1 
10136:	1 
10137:	1 
10138:	1 
10139:	1 2 3 
10141:	1 
10142:	7 
10143:	4 
10144:	3 
10145:	1 2 1 3 
10146:	1 
10147:	4 
10148:	1 
10150:	2 
10153:	2 
10155:	1 
10156:	1 
10158:	3 
10159:	1 
10160:	1 
10161:	2 
10162:	1 
10164:	3 3 
10165:	2 
10166:	3 
10167:	5 1 
10168:	1 
1017:	2 
10170:	1 1 5 
10172:	5 
10175:	3 
10176:	1 
10177:	1 
10178:	1 
10179:	2 2 6 
1018:	1 
10185:	1 
10186:	1 
10188:	4 
10189:	1 1 
1019:	1 
10192:	1 
10193:	3 
10197:	1 
10198:	1 1 2 2 
102:	1 3 
1020:	1 
10202:	8 
10203:	3 
10204:	3 
10206:	4 
10207:	3 
10208:	1 
1021:	3 
10211:	1 
10215:	1 
10216:	2 2 
10218:	2 
10219:	1 
10221:	1 1 
10222:	1 
10224:	4 1 
1023:	1 
10230:	1 1 
10231:	1 
10233:	5 
10235:	1 
10236:	2 
10239:	4 
