=== non-contiguous nft : chains ===
Found 5822 chain interruption in 22474 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 1 
1000:	2 
10000:	2 
10004:	1 
10006:	1 
10011:	2 1 
10018:	1 
1002:	1 
10024:	1 
10032:	1 1 2 
10033:	1 
10035:	1 2 
10037:	1 
10041:	1 
10048:	2 
1005:	1 
10052:	1 
10055:	2 
10056:	1 
10059:	1 
10060:	1 
10068:	1 
1007:	3 1 
10085:	1 
10093:	2 
10095:	1 
10099:	1 
1010:	3 
10104:	3 1 
1011:	1 
10111:	1 2 
10112:	1 1 
10118:	1 2 
10125:	1 1 1 
10145:	1 
10147:	1 
10150:	1 
1016:	1 
10160:	1 
10161:	1 1 
10163:	2 
10175:	1 
10188:	2 
10190:	1 
10192:	2 
10200:	1 
10202:	1 
10204:	1 
10220:	1 
10223:	1 
10224:	5 
10225:	2 
10227:	2 2 
1023:	1 
10233:	3 
10238:	2 
10242:	1 1 1 1 1 1 
10245:	1 
1025:	1 
10250:	1 
10258:	1 
10261:	4 
10262:	1 2 
10263:	1 
10265:	3 1 
10266:	1 
10267:	1 2 
10271:	1 1 
10272:	1 
10274:	1 
10277:	1 
10278:	1 
10280:	1 
10281:	1 
10288:	1 2 
10289:	2 1 1 1 
10292:	1 2 
10293:	1 1 
10294:	1 
10296:	2 
1030:	1 
10300:	3 
10302:	1 
10303:	2 
10304:	2 
10307:	1 
10308:	2 
10309:	2 
10311:	1 
10312:	1 1 
10313:	3 
10315:	1 
10317:	2 
10319:	1 
10326:	2 
10328:	2 3 1 
10330:	1 
10331:	2 
10332:	1 
10336:	1 
10338:	1 
10339:	5 
10341:	1 
10343:	2 2 
10345:	3 2 
10350:	1 
10352:	1 
10354:	2 
10355:	1 2 1 
10358:	1 1 
10362:	1 
10363:	1 
10364:	2 
10365:	3 
10369:	1 
10372:	2 
10373:	1 
10376:	3 
10378:	5 
10379:	1 
10384:	2 
10385:	4 
10388:	5 
10391:	2 
10392:	1 
10393:	2 
10394:	1 
10399:	1 
10400:	2 
10402:	2 1 1 2 1 
10406:	1 
10407:	1 
10408:	1 
10410:	1 
10411:	1 
10413:	1 1 
10414:	1 
10418:	1 
10419:	1 1 
1042:	1 
10421:	1 
10422:	4 
10424:	1 
10425:	1 
10427:	2 2 
10429:	1 
10430:	2 
10432:	1 1 4 
10434:	1 3 1 
10436:	1 1 
1044:	1 
10442:	3 
10443:	1 
10444:	1 
10447:	3 
10448:	1 
10449:	1 
10451:	3 
10455:	6 
10457:	1 4 
10458:	2 1 
1046:	1 
10461:	1 
10463:	2 
10467:	1 
10471:	1 
10472:	2 1 
10473:	2 
1048:	1 
10480:	2 
10482:	1 
10487:	3 
10490:	1 
10491:	1 1 
10496:	2 
10497:	1 
10499:	1 
1050:	3 
10503:	2 
10504:	1 1 
10505:	1 1 
10506:	1 
10511:	1 
10512:	2 
10513:	3 
10514:	2 
10517:	1 2 
1052:	2 
10522:	1 
10523:	2 
10526:	1 
10527:	1 
10537:	2 
10538:	1 
10539:	2 
10541:	1 2 
10545:	1 
10546:	3 
10552:	1 2 
10554:	1 3 
10557:	1 1 
10563:	1 
10565:	1 
10566:	4 2 
10567:	2 
10568:	2 
10574:	1 
10575:	1 
10579:	2 
1058:	1 
10585:	1 2 1 
10586:	1 
10587:	1 
10590:	2 
10592:	1 
10594:	1 
10599:	1 5 
10601:	2 
10602:	1 
10606:	2 
10608:	1 
10612:	1 1 
10614:	2 
10616:	1 
10627:	1 
10628:	1 
10629:	2 
10636:	2 
10637:	3 
10640:	1 
10644:	2 
10649:	2 
10650:	1 
10651:	1 
10653:	2 
10659:	1 
10661:	2 5 
10662:	1 6 
10665:	2 
10669:	1 1 
1067:	1 1 1 
10672:	1 
10677:	1 
10678:	1 
10679:	1 
10680:	2 
10681:	3 
10682:	2 
10683:	1 
10684:	2 
10685:	1 
10687:	2 
10690:	1 
10691:	1 
