=== non-contiguous nft : chains ===
Found 1304 chain interruption in 3589 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	3 
10000:	2 2 
10001:	1 
10004:	3 1 
10006:	2 2 
10012:	1 
10014:	1 
1002:	1 1 
10021:	4 
10024:	1 1 
10026:	1 
10029:	1 
10032:	1 
10035:	1 1 1 4 
1004:	1 
10040:	1 
10041:	1 1 
10042:	1 
10043:	1 
10045:	3 3 
10048:	1 
10049:	1 
1005:	1 1 
10055:	1 
10056:	2 
10057:	2 
10058:	1 
10059:	2 
10060:	2 
10063:	2 
10064:	1 
10065:	2 
10066:	2 
10068:	2 
10070:	4 
10073:	2 
10074:	3 
10077:	1 
10078:	1 
1008:	1 
10081:	1 
10083:	2 
10084:	5 2 
1009:	1 1 
10093:	1 1 
10096:	1 
10097:	2 
10099:	1 
10100:	4 
10103:	1 
10104:	1 4 
10106:	1 
10107:	3 
1011:	3 1 
10110:	1 
10111:	4 
10112:	5 1 
10119:	1 
10129:	1 1 
10130:	1 
10134:	1 
10140:	3 
10143:	1 
10145:	1 
10147:	1 
1015:	1 
10155:	2 
10156:	1 
1016:	3 
10160:	1 2 
10161:	1 
10165:	2 
10169:	1 
10175:	1 1 
10177:	1 
10179:	1 1 
1018:	2 
10186:	1 
10188:	1 1 
1019:	1 
10190:	1 
10191:	2 
10192:	2 
10198:	1 1 
10202:	2 
10205:	2 
10206:	1 
10220:	1 1 
10222:	2 
10223:	1 
10224:	1 
10225:	2 2 1 
10229:	1 
1023:	1 
10232:	1 
10233:	2 
10234:	1 
10235:	2 
10236:	1 
10238:	2 
10243:	2 
10245:	1 1 
1025:	1 2 
10251:	2 
1028:	2 
1030:	1 
1034:	1 
1035:	1 
1041:	1 1 
1042:	1 
1043:	1 
1044:	1 
1046:	1 
1048:	1 
1052:	4 
1067:	1 11 
107:	2 
1073:	3 
1081:	1 
1082:	1 
1084:	1 
1086:	1 
1087:	1 
1091:	1 
1092:	1 
1093:	1 
1094:	1 
1096:	1 1 
1104:	1 
1105:	2 
1108:	3 
1111:	1 1 
1115:	1 1 
1117:	2 1 1 1 
1118:	1 1 
1122:	3 
1123:	2 
1126:	1 1 
1127:	1 1 
113:	1 
1131:	1 
1132:	1 1 3 
1133:	2 1 
1136:	2 1 
1137:	1 1 
1138:	1 
114:	3 1 1 1 
1144:	1 
1146:	1 
1147:	1 1 
1149:	2 1 
1150:	2 
1152:	1 
1155:	1 
1156:	1 1 
1170:	1 
1176:	1 1 
1177:	1 3 
118:	1 
1180:	1 
1181:	1 
1189:	1 
1190:	2 
1191:	2 
1194:	2 
1195:	1 1 
1196:	2 
1198:	2 
120:	2 
1203:	1 
1209:	1 
1210:	1 1 
1211:	1 1 
1213:	1 
1215:	1 
1224:	1 3 1 1 
1225:	1 
1229:	1 1 1 2 
1231:	1 1 
1233:	1 1 
1238:	2 1 
124:	1 
1240:	1 
1242:	1 
1243:	1 
1247:	1 
1248:	1 
1249:	1 1 1 
125:	1 
1250:	2 1 1 
1251:	1 
1259:	1 
1262:	1 
1266:	1 
1267:	1 
127:	1 
1270:	1 
1271:	1 1 1 
1274:	2 1 
1278:	1 
1279:	3 
1282:	1 
1285:	2 
1286:	1 
129:	1 
1290:	1 
1296:	1 
130:	1 
1301:	1 
1302:	2 
1303:	1 
1305:	1 1 
1306:	2 
1307:	1 
1308:	1 2 2 
1318:	1 
1321:	1 1 
1323:	1 
1325:	2 1 
1326:	3 
1327:	1 
1329:	2 1 1 
1343:	1 
1346:	1 
1349:	1 4 
135:	1 
1351:	1 1 
1352:	2 
1354:	1 1 1 1 
1356:	3 
1357:	1 
1360:	1 
1365:	2 1 
1372:	3 1 
1373:	2 
1374:	1 2 1 
1379:	1 
1380:	1 27 
1381:	1 1 
1383:	1 1 
1385:	2 
1386:	1 
1389:	1 
1390:	1 1 
1391:	1 
1394:	1 
1395:	3 
1396:	2 3 
1399:	1 1 
14:	1 
1400:	3 
1404:	1 
1405:	1 
1408:	1 
1409:	1 
1410:	1 
1411:	2 
1413:	2 
1414:	1 2 
1415:	2 
142:	1 
1420:	2 
1423:	1 
1426:	1 
143:	1 
1434:	1 
1436:	2 
1438:	2 
1439:	1 
1440:	2 
1443:	1 2 
1445:	2 
1451:	1 1 
1455:	1 
1456:	1 
1459:	2 1 
1464:	2 
1465:	1 
1469:	2 
147:	1 
1470:	1 
1472:	1 
1474:	1 
1478:	1 
1480:	1 1 
1481:	1 
1484:	2 
1487:	2 
1488:	1 
1489:	1 
149:	2 
1490:	2 2 
1494:	1 1 1 
1496:	1 
1497:	1 
1499:	2 
1501:	1 1 
1502:	2 
1505:	2 1 
1506:	2 1 
1507:	1 1 
1509:	1 1 
151:	6 
1512:	3 1 2 
1514:	1 
1516:	1 
1517:	1 
1518:	1 
1520:	1 
