=== non-contiguous nft : chains ===
Found 5316 chain interruption in 8348 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	2 
10000:	6 5 
1001:	4 
1002:	3 
1003:	2 
1005:	1 
1006:	4 
1007:	3 3 3 
1008:	3 
1009:	1 
1010:	1 
1011:	2 1 
1012:	1 
1013:	1 
1014:	1 
1015:	4 2 2 
1016:	1 
1017:	3 2 
1018:	1 
1019:	4 5 
1021:	4 
1022:	3 5 4 
1023:	2 
1024:	1 
1025:	3 
1026:	1 1 
1027:	2 
1028:	3 
1029:	2 2 6 
1030:	1 
1031:	5 
1032:	2 1 
1033:	2 
1034:	2 
1035:	2 2 2 
1036:	1 1 
1037:	7 1 2 1 3 
1038:	3 
1039:	4 
1040:	1 1 
1041:	6 1 
1042:	4 1 
1043:	3 2 
1044:	1 
1045:	1 
1046:	2 
1048:	8 
1049:	1 3 
105:	3 
1050:	1 
1051:	3 2 2 
1052:	2 
1053:	2 
1054:	1 1 1 
1055:	3 
1056:	5 4 
1058:	5 1 6 
1059:	1 
1060:	2 
1061:	1 2 
1062:	1 
1063:	2 
1064:	3 
1065:	1 
1068:	8 3 
1069:	2 
107:	2 
1070:	1 1 
1071:	3 
1072:	2 
1073:	3 
1074:	5 1 
1075:	2 
1076:	1 
1078:	1 6 
1079:	1 
1080:	2 
1081:	5 5 
1082:	7 7 
1083:	1 2 
1084:	2 
1085:	2 
1086:	5 1 
1087:	1 
1088:	5 4 
1091:	3 
1092:	1 1 
1093:	1 
1094:	4 
1095:	3 1 
1096:	1 
1097:	3 
1098:	4 
1099:	3 
110:	1 
1100:	1 
1101:	2 1 
1102:	1 3 11 2 
1103:	4 
1104:	1 
1105:	1 
1106:	1 
1107:	4 4 
1108:	3 
1109:	1 
1110:	2 
1111:	1 
1112:	4 4 2 
1113:	1 
1114:	1 
1119:	1 6 2 2 
112:	1 
1120:	1 
1121:	2 
1122:	5 1 
1123:	1 
1124:	2 
1125:	2 
1126:	2 2 
1127:	4 
1129:	1 6 2 
1130:	1 
1131:	1 
1132:	4 2 7 2 
1133:	4 
1134:	2 
1136:	1 
1137:	6 
1138:	3 2 2 1 
1142:	1 2 1 
1143:	2 
1144:	1 
1145:	8 2 
1146:	6 2 
1147:	5 2 4 1 1 
1148:	5 3 1 3 
1149:	3 2 
1150:	1 1 5 
1151:	5 
1152:	2 
1153:	1 
1154:	1 
1155:	1 1 
1156:	1 
1157:	1 
1158:	1 
1159:	1 
1160:	7 5 1 3 
1161:	1 
1162:	2 3 2 
1163:	1 1 2 
1164:	1 
1165:	1 
1166:	2 
1167:	1 1 3 
1168:	6 5 5 
1169:	4 
1170:	1 
1171:	6 
1172:	2 
1175:	3 
1176:	1 1 2 4 
1177:	3 1 1 
1178:	2 
1179:	3 
118:	2 4 2 1 
1180:	1 2 
1181:	1 
1182:	1 
1183:	2 
1184:	2 
1185:	6 
1186:	2 
1187:	1 
1188:	3 
1189:	1 1 
1190:	1 
1191:	1 
1192:	1 
1193:	6 2 
1194:	4 2 
1196:	2 2 1 
1197:	1 2 2 3 
1198:	4 
1199:	2 
120:	1 
1200:	1 
1201:	1 
1202:	4 1 
1203:	1 
1204:	1 
1205:	1 
1206:	2 
1207:	1 
1208:	1 
1209:	5 
1210:	4 
1211:	6 1 
1212:	8 1 
1213:	2 
1214:	2 
1215:	2 
1216:	1 2 2 4 3 3 1 
1218:	2 
1219:	2 
1220:	1 
1221:	2 
1222:	1 
1223:	5 
1224:	1 3 
1225:	2 
1227:	3 
1228:	4 2 
1229:	2 
1230:	2 
1231:	2 
1232:	1 
1233:	8 
1234:	4 1 7 2 1 
1235:	1 
1236:	3 
1237:	4 
1238:	1 
1239:	1 
1240:	2 
1241:	2 
1242:	2 
1243:	3 2 
1244:	4 2 
1245:	2 
1246:	4 
1247:	2 1 
1248:	1 1 
1249:	3 
1250:	2 
1251:	4 
1252:	3 4 7 3 2 
1253:	3 
1254:	1 
1255:	1 
1256:	2 
1257:	2 
1258:	1 
1259:	2 
1260:	3 
1261:	2 1 
1262:	2 2 
1263:	1 
1264:	1 2 
1266:	2 
1267:	3 
1268:	1 
1269:	1 1 3 
1270:	4 
1271:	2 1 
1273:	3 
1274:	1 
1275:	1 1 2 
1276:	2 1 
1278:	1 
1279:	14 
128:	6 
1280:	2 
1282:	2 1 1 1 
1283:	3 
1284:	3 
1285:	3 1 2 
1286:	1 4 1 1 
1288:	1 
1289:	1 3 2 
129:	2 
1290:	3 
1291:	3 
1293:	10 3 
1294:	1 1 
1295:	1 
1296:	4 
1298:	14 2 2 
1299:	2 1 
130:	2 6 1 
1300:	1 
1301:	2 1 1 
1302:	2 
1303:	2 
1304:	1 
1305:	2 4 
1306:	3 
1308:	2 1 
1309:	2 3 1 2 
1311:	3 1 
1312:	1 4 2 4 
1313:	1 
1314:	12 3 2 
1315:	2 
1317:	7 3 4 
1318:	3 
1319:	3 2 3 1 
132:	1 
1320:	3 
1321:	2 
1322:	1 1 
1323:	3 1 1 
1324:	3 1 3 5 6 
1326:	4 
1327:	3 
1329:	3 2 2 
133:	1 4 
1330:	1 
1331:	3 
1332:	1 4 
1333:	2 1 2 
1334:	4 
1335:	1 
1336:	2 
1337:	1 
1338:	2 
1339:	4 
134:	1 
1340:	1 
1341:	2 
1342:	2 
1343:	1 
1344:	6 2 
1345:	2 
1346:	3 6 
1347:	1 
1348:	1 
1349:	3 
1351:	1 
1352:	2 2 
1353:	4 3 
1354:	1 1 
1355:	3 
1356:	1 
1357:	2 
1359:	2 
1361:	2 2 
1362:	5 
1363:	1 1 
1364:	2 1 
1365:	3 1 
1366:	3 
1367:	3 
1368:	5 3 1 
1369:	1 1 2 3 3 
137:	2 1 
1370:	3 
1371:	4 
1373:	1 
1374:	5 
1375:	3 
1376:	1 1 
1377:	5 
1378:	1 
1379:	2 
1380:	4 
1382:	4 
1383:	2 
1384:	4 
1385:	1 
1386:	2 
1387:	3 1 3 1 1 
1389:	5 
1390:	7 3 
1391:	1 
1393:	2 
1394:	1 3 1 
1395:	2 1 
1396:	7 3 
1398:	2 3 
1399:	1 
140:	3 3 
1400:	1 
1401:	2 
1402:	2 
1403:	3 1 
1404:	1 2 1 2 
1406:	4 2 
1407:	1 
1408:	2 2 
1409:	2 
141:	1 
1410:	3 
1411:	2 
1412:	4 
1413:	1 
1414:	4 
1415:	1 1 
1416:	2 6 6 
1417:	1 
1418:	1 
1419:	3 3 3 3 
142:	1 
1420:	5 1 
1421:	1 
1422:	2 
1423:	5 2 
1424:	1 
1425:	2 5 
1426:	1 5 3 2 
1427:	1 
1429:	2 
1430:	2 2 1 1 
1431:	3 
1432:	1 
1433:	3 
1434:	2 
1437:	1 
1438:	1 
1439:	3 
1440:	1 
1441:	2 2 
1444:	2 
1445:	4 
1446:	6 1 3 
145:	2 
1450:	2 1 
1451:	3 
1452:	3 3 2 
1453:	3 4 
1454:	1 
1455:	2 
1456:	3 
1457:	5 
1459:	3 
146:	5 1 1 
1460:	3 
1461:	5 4 2 
1462:	2 1 
1463:	1 
1464:	2 
1465:	1 3 
1466:	5 
1467:	6 
1468:	1 
1469:	1 2 1 5 
147:	1 
1470:	1 2 
1471:	2 
1472:	5 1 
1473:	4 
1474:	3 
1475:	1 
1476:	4 
1477:	1 6 
1479:	3 6 1 
1480:	2 
1481:	3 7 2 
1482:	1 2 
1483:	1 
1484:	3 3 
1485:	3 2 
1486:	2 
1487:	5 
