=== non-contiguous nft : chains ===
Found 3736 chain interruption in 13187 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
100:	4 1 1 2 
10000:	1 
10009:	2 3 
1001:	1 
10017:	2 
1002:	2 2 
10021:	2 1 
10023:	1 
10024:	2 
10025:	1 
10026:	1 
10032:	2 
10033:	3 2 
10034:	1 
10035:	1 
10036:	2 
10040:	1 
10044:	2 
10048:	1 1 3 
10049:	4 
10053:	1 
10056:	2 
1006:	2 
10065:	2 
10068:	1 
10069:	5 
10070:	1 
10071:	1 3 
10075:	3 
10083:	1 3 1 
1009:	1 
10095:	1 
10097:	1 
1010:	1 
10102:	2 
10103:	3 
10105:	3 
10108:	1 
10110:	1 
10111:	1 1 
10112:	2 
10113:	1 
10114:	1 
10115:	1 
10116:	1 
10117:	3 
10118:	1 
10119:	1 
10120:	1 
10121:	2 
10122:	3 
10123:	3 
10125:	1 1 
10126:	2 
10127:	2 
1013:	1 
10130:	1 
10131:	2 
10132:	2 1 
10134:	1 
10135:	1 
10136:	1 1 1 6 
10137:	2 
10141:	3 1 
10142:	2 
10145:	3 
10146:	1 
10147:	1 
10148:	3 
10149:	1 
10150:	1 
10157:	1 
10158:	2 
10159:	1 
1016:	1 
10160:	1 1 
10161:	2 4 
10162:	3 
10163:	2 
10164:	1 2 1 
10165:	1 
10167:	1 
10168:	1 
10169:	3 
10170:	2 
10171:	3 1 
10172:	1 
10174:	1 
10178:	1 
10179:	1 
1018:	3 
10185:	8 
1019:	2 1 
10193:	2 
10194:	1 
10195:	2 
10196:	1 1 
10200:	1 
10204:	1 
10205:	1 
10206:	1 
10208:	3 
1021:	1 
10210:	1 
10211:	3 
10213:	2 
10214:	1 
10215:	1 
10221:	2 
10223:	1 
10224:	1 
10225:	3 
10226:	1 
10227:	3 1 
10228:	2 
10229:	1 
10230:	2 
10231:	2 
10232:	2 3 
10233:	1 4 
10234:	1 1 
10235:	2 1 
10236:	1 
10237:	2 
10239:	1 
10242:	4 1 
10243:	2 
10244:	3 
10245:	1 
10246:	2 
10247:	1 
10248:	3 
10249:	5 
10250:	2 
10251:	2 
10252:	5 
10253:	1 
10254:	2 
10255:	2 
10256:	3 
10257:	1 
10258:	1 
10259:	1 
1026:	6 2 
10260:	1 
10262:	1 
10265:	2 
10266:	1 
10267:	1 
10268:	2 
10269:	1 
10270:	1 
10271:	1 
10272:	1 
10273:	1 
10274:	1 
10275:	2 
10276:	2 
10277:	2 
10278:	1 3 2 
10279:	1 
10280:	3 1 1 1 
10281:	3 
10287:	1 
10288:	1 2 
10290:	1 3 
10292:	2 
10293:	2 
10295:	1 
10296:	3 2 
10297:	3 
10298:	2 
10299:	2 
1030:	3 
10300:	2 
10315:	1 
10316:	2 
10317:	1 1 
10318:	4 
10319:	1 
10320:	1 
10321:	2 1 
10322:	1 
