=== non-contiguous nft : chains ===
Found 4863 chain interruption in 9244 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 1 
10:	5 
100:	2 1 
1001:	3 
1002:	6 1 
1003:	4 
1004:	1 
1005:	2 
1006:	1 1 21 
1007:	2 
1009:	6 12 
101:	1 
1010:	1 
1011:	1 
1012:	1 
1013:	3 1 
1014:	2 
1015:	4 
1016:	1 
1017:	1 
1018:	1 
1019:	1 
102:	2 
1020:	2 1 
1021:	1 
1022:	2 
1023:	2 
1024:	8 
1025:	1 
1026:	2 
1029:	1 
1030:	2 
1031:	1 
1032:	1 
1033:	4 3 
1034:	1 1 
1035:	2 2 
1036:	1 3 1 1 
1037:	1 
1038:	1 
1039:	2 
104:	2 4 
1041:	3 
1042:	1 1 
1044:	5 
1045:	3 2 
1047:	1 
1048:	1 
1049:	4 
105:	1 
1050:	1 2 
1051:	1 
1052:	4 
1053:	3 
1054:	5 
1055:	1 
1056:	4 
1057:	1 
1058:	5 
1059:	1 
106:	1 
1060:	1 
1061:	1 
1062:	1 
1064:	3 
1065:	1 
1066:	1 
1067:	3 
1068:	2 
1069:	4 1 
1070:	4 
1071:	2 
1072:	4 2 2 
1073:	1 2 1 4 
1074:	2 
1075:	2 2 
1076:	3 
1077:	1 1 
1079:	4 3 2 
108:	1 
1080:	4 
1081:	2 
1083:	1 2 4 2 4 9 
1084:	3 
1085:	2 1 
1087:	1 
1088:	2 
1089:	4 
109:	2 
1090:	5 1 
1091:	1 
1092:	3 
1093:	1 
1095:	2 
1096:	1 
1097:	2 
1098:	1 
1099:	5 1 
110:	1 
1100:	4 1 2 
1101:	2 
1102:	2 
1103:	1 2 
1104:	2 
1105:	3 1 1 
1106:	1 
1107:	2 
1108:	3 1 
1109:	3 
1110:	3 
1111:	2 
1112:	2 
1113:	3 
1114:	2 
1115:	1 2 1 
1116:	3 
1117:	1 
1118:	1 
1119:	2 1 
112:	2 
1120:	2 
1121:	4 
1122:	1 
1123:	2 
1124:	4 1 
1125:	1 
1126:	1 
1127:	2 1 
1128:	1 
1129:	1 3 4 
113:	2 
1130:	1 
1131:	2 1 
1132:	7 1 
1133:	4 
1134:	2 
1135:	1 1 
1136:	1 2 
1137:	1 
1138:	7 
1139:	3 
114:	4 
1140:	1 1 2 
1141:	1 
1142:	6 1 2 1 1 2 1 2 
1143:	1 
1144:	2 
1145:	6 2 
1146:	3 
1147:	2 
1148:	1 4 1 1 
1149:	2 1 
115:	1 
1150:	2 3 2 
1151:	1 
1152:	8 
1153:	2 
1154:	7 
1155:	1 
1156:	2 1 
1157:	1 
1158:	2 
1159:	2 
1160:	2 
1161:	2 
1162:	3 1 1 
1163:	1 
1164:	1 
1165:	1 2 
1166:	3 
1167:	2 1 
1168:	4 
1169:	1 3 5 
117:	4 
1170:	2 
1171:	2 
1172:	2 
1173:	1 
1174:	3 1 
1175:	1 3 
1176:	7 
1177:	2 1 
1178:	1 
1199:	1 1 
120:	4 1 
1200:	3 1 
1201:	1 
1202:	1 
1203:	2 
1204:	3 
1205:	2 
1206:	5 
1207:	4 
1208:	2 
1209:	2 1 
121:	1 2 1 1 
1210:	2 1 
1211:	1 1 1 
1212:	1 
1213:	1 5 
1214:	3 1 1 
1216:	2 
1217:	1 
1218:	2 
1219:	1 
122:	1 1 
1220:	2 
1221:	5 1 
1222:	2 
1223:	1 
1224:	4 
1225:	1 
1226:	3 
1227:	3 
1228:	1 
1230:	1 
1231:	5 
1232:	1 2 4 
1233:	3 
1234:	2 
1235:	3 
1236:	1 5 
1238:	4 1 1 1 5 
1239:	2 
124:	1 2 1 1 
1241:	5 
1243:	2 
1248:	4 
1249:	2 1 
125:	1 5 5 
1252:	4 
1253:	4 
1254:	1 
1255:	2 
1256:	1 
1257:	4 
1258:	1 
1259:	3 
126:	3 
1260:	1 1 1 
1261:	9 
1262:	1 
1263:	5 
1264:	1 
1265:	2 
1266:	6 
1267:	2 
1269:	5 
127:	3 
1270:	1 
1271:	2 4 
1272:	2 1 
1273:	3 
1274:	2 
1275:	2 2 
1276:	3 
1277:	2 
1278:	2 2 
1279:	6 
128:	1 4 
1280:	4 2 
1281:	1 
1283:	1 
1284:	1 
1285:	2 
1286:	3 
1287:	1 2 1 
1288:	3 
129:	3 
1290:	1 1 
1292:	3 
1297:	1 2 
1299:	1 
130:	1 
1300:	1 1 
1303:	16 1 
1304:	1 3 
1305:	3 
1306:	1 
1309:	2 1 
131:	1 1 1 2 
1311:	4 
1312:	1 2 
1313:	2 
1314:	2 1 2 
1315:	3 1 
1316:	2 1 
1317:	1 
