=== non-contiguous nft : chains ===
Found 896 chain interruption in 1020 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1012:	2 5 
1043:	8 
1048:	30 4 1 5 2 1 2 1 5 
1110:	2 
1181:	1 
1322:	7 2 2 8 2 8 1 1 
1331:	2 
1336:	1 3 
1342:	17 
1351:	2 
1360:	1 1 1 
1372:	1 9 13 5 2 1 2 2 3 1 1 1 1 3 1 1 1 
138:	1 
1384:	3 
1405:	3 6 
1414:	1 
1417:	1 1 
1426:	19 3 3 1 4 
1440:	1 
1461:	1 
1473:	4 9 2 2 4 
1482:	10 4 15 1 
1500:	1 2 
1537:	1 
1540:	2 
1544:	1 
1585:	1 
1589:	1 
1595:	6 1 5 1 2 6 6 2 1 1 1 3 4 5 1 1 2 1 
161:	1 
1621:	2 
1640:	1 
1667:	1 1 
1676:	1 
1678:	4 6 5 4 3 2 2 1 2 1 1 1 1 2 2 
1690:	1 
1693:	1 
1697:	1 
1703:	1 
1704:	1 
1707:	29 6 20 3 6 3 1 4 2 1 1 2 
1715:	2 2 
1716:	1 
1733:	3 2 13 3 10 1 
1743:	1 
1747:	24 5 
1754:	16 20 18 2 1 
1767:	1 
1769:	1 
1770:	1 
1773:	1 
1778:	1 
1791:	1 1 
1796:	1 
1798:	1 
1814:	3 
1833:	1 
1840:	2 
1845:	2 
1848:	1 1 1 1 
1849:	3 10 2 4 1 2 1 
1852:	1 
1856:	1 4 
1860:	1 
1870:	16 1 
1873:	3 6 5 
1904:	1 
1908:	1 
1917:	5 
1930:	10 24 3 8 3 4 2 
1932:	1 
1934:	1 
1940:	3 
2031:	1 
2036:	1 
2037:	11 14 13 11 12 7 1 1 1 
2040:	1 19 1 
2063:	1 
2076:	2 
2088:	1 
2100:	17 7 
2106:	2 
2111:	1 
2118:	17 1 
2119:	1 3 6 5 14 
2125:	6 
2129:	1 
2135:	3 
2145:	1 1 
2153:	4 16 3 
2158:	1 1 
2170:	1 
2172:	2 
2173:	3 
2211:	1 
2217:	1 
2223:	1 
2228:	3 
2233:	27 20 1 5 1 
2235:	2 
2238:	1 
2242:	1 
2261:	4 
2282:	1 1 
2291:	2 
2296:	1 
2303:	2 
2306:	2 
2308:	1 
2317:	2 2 
2318:	1 4 6 
2327:	1 
2372:	1 2 11 
2377:	3 
2388:	1 
239:	2 
2390:	1 
2404:	2 
2409:	1 1 1 1 1 2 7 2 
2411:	4 11 1 
2424:	1 
2431:	9 
2451:	3 
2471:	2 
2481:	2 
2483:	2 
2487:	3 3 
2501:	1 
2507:	24 5 1 6 2 1 1 1 
2511:	1 
2513:	1 
2522:	3 
2556:	2 
2557:	3 
2575:	3 
2577:	1 
2584:	2 
2586:	1 
2594:	1 
2597:	3 
2599:	3 
2629:	1 
2634:	1 
2635:	4 
2647:	11 2 1 1 3 
2660:	3 
2661:	2 
2666:	2 1 
2677:	3 
2695:	2 
2722:	2 
2728:	1 
2732:	1 
2733:	1 
2734:	24 2 
2738:	1 
2739:	2 
2744:	2 
2752:	4 
2758:	2 
2762:	4 
2770:	3 
2771:	2 
2779:	1 1 3 
2816:	6 
2817:	2 
2819:	1 
2825:	1 
2834:	5 
2837:	13 3 3 1 5 2 1 1 12 1 2 1 1 1 1 
2860:	1 
2862:	1 
2870:	2 
2873:	1 
2875:	1 
2881:	4 
2883:	1 
2888:	1 
2892:	1 
2898:	2 
2905:	1 2 1 2 1 1 1 1 1 1 1 1 1 
2907:	3 
2914:	1 
2920:	1 1 1 
2927:	1 
2937:	2 
2939:	3 1 
2942:	1 
2944:	3 
2947:	2 
2948:	1 
2955:	2 4 2 3 1 
2956:	1 
2970:	3 1 
2971:	2 
2976:	2 
2979:	2 
2986:	4 
2996:	6 2 8 3 
2998:	5 
2999:	3 1 
3004:	1 8 
3033:	2 
3042:	1 
3047:	1 
3050:	2 
3060:	1 
3067:	2 
3080:	2 
3081:	3 3 
3086:	2 
3106:	3 
3114:	6 
3120:	2 
3121:	4 
3125:	1 
3143:	2 10 2 1 7 5 
3144:	2 
3152:	1 
3161:	4 
3166:	4 
3168:	11 
3169:	2 2 
3172:	2 
3175:	1 
3178:	1 
3179:	1 
318:	1 1 
3190:	4 3 6 4 2 6 
3193:	5 6 
3199:	3 
3215:	1 
3223:	2 
3227:	1 
3234:	1 
3238:	1 
3261:	5 
3269:	1 
3306:	5 
3320:	1 
3327:	1 
3336:	2 
3339:	2 
3341:	2 
3346:	3 
3350:	1 
3357:	2 
3369:	1 2 
3385:	1 
3399:	1 
3421:	1 
3433:	1 1 7 
3446:	3 
3473:	4 
3474:	1 
3482:	3 
349:	1 4 3 3 2 2 1 2 4 
3491:	2 
3497:	2 
3502:	1 
3509:	1 2 
3514:	2 
353:	2 
3533:	4 1 
3534:	14 
3539:	3 
3549:	2 
3553:	4 
3561:	2 
3565:	3 
3576:	6 
3577:	2 
3580:	2 
3583:	2 
3588:	3 
3593:	1 
3616:	2 
3624:	6 
3634:	1 
3637:	2 1 1 2 2 2 2 1 3 2 
3649:	2 
3652:	2 
3654:	4 
3663:	21 
3669:	3 
3670:	2 
3676:	3 
3680:	1 
3683:	1 
3695:	1 
3705:	1 
3716:	2 7 
3732:	1 
3736:	2 
376:	1 1 3 2 1 
3766:	1 
3768:	2 
3769:	1 
3771:	3 
3776:	5 
3780:	1 
3782:	6 
3784:	1 
3798:	1 
3807:	12 3 1 3 1 1 1 1 1 
3815:	1 
3818:	1 
3826:	1 
3831:	1 
3839:	1 
3851:	1 
3853:	1 
3855:	7 
3856:	1 1 
3857:	1 
3878:	3 
3880:	2 
3892:	4 
3914:	1 
3915:	12 
3924:	2 
3927:	1 
3929:	3 
3933:	1 
3941:	3 
3959:	1 3 
3960:	16 3 2 9 
3965:	2 
3968:	11 
3974:	44 13 8 6 
3996:	1 1 
4002:	1 
4006:	1 
4011:	1 
402:	1 22 
4021:	1 
4023:	4 
4046:	3 28 4 15 
4050:	1 
4053:	1 
4068:	1 
4093:	1 
4102:	1 
4105:	3 2 
4108:	2 
4110:	2 
4111:	6 
4117:	5 
4118:	1 1 13 
4123:	3 
4140:	1 
4145:	2 
4157:	3 
4161:	1 
4162:	2 
4174:	3 2 19 2 
4175:	2 
4180:	12 
4191:	1 
4195:	1 
4201:	2 
4202:	2 
4208:	2 
4216:	2 
4222:	1 
4223:	1 
4241:	4 
4253:	3 
426:	2 
4261:	1 
4293:	1 
4300:	2 
4309:	17 7 
431:	3 
4326:	4 
4329:	10 3 2 2 1 2 2 1 1 1 1 2 1 4 
4334:	1 
435:	2 
4399:	1 
4406:	3 
4419:	2 
4420:	1 
4432:	12 26 1 14 
4433:	4 
4434:	14 4 1 
4448:	1 6 
4449:	11 4 9 
4453:	14 15 
4475:	1 
449:	1 
4493:	2 
4496:	1 
4497:	2 
4505:	3 
4511:	2 
4513:	1 
4516:	1 1 1 
4519:	1 
4528:	1 
4534:	1 
4538:	5 
4548:	14 
4560:	35 2 8 
4573:	4 22 8 5 1 2 
4576:	2 
4591:	1 
4624:	3 
4631:	2 
4632:	4 
4640:	1 1 
4658:	1 1 
4660:	1 
4663:	1 
4666:	1 1 1 4 
4669:	2 
4691:	1 
4699:	1 
471:	1 1 1 1 1 2 1 1 1 
4714:	1 
4733:	1 5 
4741:	2 2 1 1 1 1 
4742:	5 9 23 6 
4744:	1 
4761:	1 9 4 2 3 7 5 1 3 
4767:	2 
4770:	4 
4787:	22 1 4 1 
4797:	3 
4798:	11 8 
4808:	4 4 
4824:	1 1 
4833:	2 
4841:	2 7 27 2 1 
4854:	1 
4861:	3 3 
4867:	3 
4875:	6 
4878:	3 
4898:	2 
4902:	4 
4906:	1 
4911:	14 42 
4912:	1 1 1 
4930:	2 3 1 9 6 2 25 4 2 1 
4932:	2 
4933:	3 
4939:	1 
4947:	1 
4951:	4 2 1 13 4 
4960:	6 
4995:	2 
5018:	3 
5020:	4 
5025:	5 2 
5026:	5 
5028:	1 1 1 27 6 
5041:	3 2 
506:	1 
5064:	1 1 2 
5066:	1 
5077:	2 
5078:	2 
5089:	3 
509:	1 
5090:	1 
5098:	2 
5122:	2 
5128:	2 
5131:	4 
5152:	12 19 
5155:	4 
5159:	1 
5164:	2 
5165:	16 17 
5174:	1 
5176:	1 
5188:	1 
5189:	1 
5194:	1 
5196:	8 3 5 21 2 1 
5198:	2 
5209:	1 
5213:	1 
5220:	2 2 
5222:	22 23 4 4 2 2 3 3 4 3 3 1 1 1 3 1 1 1 1 1 
5227:	2 
5228:	2 
5241:	1 
5258:	4 9 1 4 2 1 1 6 2 
5273:	1 
5275:	1 1 
5279:	2 
5285:	1 2 
5286:	3 
5287:	4 2 1 
5302:	6 
5311:	3 2 2 2 1 3 1 1 
5314:	1 
5322:	4 
5333:	3 1 14 1 10 1 
5338:	1 
5354:	1 3 
5364:	1 
5366:	7 
5398:	15 2 4 2 3 2 
5402:	2 
5416:	4 
5428:	2 
5433:	1 19 1 1 
5437:	4 
5455:	4 5 
5461:	31 5 17 6 6 3 11 1 6 1 6 2 3 1 1 1 1 1 1 4 2 1 
5462:	1 2 
5465:	6 
5467:	1 2 
547:	16 2 
548:	1 
5480:	1 
5482:	5 
5542:	2 7 
5552:	1 
5559:	7 
5564:	1 
5575:	5 
5579:	2 
5581:	1 
5584:	1 2 
5590:	1 8 1 2 6 2 
5603:	1 
5611:	1 2 25 3 
5614:	2 1 
5619:	1 
5632:	1 
5635:	5 
5664:	1 
5672:	1 3 
5674:	1 
5682:	25 1 5 3 2 2 2 9 1 1 1 2 
5683:	3 
5686:	2 
5687:	2 
5702:	2 
5705:	5 5 
5722:	4 
5752:	3 2 
5754:	1 
5755:	2 
5762:	1 
578:	1 
5792:	1 
5803:	2 
5809:	1 
5811:	1 
5812:	2 27 19 3 1 2 4 1 1 
5821:	1 
5831:	4 9 
5837:	1 
5840:	2 
5870:	2 
5878:	1 
5881:	2 
5895:	2 
5904:	1 
5911:	1 
5919:	11 28 11 1 1 
5931:	1 
5947:	2 
5952:	5 1 1 1 
5961:	2 
5962:	4 
5965:	4 
