=== non-contiguous nft : chains ===
Found 899 chain interruption in 3835 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1001:	1 2 
1002:	1 
1003:	5 
1005:	1 
1006:	2 
1008:	1 3 
1010:	1 
1011:	1 
1012:	2 1 
1013:	1 
1014:	1 
1015:	1 
1016:	1 
1017:	1 
1019:	1 
1020:	1 
1021:	2 1 
1023:	2 
1025:	1 
1026:	1 
1027:	2 3 
1028:	1 
1030:	5 
1031:	3 
1032:	1 1 
1034:	1 2 
1035:	1 
1038:	2 
1039:	2 
1040:	1 1 1 1 
1041:	2 
1042:	1 
1045:	1 
1046:	1 2 1 
1048:	3 
1050:	1 
1051:	1 
1056:	1 
1057:	2 1 2 
1058:	1 
1059:	1 
1060:	1 
1061:	1 
1063:	2 
1064:	1 
1065:	1 
1066:	2 1 
1067:	1 
1068:	2 
1069:	2 
1070:	1 
1072:	1 
1073:	5 
1074:	2 1 
1075:	1 
1077:	1 
1078:	1 1 1 
1079:	1 
1080:	2 
1081:	3 2 
1082:	1 1 
1083:	1 
1084:	2 
1085:	2 
1086:	1 
1087:	1 
1088:	2 
1089:	3 
1092:	2 
1095:	2 1 1 
1097:	1 
1098:	1 
1099:	4 
1100:	1 
1101:	1 2 
1102:	3 
1103:	1 1 
1104:	1 1 1 
1105:	1 
1106:	2 
1107:	2 1 
1108:	2 
1109:	1 
1110:	2 
1111:	1 
1113:	1 
1114:	1 
1115:	1 
1116:	1 
1117:	2 
1118:	1 
1119:	1 
1120:	2 
1121:	2 
1122:	2 1 1 2 1 1 2 1 
1123:	3 
1124:	2 
1125:	2 
1126:	1 
1128:	1 
1129:	1 
1130:	1 
1131:	1 
1132:	1 
1136:	3 
1137:	3 
1140:	1 
1141:	2 
1143:	1 
1144:	1 
1145:	1 1 
1146:	5 
1147:	2 
1148:	2 
1149:	1 1 1 
1152:	1 
1153:	1 1 
1154:	2 
1155:	1 
1156:	1 
1158:	1 
1160:	1 
1162:	1 
1164:	2 
1165:	1 1 
1166:	1 
1167:	3 
1169:	1 
1171:	2 2 1 
1172:	3 
1173:	1 
1174:	2 
1175:	1 
1178:	1 
1179:	3 
1182:	1 2 
1183:	1 1 
1184:	1 
1185:	1 1 2 3 
1187:	2 2 
1188:	1 
1189:	1 2 
1190:	1 
1191:	2 
1193:	1 2 
1194:	2 
1197:	1 1 
1198:	1 
1199:	1 
1200:	1 
1201:	1 
1203:	1 1 1 1 
1205:	1 
1207:	1 
1211:	1 1 
1212:	2 
1214:	1 
1216:	1 
1217:	1 1 
1222:	1 
1224:	1 
1226:	3 
1228:	1 2 
1229:	1 
1232:	1 
1234:	2 2 
1236:	1 
1237:	2 3 
1239:	2 
1240:	1 
1242:	1 
1244:	1 1 
1247:	2 1 
1248:	2 
1249:	1 
1250:	1 
1251:	1 
1252:	1 
1256:	2 
1258:	1 
1262:	1 
1263:	1 
1265:	1 
1266:	2 1 
1267:	1 
1269:	1 
1270:	2 
1271:	1 2 1 
1273:	1 
1274:	1 
1276:	1 1 
1277:	1 
1279:	1 
1280:	2 
1281:	4 
1284:	1 2 
1285:	1 1 
1286:	1 
1287:	2 
1289:	1 
1290:	2 
1291:	2 
1295:	1 
1296:	3 
1297:	2 
1298:	1 
1299:	2 
1300:	1 
1301:	1 
1302:	2 
1303:	1 
1305:	1 
1306:	1 
1307:	3 
1308:	3 
1309:	3 
1311:	2 
1312:	1 1 
1313:	2 
